Identity  : 	id10016
Reference : 	RREb7K-SoSQ
Offset    : 	-4
FV Conf   : 	13.222
ASD Conf  : 	7.858

FRAME 	X 	Y 	W 	H 
004738 	293 	66 	108 	109 
004739 	293 	66 	108 	109 
004740 	293 	66 	108 	109 
004741 	293 	66 	108 	109 
004742 	293 	66 	108 	109 
004743 	305 	66 	108 	109 
004744 	294 	66 	130 	130 
004745 	294 	66 	130 	130 
004746 	293 	78 	108 	109 
004747 	293 	78 	108 	109 
004748 	293 	78 	108 	109 
004749 	293 	78 	108 	109 
004750 	293 	78 	108 	109 
004751 	293 	78 	108 	109 
004752 	280 	80 	130 	130 
004753 	280 	80 	130 	130 
004754 	280 	80 	130 	130 
004755 	280 	80 	130 	130 
004756 	280 	80 	130 	130 
004757 	280 	80 	130 	130 
004758 	281 	90 	108 	109 
004759 	281 	90 	108 	109 
004760 	281 	90 	108 	109 
004761 	281 	90 	108 	109 
004762 	281 	90 	108 	109 
004763 	281 	102 	108 	109 
004764 	266 	94 	130 	130 
004765 	281 	102 	108 	109 
004766 	281 	114 	108 	109 
004767 	281 	114 	108 	109 
004768 	281 	114 	108 	109 
004769 	281 	114 	108 	109 
004770 	281 	114 	108 	109 
004771 	281 	114 	108 	109 
004772 	281 	114 	108 	109 
004773 	281 	114 	108 	109 
004774 	281 	114 	108 	109 
004775 	281 	114 	108 	109 
004776 	281 	114 	108 	109 
004777 	266 	94 	130 	130 
004778 	266 	94 	130 	130 
004779 	269 	90 	108 	109 
004780 	269 	90 	108 	109 
004781 	269 	90 	108 	109 
004782 	251 	80 	130 	130 
004783 	251 	80 	130 	130 
004784 	257 	78 	109 	109 
004785 	257 	78 	109 	109 
004786 	257 	78 	109 	109 
004787 	257 	78 	109 	109 
004788 	257 	78 	109 	109 
004789 	257 	78 	109 	109 
004790 	257 	78 	109 	109 
004791 	257 	78 	109 	109 
004792 	257 	78 	109 	109 
004793 	257 	78 	109 	109 
004794 	257 	78 	109 	109 
004795 	257 	78 	109 	109 
004796 	257 	78 	109 	109 
004797 	257 	78 	109 	109 
004798 	257 	78 	109 	109 
004799 	237 	94 	130 	130 
004800 	237 	94 	130 	130 
004801 	245 	102 	109 	109 
004802 	245 	102 	109 	109 
004803 	237 	80 	130 	130 
004804 	237 	66 	130 	130 
004805 	237 	66 	130 	130 
004806 	237 	66 	130 	130 
004807 	251 	66 	130 	130 
004808 	251 	66 	130 	130 
004809 	251 	51 	130 	130 
004810 	251 	51 	130 	130 
004811 	251 	51 	130 	130 
004812 	251 	51 	130 	130 
004813 	251 	51 	130 	130 
004814 	251 	51 	130 	130 
004815 	251 	51 	130 	130 
004816 	251 	51 	130 	130 
004817 	251 	51 	130 	130 
004818 	251 	51 	130 	130 
004819 	251 	66 	130 	130 
004820 	251 	66 	130 	130 
004821 	251 	66 	130 	130 
004822 	251 	66 	130 	130 
004823 	237 	66 	130 	130 
004824 	237 	66 	130 	130 
004825 	237 	66 	130 	130 
004826 	237 	66 	130 	130 
004827 	237 	66 	130 	130 
004828 	223 	66 	130 	130 
004829 	233 	66 	109 	109 
004830 	233 	66 	109 	109 
004831 	221 	66 	109 	109 
004832 	221 	66 	109 	109 
004833 	208 	66 	130 	130 
004834 	208 	66 	130 	130 
004835 	208 	66 	130 	130 
004836 	208 	66 	130 	130 
004837 	208 	66 	130 	130 
004838 	208 	66 	130 	130 
004839 	221 	66 	109 	109 
004840 	221 	66 	109 	109 
004841 	221 	66 	109 	109 
004842 	233 	66 	109 	109 
004843 	233 	66 	109 	109 
004844 	223 	51 	130 	130 
004845 	223 	66 	130 	130 
004846 	223 	66 	130 	130 
004847 	223 	66 	130 	130 
004848 	237 	66 	130 	130 
004849 	237 	66 	130 	130 
004850 	237 	66 	130 	130 
004851 	237 	66 	130 	130 
004852 	257 	90 	109 	109 
004853 	251 	66 	130 	130 
004854 	251 	66 	130 	130 
004855 	251 	66 	130 	130 
004856 	251 	66 	130 	130 
004857 	251 	66 	130 	130 
004858 	251 	66 	130 	130 
004859 	251 	66 	130 	130 
004860 	257 	78 	109 	109 
004861 	257 	78 	109 	109 
004862 	257 	66 	109 	109 
004863 	257 	78 	109 	109 
004864 	251 	66 	130 	130 
004865 	251 	66 	130 	130 
004866 	251 	66 	130 	130 
004867 	251 	66 	130 	130 
004868 	269 	78 	108 	109 
004869 	269 	78 	108 	109 
004870 	269 	78 	108 	109 
004871 	269 	78 	108 	109 
004872 	269 	78 	108 	109 
004873 	269 	78 	108 	109 
004874 	269 	78 	108 	109 
004875 	269 	78 	108 	109 
004876 	269 	78 	108 	109 
004877 	269 	78 	108 	109 
004878 	269 	78 	108 	109 
004879 	266 	66 	130 	130 
004880 	266 	66 	130 	130 
004881 	266 	66 	130 	130 
004882 	281 	78 	108 	109 
004883 	281 	78 	108 	109 
004884 	281 	78 	108 	109 
004885 	281 	78 	108 	109 
004886 	281 	78 	108 	109 
004887 	281 	78 	108 	109 
004888 	280 	66 	130 	130 
004889 	293 	78 	108 	109 
004890 	305 	90 	108 	109 
004891 	294 	80 	130 	130 
004892 	305 	90 	108 	109 
004893 	305 	90 	108 	109 
004894 	317 	102 	108 	109 
004895 	317 	114 	108 	109 
004896 	309 	94 	130 	130 
004897 	317 	114 	108 	109 
004898 	317 	114 	108 	109 
004899 	329 	114 	108 	109 
004900 	329 	126 	108 	109 
004901 	329 	126 	108 	109 
004902 	329 	126 	108 	109 
004903 	329 	126 	108 	109 
004904 	323 	123 	130 	130 
004905 	341 	138 	108 	109 
004906 	341 	138 	108 	109 
004907 	341 	138 	108 	109 
004908 	341 	138 	108 	109 
004909 	341 	138 	108 	109 
004910 	341 	138 	108 	109 
004911 	341 	138 	108 	109 
004912 	329 	138 	108 	109 
004913 	329 	138 	108 	109 
004914 	317 	126 	108 	109 
004915 	266 	94 	130 	130 
004916 	266 	94 	130 	130 
004917 	266 	94 	130 	130 
004918 	266 	94 	130 	130 
004919 	266 	94 	130 	130 
004920 	251 	94 	130 	130 
004921 	251 	94 	130 	130 
004922 	251 	94 	130 	130 
004923 	269 	102 	108 	109 
004924 	269 	90 	108 	109 
004925 	269 	90 	108 	109 
004926 	251 	80 	130 	130 
004927 	251 	80 	130 	130 
004928 	269 	90 	108 	109 
004929 	269 	90 	108 	109 
004930 	281 	102 	108 	109 
004931 	281 	102 	108 	109 
004932 	280 	94 	130 	130 
004933 	305 	126 	108 	109 
004934 	317 	126 	108 	109 
004935 	329 	138 	108 	109 
004936 	329 	138 	108 	109 
004937 	329 	138 	108 	109 
004938 	329 	138 	108 	109 
004939 	329 	138 	108 	109 
004940 	341 	138 	108 	109 
004941 	341 	138 	108 	109 
004942 	341 	138 	108 	109 
004943 	341 	138 	108 	109 
004944 	341 	138 	108 	109 
004945 	341 	138 	108 	109 
004946 	341 	138 	108 	109 
004947 	341 	138 	108 	109 
004948 	329 	138 	108 	109 
