Identity  : 	id10017
Reference : 	5r-26vNFeJU
Offset    : 	-3
FV Conf   : 	21.095
ASD Conf  : 	6.159

FRAME 	X 	Y 	W 	H 
007076 	294 	80 	130 	130 
007077 	294 	80 	130 	130 
007078 	294 	80 	130 	130 
007079 	294 	80 	130 	130 
007080 	294 	80 	130 	130 
007081 	294 	80 	130 	130 
007082 	294 	80 	130 	130 
007083 	294 	80 	130 	130 
007084 	294 	80 	130 	130 
007085 	294 	80 	130 	130 
007086 	294 	80 	130 	130 
007087 	285 	79 	155 	156 
007088 	285 	79 	155 	156 
007089 	285 	79 	155 	156 
007090 	285 	79 	155 	156 
007091 	285 	79 	155 	156 
007092 	285 	79 	155 	156 
007093 	285 	79 	155 	156 
007094 	285 	79 	155 	156 
007095 	285 	79 	155 	156 
007096 	285 	79 	155 	156 
007097 	285 	79 	155 	156 
007098 	285 	79 	155 	156 
007099 	285 	79 	155 	156 
007100 	285 	79 	155 	156 
007101 	285 	79 	155 	156 
007102 	294 	94 	130 	130 
007103 	285 	79 	155 	156 
007104 	285 	79 	155 	156 
007105 	285 	79 	155 	156 
007106 	285 	79 	155 	156 
007107 	285 	79 	155 	156 
007108 	285 	79 	155 	156 
007109 	285 	79 	155 	156 
007110 	285 	79 	155 	156 
007111 	285 	79 	155 	156 
007112 	285 	79 	155 	156 
007113 	285 	79 	155 	156 
007114 	285 	79 	155 	156 
007115 	285 	79 	155 	156 
007116 	285 	79 	155 	156 
007117 	285 	79 	155 	156 
007118 	285 	79 	155 	156 
007119 	285 	79 	155 	156 
007120 	285 	79 	155 	156 
007121 	285 	79 	155 	156 
007122 	285 	79 	155 	156 
007123 	294 	94 	130 	130 
007124 	294 	94 	130 	130 
007125 	285 	96 	155 	156 
007126 	285 	96 	155 	156 
007127 	285 	96 	155 	156 
007128 	285 	96 	155 	156 
007129 	285 	96 	155 	156 
007130 	285 	96 	155 	156 
007131 	285 	96 	155 	156 
007132 	285 	96 	155 	156 
007133 	285 	96 	155 	156 
007134 	285 	96 	155 	156 
007135 	302 	96 	156 	156 
007136 	302 	96 	156 	156 
007137 	302 	96 	156 	156 
007138 	302 	96 	156 	156 
007139 	285 	96 	155 	156 
007140 	285 	96 	155 	156 
007141 	285 	96 	155 	156 
007142 	285 	96 	155 	156 
007143 	267 	96 	156 	156 
007144 	267 	96 	156 	156 
007145 	267 	96 	156 	156 
007146 	266 	109 	130 	130 
007147 	266 	109 	130 	130 
007148 	267 	96 	156 	156 
007149 	267 	96 	156 	156 
007150 	280 	123 	130 	130 
007151 	294 	123 	130 	130 
007152 	294 	123 	130 	130 
007153 	285 	113 	155 	156 
007154 	285 	113 	155 	156 
007155 	285 	113 	155 	156 
007156 	285 	113 	155 	156 
007157 	285 	113 	155 	156 
007158 	285 	113 	155 	156 
007159 	285 	113 	155 	156 
007160 	285 	113 	155 	156 
007161 	285 	113 	155 	156 
007162 	285 	113 	155 	156 
007163 	309 	123 	130 	130 
007164 	285 	113 	155 	156 
007165 	285 	113 	155 	156 
007166 	285 	113 	155 	156 
007167 	285 	113 	155 	156 
007168 	294 	123 	130 	130 
007169 	285 	96 	155 	156 
007170 	285 	96 	155 	156 
007171 	285 	96 	155 	156 
007172 	285 	96 	155 	156 
007173 	285 	96 	155 	156 
007174 	285 	96 	155 	156 
007175 	285 	96 	155 	156 
007176 	285 	96 	155 	156 
007177 	285 	96 	155 	156 
007178 	285 	96 	155 	156 
007179 	285 	96 	155 	156 
007180 	285 	96 	155 	156 
007181 	285 	96 	155 	156 
007182 	285 	96 	155 	156 
007183 	285 	96 	155 	156 
007184 	285 	96 	155 	156 
007185 	280 	94 	130 	130 
007186 	280 	94 	130 	130 
007187 	267 	96 	156 	156 
007188 	267 	96 	156 	156 
007189 	266 	94 	130 	130 
007190 	266 	94 	130 	130 
007191 	250 	96 	156 	156 
007192 	251 	109 	130 	130 
007193 	233 	96 	156 	156 
007194 	233 	96 	156 	156 
007195 	237 	123 	130 	130 
007196 	237 	123 	130 	130 
007197 	237 	123 	130 	130 
007198 	216 	113 	156 	156 
007199 	216 	113 	156 	156 
007200 	223 	123 	130 	130 
007201 	223 	123 	130 	130 
007202 	216 	113 	156 	156 
007203 	216 	113 	156 	156 
007204 	237 	123 	130 	130 
007205 	237 	123 	130 	130 
007206 	237 	109 	130 	130 
007207 	233 	96 	156 	156 
007208 	233 	96 	156 	156 
007209 	251 	109 	130 	130 
007210 	233 	96 	156 	156 
007211 	251 	109 	130 	130 
007212 	251 	109 	130 	130 
007213 	251 	109 	130 	130 
007214 	251 	109 	130 	130 
007215 	250 	96 	156 	156 
007216 	266 	109 	130 	130 
007217 	250 	96 	156 	156 
007218 	266 	109 	130 	130 
007219 	266 	109 	130 	130 
007220 	266 	109 	130 	130 
007221 	266 	109 	130 	130 
