Identity  : 	id10017
Reference : 	qFUUDSjCy5M
Offset    : 	-3
FV Conf   : 	17.284
ASD Conf  : 	6.150

FRAME 	X 	Y 	W 	H 
003357 	138 	90 	108 	109 
003358 	138 	90 	108 	109 
003359 	138 	90 	108 	109 
003360 	138 	90 	108 	109 
003361 	138 	90 	108 	109 
003362 	138 	90 	108 	109 
003363 	138 	90 	108 	109 
003364 	138 	90 	108 	109 
003365 	138 	90 	108 	109 
003366 	126 	90 	108 	109 
003367 	126 	90 	108 	109 
003368 	126 	90 	108 	109 
003369 	126 	90 	108 	109 
003370 	126 	90 	108 	109 
003371 	126 	102 	108 	109 
003372 	126 	102 	108 	109 
003373 	126 	102 	108 	109 
003374 	126 	102 	108 	109 
003375 	126 	102 	108 	109 
003376 	126 	90 	108 	109 
003377 	114 	102 	108 	109 
003378 	114 	102 	108 	109 
003379 	114 	102 	108 	109 
003380 	114 	90 	108 	109 
003381 	114 	90 	108 	109 
003382 	114 	90 	108 	109 
003383 	114 	90 	108 	109 
003384 	114 	102 	108 	109 
003385 	114 	102 	108 	109 
003386 	114 	102 	108 	109 
003387 	114 	102 	108 	109 
003388 	114 	102 	108 	109 
003389 	114 	102 	108 	109 
003390 	114 	102 	108 	109 
003391 	114 	90 	108 	109 
003392 	114 	90 	108 	109 
003393 	114 	90 	108 	109 
003394 	114 	90 	108 	109 
003395 	114 	90 	108 	109 
003396 	114 	90 	108 	109 
003397 	114 	90 	108 	109 
003398 	114 	90 	108 	109 
003399 	114 	90 	108 	109 
003400 	114 	90 	108 	109 
003401 	114 	90 	108 	109 
003402 	114 	90 	108 	109 
003403 	114 	90 	108 	109 
003404 	114 	90 	108 	109 
003405 	114 	90 	108 	109 
003406 	114 	90 	108 	109 
003407 	114 	90 	108 	109 
003408 	126 	90 	108 	109 
003409 	126 	90 	108 	109 
003410 	126 	90 	108 	109 
003411 	126 	90 	108 	109 
003412 	126 	90 	108 	109 
003413 	126 	90 	108 	109 
003414 	126 	90 	108 	109 
003415 	126 	90 	108 	109 
003416 	126 	90 	108 	109 
003417 	126 	90 	108 	109 
003418 	126 	90 	108 	109 
003419 	114 	90 	108 	109 
003420 	126 	90 	108 	109 
003421 	126 	90 	108 	109 
003422 	126 	90 	108 	109 
003423 	126 	90 	108 	109 
003424 	126 	90 	108 	109 
003425 	126 	90 	108 	109 
003426 	126 	90 	108 	109 
