Identity  : 	id10017
Reference : 	xH3Pp_5yxOk
Offset    : 	-7
FV Conf   : 	14.902
ASD Conf  : 	5.589

FRAME 	X 	Y 	W 	H 
004000 	233 	78 	109 	109 
004001 	233 	78 	109 	109 
004002 	233 	78 	109 	109 
004003 	233 	78 	109 	109 
004004 	233 	78 	109 	109 
004005 	233 	78 	109 	109 
004006 	221 	78 	109 	109 
004007 	221 	78 	109 	109 
004008 	221 	78 	109 	109 
004009 	221 	78 	109 	109 
004010 	221 	78 	109 	109 
004011 	221 	78 	109 	109 
004012 	221 	78 	109 	109 
004013 	221 	78 	109 	109 
004014 	221 	78 	109 	109 
004015 	221 	78 	109 	109 
004016 	221 	78 	109 	109 
004017 	221 	78 	109 	109 
004018 	221 	90 	109 	109 
004019 	221 	78 	109 	109 
004020 	221 	90 	109 	109 
004021 	221 	78 	109 	109 
004022 	221 	78 	109 	109 
004023 	221 	78 	109 	109 
004024 	221 	78 	109 	109 
004025 	221 	78 	109 	109 
004026 	221 	78 	109 	109 
004027 	221 	78 	109 	109 
004028 	221 	78 	109 	109 
004029 	221 	78 	109 	109 
004030 	221 	78 	109 	109 
004031 	221 	78 	109 	109 
004032 	221 	78 	109 	109 
004033 	221 	78 	109 	109 
004034 	233 	78 	109 	109 
004035 	233 	78 	109 	109 
004036 	233 	78 	109 	109 
004037 	233 	78 	109 	109 
004038 	233 	90 	109 	109 
004039 	233 	90 	109 	109 
004040 	233 	90 	109 	109 
004041 	233 	90 	109 	109 
004042 	245 	90 	109 	109 
004043 	245 	90 	109 	109 
004044 	245 	90 	109 	109 
004045 	233 	90 	109 	109 
004046 	233 	90 	109 	109 
004047 	233 	102 	109 	109 
004048 	233 	102 	109 	109 
004049 	233 	102 	109 	109 
004050 	233 	90 	109 	109 
004051 	233 	90 	109 	109 
004052 	233 	90 	109 	109 
004053 	233 	90 	109 	109 
004054 	233 	90 	109 	109 
004055 	233 	90 	109 	109 
004056 	233 	90 	109 	109 
004057 	233 	90 	109 	109 
004058 	233 	90 	109 	109 
004059 	233 	90 	109 	109 
004060 	233 	90 	109 	109 
004061 	233 	90 	109 	109 
004062 	233 	90 	109 	109 
004063 	233 	90 	109 	109 
004064 	233 	90 	109 	109 
004065 	233 	90 	109 	109 
004066 	233 	90 	109 	109 
004067 	233 	90 	109 	109 
004068 	233 	90 	109 	109 
004069 	233 	90 	109 	109 
004070 	233 	90 	109 	109 
004071 	233 	90 	109 	109 
004072 	233 	90 	109 	109 
004073 	233 	90 	109 	109 
004074 	233 	90 	109 	109 
004075 	233 	90 	109 	109 
004076 	233 	90 	109 	109 
004077 	233 	90 	109 	109 
004078 	234 	105 	90 	91 
004079 	234 	105 	90 	91 
004080 	221 	90 	109 	109 
004081 	233 	90 	109 	109 
004082 	233 	90 	109 	109 
004083 	233 	90 	109 	109 
004084 	233 	90 	109 	109 
004085 	233 	90 	109 	109 
004086 	233 	90 	109 	109 
004087 	233 	90 	109 	109 
004088 	233 	90 	109 	109 
004089 	233 	90 	109 	109 
004090 	233 	90 	109 	109 
004091 	233 	90 	109 	109 
004092 	221 	90 	109 	109 
004093 	221 	90 	109 	109 
004094 	221 	90 	109 	109 
004095 	221 	90 	109 	109 
004096 	221 	90 	109 	109 
004097 	221 	90 	109 	109 
004098 	221 	90 	109 	109 
004099 	221 	90 	109 	109 
004100 	221 	90 	109 	109 
