Identity  : 	id10020
Reference : 	1elTcNGC3q8
Offset    : 	0
FV Conf   : 	13.318
ASD Conf  : 	6.774

FRAME 	X 	Y 	W 	H 
011458 	257 	78 	109 	109 
011459 	257 	78 	109 	109 
011460 	257 	78 	109 	109 
011461 	278 	96 	75 	75 
011462 	278 	96 	75 	75 
011463 	278 	96 	75 	75 
011464 	278 	96 	75 	75 
011465 	278 	96 	75 	75 
011466 	274 	95 	90 	91 
011467 	274 	95 	90 	91 
011468 	278 	96 	75 	75 
011469 	278 	96 	75 	75 
011470 	278 	96 	75 	75 
011471 	278 	96 	75 	75 
011472 	278 	96 	75 	75 
011473 	257 	78 	109 	109 
011474 	274 	85 	90 	91 
011475 	274 	85 	90 	91 
011476 	274 	85 	90 	91 
011477 	264 	85 	90 	91 
011478 	264 	85 	90 	91 
011479 	264 	85 	90 	91 
011480 	264 	85 	90 	91 
011481 	264 	85 	90 	91 
011482 	264 	85 	90 	91 
011483 	264 	85 	90 	91 
011484 	264 	85 	90 	91 
011485 	264 	85 	90 	91 
011486 	264 	85 	90 	91 
011487 	264 	85 	90 	91 
011488 	264 	85 	90 	91 
011489 	264 	85 	90 	91 
011490 	264 	85 	90 	91 
011491 	264 	85 	90 	91 
011492 	264 	85 	90 	91 
011493 	264 	85 	90 	91 
011494 	264 	85 	90 	91 
011495 	264 	85 	90 	91 
011496 	264 	85 	90 	91 
011497 	257 	78 	109 	109 
011498 	264 	95 	90 	91 
011499 	264 	95 	90 	91 
011500 	264 	95 	90 	91 
011501 	264 	95 	90 	91 
011502 	264 	95 	90 	91 
011503 	264 	95 	90 	91 
011504 	264 	95 	90 	91 
011505 	264 	95 	90 	91 
011506 	264 	95 	90 	91 
011507 	264 	95 	90 	91 
011508 	264 	95 	90 	91 
011509 	264 	95 	90 	91 
011510 	264 	95 	90 	91 
011511 	257 	78 	109 	109 
011512 	264 	85 	90 	91 
011513 	264 	85 	90 	91 
011514 	264 	85 	90 	91 
011515 	264 	85 	90 	91 
011516 	264 	85 	90 	91 
011517 	257 	66 	109 	109 
011518 	257 	66 	109 	109 
011519 	274 	75 	90 	91 
011520 	264 	75 	90 	91 
011521 	274 	75 	90 	91 
011522 	257 	66 	109 	109 
011523 	257 	66 	109 	109 
011524 	264 	85 	90 	91 
011525 	264 	85 	90 	91 
011526 	264 	85 	90 	91 
011527 	264 	85 	90 	91 
011528 	264 	85 	90 	91 
011529 	264 	85 	90 	91 
011530 	264 	85 	90 	91 
011531 	264 	85 	90 	91 
011532 	264 	85 	90 	91 
011533 	264 	85 	90 	91 
011534 	264 	85 	90 	91 
011535 	264 	85 	90 	91 
011536 	264 	85 	90 	91 
011537 	264 	85 	90 	91 
011538 	257 	78 	109 	109 
011539 	264 	85 	90 	91 
011540 	264 	85 	90 	91 
011541 	264 	85 	90 	91 
011542 	264 	85 	90 	91 
011543 	264 	85 	90 	91 
011544 	264 	85 	90 	91 
011545 	264 	85 	90 	91 
011546 	264 	95 	90 	91 
011547 	264 	95 	90 	91 
011548 	257 	78 	109 	109 
011549 	264 	95 	90 	91 
011550 	264 	85 	90 	91 
011551 	264 	85 	90 	91 
011552 	264 	85 	90 	91 
011553 	264 	95 	90 	91 
011554 	264 	95 	90 	91 
011555 	264 	95 	90 	91 
011556 	264 	95 	90 	91 
011557 	264 	95 	90 	91 
011558 	264 	95 	90 	91 
011559 	264 	95 	90 	91 
011560 	264 	95 	90 	91 
011561 	264 	95 	90 	91 
011562 	257 	78 	109 	109 
011563 	257 	78 	109 	109 
011564 	264 	95 	90 	91 
011565 	264 	95 	90 	91 
011566 	264 	95 	90 	91 
011567 	264 	85 	90 	91 
011568 	264 	85 	90 	91 
011569 	264 	95 	90 	91 
011570 	264 	95 	90 	91 
011571 	257 	78 	109 	109 
011572 	257 	78 	109 	109 
011573 	264 	85 	90 	91 
011574 	264 	85 	90 	91 
011575 	257 	78 	109 	109 
011576 	264 	95 	90 	91 
011577 	264 	95 	90 	91 
011578 	264 	95 	90 	91 
011579 	264 	95 	90 	91 
011580 	264 	95 	90 	91 
011581 	264 	95 	90 	91 
