Identity  : 	id10020
Reference : 	70e-rrF1NnQ
Offset    : 	0
FV Conf   : 	15.483
ASD Conf  : 	7.102

FRAME 	X 	Y 	W 	H 
028550 	194 	80 	130 	130 
028551 	194 	80 	130 	130 
028552 	194 	80 	130 	130 
028553 	194 	80 	130 	130 
028554 	194 	80 	130 	130 
028555 	194 	80 	130 	130 
028556 	194 	80 	130 	130 
028557 	194 	80 	130 	130 
028558 	194 	80 	130 	130 
028559 	194 	80 	130 	130 
028560 	194 	80 	130 	130 
028561 	194 	80 	130 	130 
028562 	194 	80 	130 	130 
028563 	194 	80 	130 	130 
028564 	194 	80 	130 	130 
028565 	194 	80 	130 	130 
028566 	194 	80 	130 	130 
028567 	194 	80 	130 	130 
028568 	194 	80 	130 	130 
028569 	194 	80 	130 	130 
028570 	194 	80 	130 	130 
028571 	194 	80 	130 	130 
028572 	194 	80 	130 	130 
028573 	194 	80 	130 	130 
028574 	194 	80 	130 	130 
028575 	194 	80 	130 	130 
028576 	194 	80 	130 	130 
028577 	194 	80 	130 	130 
028578 	194 	80 	130 	130 
028579 	194 	80 	130 	130 
028580 	194 	94 	130 	130 
028581 	194 	80 	130 	130 
028582 	194 	80 	130 	130 
028583 	194 	80 	130 	130 
028584 	194 	80 	130 	130 
028585 	194 	80 	130 	130 
028586 	194 	80 	130 	130 
028587 	194 	80 	130 	130 
028588 	194 	80 	130 	130 
028589 	194 	80 	130 	130 
028590 	194 	80 	130 	130 
028591 	194 	80 	130 	130 
028592 	194 	80 	130 	130 
028593 	194 	80 	130 	130 
028594 	194 	80 	130 	130 
028595 	194 	80 	130 	130 
028596 	194 	80 	130 	130 
028597 	194 	80 	130 	130 
028598 	194 	80 	130 	130 
028599 	194 	80 	130 	130 
028600 	194 	80 	130 	130 
028601 	194 	80 	130 	130 
028602 	194 	80 	130 	130 
028603 	194 	80 	130 	130 
028604 	194 	80 	130 	130 
028605 	208 	94 	130 	130 
028606 	208 	94 	130 	130 
028607 	208 	94 	130 	130 
028608 	208 	94 	130 	130 
028609 	208 	80 	130 	130 
028610 	208 	80 	130 	130 
028611 	208 	80 	130 	130 
028612 	208 	80 	130 	130 
028613 	208 	80 	130 	130 
028614 	208 	80 	130 	130 
028615 	208 	80 	130 	130 
028616 	208 	80 	130 	130 
028617 	208 	80 	130 	130 
028618 	208 	80 	130 	130 
028619 	208 	80 	130 	130 
028620 	208 	80 	130 	130 
028621 	208 	80 	130 	130 
028622 	208 	80 	130 	130 
028623 	208 	80 	130 	130 
028624 	208 	80 	130 	130 
028625 	208 	80 	130 	130 
028626 	208 	80 	130 	130 
028627 	208 	80 	130 	130 
028628 	208 	80 	130 	130 
028629 	208 	80 	130 	130 
028630 	208 	80 	130 	130 
028631 	208 	80 	130 	130 
028632 	208 	80 	130 	130 
028633 	208 	80 	130 	130 
028634 	208 	80 	130 	130 
028635 	208 	80 	130 	130 
028636 	208 	80 	130 	130 
028637 	208 	80 	130 	130 
028638 	208 	80 	130 	130 
028639 	208 	80 	130 	130 
028640 	208 	80 	130 	130 
028641 	208 	80 	130 	130 
028642 	208 	80 	130 	130 
028643 	194 	80 	130 	130 
028644 	194 	80 	130 	130 
028645 	194 	80 	130 	130 
028646 	194 	80 	130 	130 
028647 	194 	94 	130 	130 
028648 	194 	94 	130 	130 
028649 	194 	94 	130 	130 
028650 	194 	94 	130 	130 
028651 	194 	94 	130 	130 
028652 	194 	94 	130 	130 
028653 	194 	94 	130 	130 
028654 	194 	94 	130 	130 
028655 	194 	94 	130 	130 
028656 	194 	109 	130 	130 
028657 	194 	109 	130 	130 
028658 	194 	109 	130 	130 
028659 	194 	109 	130 	130 
028660 	194 	109 	130 	130 
028661 	194 	109 	130 	130 
028662 	194 	109 	130 	130 
028663 	194 	109 	130 	130 
028664 	194 	109 	130 	130 
028665 	194 	109 	130 	130 
028666 	208 	109 	130 	130 
028667 	208 	109 	130 	130 
028668 	208 	109 	130 	130 
028669 	208 	109 	130 	130 
028670 	208 	123 	130 	130 
028671 	208 	123 	130 	130 
028672 	223 	123 	130 	130 
028673 	223 	123 	130 	130 
028674 	208 	109 	130 	130 
028675 	208 	109 	130 	130 
028676 	208 	123 	130 	130 
028677 	181 	96 	156 	156 
028678 	181 	96 	156 	156 
028679 	208 	123 	130 	130 
028680 	208 	123 	130 	130 
028681 	208 	123 	130 	130 
028682 	223 	123 	130 	130 
028683 	223 	123 	130 	130 
028684 	216 	123 	130 	130 
028685 	208 	123 	130 	130 
028686 	208 	123 	130 	130 
028687 	194 	123 	130 	130 
028688 	194 	123 	130 	130 
028689 	194 	123 	130 	130 
028690 	208 	123 	130 	130 
028691 	181 	96 	156 	156 
028692 	208 	109 	130 	130 
028693 	223 	123 	130 	130 
