Identity  : 	id10020
Reference : 	A_blsQbRRC8
Offset    : 	-3
FV Conf   : 	13.282
ASD Conf  : 	8.477

FRAME 	X 	Y 	W 	H 
004986 	245 	90 	109 	109 
004987 	245 	90 	109 	109 
004988 	245 	90 	109 	109 
004989 	245 	90 	109 	109 
004990 	245 	90 	109 	109 
004991 	245 	90 	109 	109 
004992 	245 	90 	109 	109 
004993 	245 	90 	109 	109 
004994 	245 	90 	109 	109 
004995 	245 	90 	109 	109 
004996 	245 	90 	109 	109 
004997 	245 	90 	109 	109 
004998 	245 	90 	109 	109 
004999 	245 	90 	109 	109 
005000 	245 	90 	109 	109 
005001 	245 	90 	109 	109 
005002 	245 	90 	109 	109 
005003 	245 	90 	109 	109 
005004 	245 	90 	109 	109 
005005 	245 	90 	109 	109 
005006 	245 	90 	109 	109 
005007 	245 	90 	109 	109 
005008 	245 	90 	109 	109 
005009 	245 	90 	109 	109 
005010 	245 	90 	109 	109 
005011 	245 	90 	109 	109 
005012 	245 	90 	109 	109 
005013 	245 	90 	109 	109 
005014 	245 	90 	109 	109 
005015 	245 	90 	109 	109 
005016 	245 	90 	109 	109 
005017 	245 	90 	109 	109 
005018 	245 	90 	109 	109 
005019 	245 	90 	109 	109 
005020 	245 	90 	109 	109 
005021 	245 	90 	109 	109 
005022 	245 	90 	109 	109 
005023 	245 	90 	109 	109 
005024 	245 	90 	109 	109 
005025 	245 	90 	109 	109 
005026 	245 	90 	109 	109 
005027 	245 	90 	109 	109 
005028 	245 	90 	109 	109 
005029 	245 	90 	109 	109 
005030 	245 	90 	109 	109 
005031 	245 	90 	109 	109 
005032 	245 	90 	109 	109 
005033 	245 	90 	109 	109 
005034 	245 	90 	109 	109 
005035 	245 	90 	109 	109 
005036 	245 	90 	109 	109 
005037 	245 	90 	109 	109 
005038 	245 	90 	109 	109 
005039 	245 	90 	109 	109 
005040 	245 	90 	109 	109 
005041 	245 	90 	109 	109 
005042 	245 	90 	109 	109 
005043 	245 	90 	109 	109 
005044 	245 	90 	109 	109 
005045 	245 	90 	109 	109 
005046 	245 	90 	109 	109 
005047 	245 	90 	109 	109 
005048 	245 	90 	109 	109 
005049 	245 	90 	109 	109 
005050 	245 	90 	109 	109 
005051 	245 	90 	109 	109 
005052 	245 	90 	109 	109 
005053 	245 	90 	109 	109 
005054 	245 	90 	109 	109 
005055 	245 	90 	109 	109 
005056 	245 	90 	109 	109 
005057 	245 	90 	109 	109 
005058 	245 	90 	109 	109 
005059 	245 	90 	109 	109 
005060 	245 	90 	109 	109 
005061 	245 	90 	109 	109 
005062 	245 	90 	109 	109 
005063 	257 	90 	109 	109 
005064 	245 	90 	109 	109 
005065 	245 	90 	109 	109 
005066 	245 	90 	109 	109 
005067 	245 	90 	109 	109 
005068 	257 	90 	109 	109 
005069 	257 	90 	109 	109 
005070 	245 	90 	109 	109 
005071 	257 	90 	109 	109 
005072 	257 	90 	109 	109 
005073 	257 	90 	109 	109 
005074 	257 	90 	109 	109 
005075 	257 	90 	109 	109 
005076 	257 	90 	109 	109 
005077 	257 	90 	109 	109 
005078 	257 	90 	109 	109 
005079 	257 	90 	109 	109 
005080 	257 	90 	109 	109 
005081 	257 	90 	109 	109 
005082 	257 	90 	109 	109 
005083 	257 	90 	109 	109 
005084 	257 	90 	109 	109 
005085 	257 	90 	109 	109 
005086 	257 	90 	109 	109 
005087 	257 	90 	109 	109 
005088 	257 	90 	109 	109 
005089 	257 	90 	109 	109 
005090 	257 	90 	109 	109 
005091 	257 	90 	109 	109 
005092 	257 	90 	109 	109 
005093 	257 	90 	109 	109 
005094 	257 	90 	109 	109 
005095 	257 	90 	109 	109 
005096 	257 	90 	109 	109 
005097 	257 	90 	109 	109 
005098 	257 	90 	109 	109 
005099 	257 	90 	109 	109 
005100 	257 	90 	109 	109 
005101 	257 	90 	109 	109 
005102 	257 	90 	109 	109 
005103 	257 	90 	109 	109 
005104 	257 	90 	109 	109 
005105 	257 	90 	109 	109 
005106 	257 	90 	109 	109 
005107 	257 	90 	109 	109 
005108 	257 	90 	109 	109 
005109 	257 	90 	109 	109 
005110 	257 	90 	109 	109 
005111 	257 	90 	109 	109 
005112 	257 	90 	109 	109 
005113 	257 	90 	109 	109 
005114 	257 	90 	109 	109 
005115 	257 	90 	109 	109 
005116 	257 	90 	109 	109 
005117 	257 	90 	109 	109 
005118 	257 	90 	109 	109 
005119 	257 	90 	109 	109 
005120 	257 	90 	109 	109 
005121 	257 	90 	109 	109 
005122 	257 	90 	109 	109 
005123 	257 	90 	109 	109 
005124 	257 	90 	109 	109 
005125 	257 	90 	109 	109 
005126 	257 	90 	109 	109 
005127 	257 	90 	109 	109 
005128 	257 	90 	109 	109 
005129 	257 	90 	109 	109 
005130 	257 	90 	109 	109 
