Identity  : 	id10020
Reference : 	HELG9IIqhBE
Offset    : 	1
FV Conf   : 	14.026
ASD Conf  : 	8.258

FRAME 	X 	Y 	W 	H 
001702 	74 	115 	186 	187 
001703 	74 	115 	186 	187 
001704 	94 	115 	187 	187 
001705 	94 	115 	187 	187 
001706 	94 	115 	187 	187 
001707 	94 	115 	187 	187 
001708 	94 	115 	187 	187 
001709 	94 	115 	187 	187 
001710 	94 	115 	187 	187 
001711 	94 	115 	187 	187 
001712 	94 	115 	187 	187 
001713 	115 	115 	187 	187 
001714 	115 	115 	187 	187 
001715 	115 	115 	187 	187 
001716 	115 	115 	187 	187 
001717 	115 	115 	187 	187 
001718 	115 	115 	187 	187 
001719 	115 	115 	187 	187 
001720 	115 	115 	187 	187 
001721 	115 	115 	187 	187 
001722 	115 	115 	187 	187 
001723 	135 	115 	187 	187 
001724 	115 	115 	187 	187 
001725 	115 	115 	187 	187 
001726 	115 	115 	187 	187 
001727 	115 	115 	187 	187 
001728 	115 	115 	187 	187 
001729 	115 	115 	187 	187 
001730 	115 	115 	187 	187 
001731 	115 	115 	187 	187 
001732 	94 	115 	187 	187 
001733 	94 	115 	187 	187 
001734 	94 	115 	187 	187 
001735 	94 	115 	187 	187 
001736 	94 	115 	187 	187 
001737 	94 	115 	187 	187 
001738 	94 	115 	187 	187 
001739 	94 	115 	187 	187 
001740 	94 	115 	187 	187 
001741 	115 	115 	187 	187 
001742 	115 	115 	187 	187 
001743 	115 	115 	187 	187 
001744 	115 	115 	187 	187 
001745 	115 	115 	187 	187 
001746 	115 	115 	187 	187 
001747 	115 	115 	187 	187 
001748 	115 	115 	187 	187 
001749 	115 	115 	187 	187 
001750 	135 	115 	187 	187 
001751 	135 	115 	187 	187 
001752 	135 	115 	187 	187 
001753 	135 	115 	187 	187 
001754 	135 	115 	187 	187 
001755 	135 	115 	187 	187 
001756 	135 	115 	187 	187 
001757 	135 	115 	187 	187 
001758 	135 	115 	187 	187 
001759 	135 	115 	187 	187 
001760 	135 	115 	187 	187 
001761 	135 	115 	187 	187 
001762 	135 	115 	187 	187 
001763 	135 	115 	187 	187 
001764 	135 	115 	187 	187 
001765 	135 	115 	187 	187 
001766 	135 	115 	187 	187 
001767 	135 	115 	187 	187 
001768 	135 	115 	187 	187 
001769 	135 	115 	187 	187 
001770 	135 	115 	187 	187 
001771 	135 	115 	187 	187 
001772 	135 	115 	187 	187 
001773 	135 	115 	187 	187 
001774 	115 	115 	187 	187 
001775 	115 	115 	187 	187 
001776 	115 	115 	187 	187 
001777 	115 	115 	187 	187 
001778 	115 	115 	187 	187 
001779 	135 	115 	187 	187 
001780 	135 	115 	187 	187 
001781 	135 	115 	187 	187 
001782 	135 	115 	187 	187 
001783 	135 	115 	187 	187 
001784 	135 	115 	187 	187 
001785 	135 	115 	187 	187 
001786 	135 	115 	187 	187 
001787 	135 	115 	187 	187 
001788 	135 	115 	187 	187 
001789 	135 	115 	187 	187 
001790 	135 	115 	187 	187 
001791 	135 	115 	187 	187 
001792 	135 	115 	187 	187 
001793 	135 	115 	187 	187 
001794 	135 	115 	187 	187 
001795 	135 	115 	187 	187 
001796 	135 	115 	187 	187 
001797 	156 	115 	187 	187 
001798 	156 	115 	187 	187 
001799 	156 	115 	187 	187 
001800 	156 	115 	187 	187 
001801 	156 	115 	187 	187 
001802 	156 	95 	187 	186 
