Identity  : 	id10020
Reference : 	Tv92FNzH3Qc
Offset    : 	-1
FV Conf   : 	15.112
ASD Conf  : 	7.180

FRAME 	X 	Y 	W 	H 
012464 	194 	80 	130 	130 
012465 	194 	80 	130 	130 
012466 	194 	80 	130 	130 
012467 	194 	80 	130 	130 
012468 	194 	80 	130 	130 
012469 	194 	80 	130 	130 
012470 	194 	80 	130 	130 
012471 	194 	80 	130 	130 
012472 	194 	80 	130 	130 
012473 	194 	80 	130 	130 
012474 	194 	80 	130 	130 
012475 	194 	80 	130 	130 
012476 	194 	80 	130 	130 
012477 	194 	80 	130 	130 
012478 	194 	80 	130 	130 
012479 	194 	80 	130 	130 
012480 	194 	80 	130 	130 
012481 	194 	80 	130 	130 
012482 	194 	80 	130 	130 
012483 	194 	80 	130 	130 
012484 	194 	80 	130 	130 
012485 	194 	80 	130 	130 
012486 	194 	80 	130 	130 
012487 	194 	80 	130 	130 
012488 	194 	80 	130 	130 
012489 	194 	80 	130 	130 
012490 	194 	80 	130 	130 
012491 	194 	80 	130 	130 
012492 	194 	80 	130 	130 
012493 	194 	80 	130 	130 
012494 	194 	80 	130 	130 
012495 	194 	80 	130 	130 
012496 	194 	80 	130 	130 
012497 	194 	80 	130 	130 
012498 	194 	80 	130 	130 
012499 	194 	80 	130 	130 
012500 	194 	80 	130 	130 
012501 	194 	80 	130 	130 
012502 	194 	80 	130 	130 
012503 	194 	80 	130 	130 
012504 	194 	80 	130 	130 
012505 	194 	80 	130 	130 
012506 	194 	80 	130 	130 
012507 	194 	80 	130 	130 
012508 	194 	80 	130 	130 
012509 	194 	80 	130 	130 
012510 	194 	80 	130 	130 
012511 	194 	80 	130 	130 
012512 	194 	80 	130 	130 
012513 	194 	80 	130 	130 
012514 	194 	80 	130 	130 
012515 	194 	80 	130 	130 
012516 	194 	80 	130 	130 
012517 	194 	80 	130 	130 
012518 	194 	80 	130 	130 
012519 	194 	80 	130 	130 
012520 	194 	80 	130 	130 
012521 	194 	80 	130 	130 
012522 	194 	80 	130 	130 
012523 	194 	80 	130 	130 
012524 	194 	80 	130 	130 
012525 	194 	80 	130 	130 
012526 	194 	80 	130 	130 
012527 	194 	80 	130 	130 
012528 	194 	80 	130 	130 
012529 	194 	80 	130 	130 
012530 	194 	80 	130 	130 
012531 	194 	80 	130 	130 
012532 	194 	80 	130 	130 
012533 	194 	80 	130 	130 
012534 	194 	80 	130 	130 
012535 	194 	80 	130 	130 
012536 	194 	80 	130 	130 
012537 	194 	80 	130 	130 
012538 	194 	80 	130 	130 
012539 	194 	80 	130 	130 
012540 	194 	80 	130 	130 
012541 	194 	80 	130 	130 
012542 	194 	80 	130 	130 
012543 	194 	80 	130 	130 
012544 	194 	80 	130 	130 
012545 	194 	80 	130 	130 
012546 	194 	80 	130 	130 
012547 	194 	80 	130 	130 
012548 	194 	80 	130 	130 
012549 	194 	80 	130 	130 
012550 	209 	102 	109 	109 
012551 	209 	102 	109 	109 
012552 	208 	94 	130 	130 
012553 	208 	94 	130 	130 
012554 	221 	102 	109 	109 
012555 	208 	94 	130 	130 
012556 	209 	102 	109 	109 
012557 	209 	102 	109 	109 
012558 	209 	102 	109 	109 
012559 	209 	102 	109 	109 
012560 	209 	102 	109 	109 
012561 	209 	102 	109 	109 
012562 	209 	102 	109 	109 
012563 	208 	94 	130 	130 
012564 	209 	102 	109 	109 
012565 	208 	94 	130 	130 
012566 	208 	94 	130 	130 
012567 	208 	94 	130 	130 
012568 	208 	94 	130 	130 
012569 	208 	94 	130 	130 
012570 	221 	114 	109 	109 
012571 	221 	114 	109 	109 
012572 	221 	102 	109 	109 
012573 	221 	102 	109 	109 
012574 	221 	102 	109 	109 
012575 	208 	94 	130 	130 
012576 	221 	102 	109 	109 
012577 	221 	102 	109 	109 
012578 	221 	102 	109 	109 
012579 	221 	102 	109 	109 
012580 	233 	102 	109 	109 
012581 	223 	94 	130 	130 
012582 	233 	102 	109 	109 
012583 	208 	94 	130 	130 
012584 	208 	94 	130 	130 
012585 	208 	94 	130 	130 
012586 	221 	102 	109 	109 
012587 	221 	102 	109 	109 
012588 	221 	102 	109 	109 
012589 	221 	102 	109 	109 
012590 	221 	102 	109 	109 
012591 	221 	102 	109 	109 
012592 	221 	102 	109 	109 
012593 	221 	102 	109 	109 
012594 	221 	102 	109 	109 
012595 	208 	94 	130 	130 
012596 	209 	102 	109 	109 
012597 	209 	102 	109 	109 
012598 	209 	102 	109 	109 
012599 	194 	94 	130 	130 
012600 	194 	94 	130 	130 
012601 	197 	102 	109 	109 
012602 	197 	102 	109 	109 
012603 	197 	102 	109 	109 
012604 	197 	102 	109 	109 
012605 	180 	94 	130 	130 
012606 	180 	94 	130 	130 
012607 	197 	102 	109 	109 
012608 	197 	102 	109 	109 
012609 	197 	102 	109 	109 
012610 	197 	102 	109 	109 
012611 	197 	102 	109 	109 
012612 	194 	94 	130 	130 
012613 	194 	94 	130 	130 
012614 	194 	94 	130 	130 
012615 	194 	94 	130 	130 
012616 	194 	94 	130 	130 
012617 	194 	94 	130 	130 
012618 	194 	94 	130 	130 
012619 	194 	94 	130 	130 
012620 	194 	94 	130 	130 
012621 	209 	102 	109 	109 
012622 	209 	102 	109 	109 
012623 	209 	102 	109 	109 
012624 	209 	102 	109 	109 
012625 	209 	102 	109 	109 
012626 	209 	102 	109 	109 
012627 	209 	102 	109 	109 
012628 	209 	102 	109 	109 
012629 	209 	102 	109 	109 
012630 	209 	102 	109 	109 
012631 	209 	102 	109 	109 
012632 	194 	94 	130 	130 
012633 	194 	94 	130 	130 
012634 	194 	94 	130 	130 
012635 	197 	102 	109 	109 
012636 	197 	102 	109 	109 
012637 	197 	102 	109 	109 
012638 	197 	102 	109 	109 
012639 	197 	102 	109 	109 
012640 	197 	102 	109 	109 
012641 	180 	80 	130 	130 
012642 	197 	102 	109 	109 
012643 	197 	102 	109 	109 
012644 	194 	80 	130 	130 
012645 	194 	80 	130 	130 
012646 	194 	80 	130 	130 
012647 	209 	102 	109 	109 
012648 	209 	102 	109 	109 
012649 	194 	94 	130 	130 
012650 	194 	94 	130 	130 
012651 	194 	94 	130 	130 
012652 	194 	94 	130 	130 
012653 	194 	94 	130 	130 
012654 	194 	94 	130 	130 
012655 	194 	94 	130 	130 
012656 	194 	94 	130 	130 
012657 	194 	94 	130 	130 
012658 	194 	94 	130 	130 
012659 	197 	102 	109 	109 
012660 	197 	102 	109 	109 
012661 	197 	102 	109 	109 
012662 	197 	102 	109 	109 
012663 	197 	102 	109 	109 
012664 	197 	102 	109 	109 
012665 	197 	102 	109 	109 
012666 	194 	80 	130 	130 
012667 	194 	80 	130 	130 
012668 	194 	80 	130 	130 
012669 	194 	80 	130 	130 
012670 	194 	80 	130 	130 
012671 	194 	80 	130 	130 
012672 	194 	80 	130 	130 
012673 	194 	80 	130 	130 
012674 	194 	80 	130 	130 
012675 	194 	80 	130 	130 
012676 	194 	80 	130 	130 
012677 	194 	80 	130 	130 
012678 	194 	80 	130 	130 
012679 	194 	80 	130 	130 
012680 	194 	80 	130 	130 
012681 	194 	80 	130 	130 
012682 	194 	80 	130 	130 
012683 	194 	80 	130 	130 
012684 	194 	80 	130 	130 
012685 	194 	80 	130 	130 
012686 	209 	90 	109 	109 
012687 	209 	90 	109 	109 
012688 	209 	90 	109 	109 
012689 	209 	90 	109 	109 
012690 	208 	80 	130 	130 
012691 	208 	80 	130 	130 
012692 	221 	78 	109 	109 
012693 	221 	78 	109 	109 
012694 	221 	78 	109 	109 
012695 	221 	78 	109 	109 
012696 	208 	80 	130 	130 
012697 	208 	80 	130 	130 
012698 	208 	80 	130 	130 
012699 	208 	80 	130 	130 
012700 	209 	90 	109 	109 
012701 	209 	90 	109 	109 
012702 	209 	90 	109 	109 
012703 	209 	90 	109 	109 
012704 	209 	90 	109 	109 
012705 	209 	90 	109 	109 
012706 	209 	90 	109 	109 
012707 	209 	90 	109 	109 
012708 	209 	90 	109 	109 
012709 	194 	80 	130 	130 
012710 	197 	90 	109 	109 
012711 	194 	80 	130 	130 
012712 	194 	80 	130 	130 
012713 	194 	80 	130 	130 
012714 	194 	80 	130 	130 
012715 	194 	80 	130 	130 
012716 	194 	80 	130 	130 
012717 	208 	80 	130 	130 
012718 	208 	80 	130 	130 
012719 	208 	80 	130 	130 
012720 	209 	90 	109 	109 
