Identity  : 	id10020
Reference : 	Tv92FNzH3Qc
Offset    : 	0
FV Conf   : 	12.912
ASD Conf  : 	5.545

FRAME 	X 	Y 	W 	H 
016601 	208 	94 	130 	130 
016602 	208 	94 	130 	130 
016603 	208 	94 	130 	130 
016604 	208 	94 	130 	130 
016605 	208 	94 	130 	130 
016606 	208 	94 	130 	130 
016607 	208 	94 	130 	130 
016608 	208 	94 	130 	130 
016609 	208 	94 	130 	130 
016610 	208 	94 	130 	130 
016611 	208 	94 	130 	130 
016612 	208 	94 	130 	130 
016613 	208 	94 	130 	130 
016614 	208 	94 	130 	130 
016615 	208 	94 	130 	130 
016616 	194 	80 	130 	130 
016617 	194 	80 	130 	130 
016618 	194 	80 	130 	130 
016619 	194 	80 	130 	130 
016620 	194 	80 	130 	130 
016621 	194 	80 	130 	130 
016622 	194 	80 	130 	130 
016623 	194 	80 	130 	130 
016624 	194 	94 	130 	130 
016625 	194 	94 	130 	130 
016626 	194 	94 	130 	130 
016627 	194 	80 	130 	130 
016628 	194 	80 	130 	130 
016629 	194 	80 	130 	130 
016630 	194 	80 	130 	130 
016631 	194 	80 	130 	130 
016632 	194 	94 	130 	130 
016633 	194 	80 	130 	130 
016634 	194 	80 	130 	130 
016635 	194 	80 	130 	130 
016636 	194 	80 	130 	130 
016637 	194 	80 	130 	130 
016638 	194 	80 	130 	130 
016639 	194 	80 	130 	130 
016640 	194 	80 	130 	130 
016641 	194 	80 	130 	130 
016642 	194 	80 	130 	130 
016643 	194 	94 	130 	130 
016644 	194 	94 	130 	130 
016645 	209 	114 	109 	109 
016646 	209 	114 	109 	109 
016647 	209 	114 	109 	109 
016648 	194 	94 	130 	130 
016649 	194 	94 	130 	130 
016650 	194 	94 	130 	130 
016651 	194 	94 	130 	130 
016652 	194 	94 	130 	130 
016653 	194 	80 	130 	130 
016654 	194 	80 	130 	130 
016655 	194 	80 	130 	130 
016656 	194 	94 	130 	130 
016657 	194 	94 	130 	130 
016658 	194 	94 	130 	130 
016659 	194 	94 	130 	130 
016660 	194 	94 	130 	130 
016661 	194 	94 	130 	130 
016662 	194 	94 	130 	130 
016663 	194 	94 	130 	130 
016664 	194 	94 	130 	130 
016665 	194 	94 	130 	130 
016666 	194 	94 	130 	130 
016667 	194 	94 	130 	130 
016668 	194 	94 	130 	130 
016669 	194 	94 	130 	130 
016670 	194 	94 	130 	130 
016671 	194 	94 	130 	130 
016672 	194 	94 	130 	130 
016673 	194 	94 	130 	130 
016674 	194 	94 	130 	130 
016675 	194 	94 	130 	130 
016676 	194 	94 	130 	130 
016677 	194 	94 	130 	130 
016678 	194 	94 	130 	130 
016679 	197 	102 	109 	109 
016680 	194 	80 	130 	130 
016681 	197 	102 	109 	109 
016682 	197 	102 	109 	109 
016683 	209 	114 	109 	109 
016684 	209 	114 	109 	109 
016685 	209 	114 	109 	109 
016686 	209 	114 	109 	109 
016687 	209 	114 	109 	109 
016688 	209 	114 	109 	109 
016689 	209 	114 	109 	109 
016690 	209 	114 	109 	109 
016691 	209 	114 	109 	109 
016692 	209 	114 	109 	109 
016693 	194 	109 	130 	130 
016694 	209 	114 	109 	109 
016695 	180 	94 	130 	130 
016696 	180 	94 	130 	130 
016697 	180 	94 	130 	130 
016698 	180 	94 	130 	130 
016699 	194 	94 	130 	130 
016700 	197 	102 	109 	109 
016701 	197 	102 	109 	109 
016702 	197 	102 	109 	109 
016703 	197 	102 	109 	109 
016704 	197 	102 	109 	109 
016705 	180 	94 	130 	130 
016706 	180 	94 	130 	130 
016707 	180 	94 	130 	130 
016708 	180 	94 	130 	130 
016709 	180 	94 	130 	130 
016710 	197 	102 	109 	109 
016711 	197 	102 	109 	109 
016712 	197 	102 	109 	109 
016713 	197 	102 	109 	109 
016714 	197 	102 	109 	109 
016715 	197 	102 	109 	109 
016716 	197 	102 	109 	109 
016717 	197 	102 	109 	109 
016718 	197 	102 	109 	109 
016719 	197 	102 	109 	109 
016720 	194 	94 	130 	130 
016721 	194 	94 	130 	130 
016722 	197 	102 	109 	109 
016723 	197 	102 	109 	109 
016724 	197 	102 	109 	109 
016725 	194 	94 	130 	130 
016726 	194 	94 	130 	130 
016727 	197 	102 	109 	109 
016728 	197 	102 	109 	109 
016729 	194 	94 	130 	130 
016730 	194 	94 	130 	130 
016731 	194 	94 	130 	130 
016732 	194 	94 	130 	130 
016733 	194 	94 	130 	130 
016734 	194 	94 	130 	130 
016735 	194 	94 	130 	130 
016736 	194 	94 	130 	130 
016737 	194 	94 	130 	130 
016738 	194 	94 	130 	130 
016739 	209 	102 	109 	109 
016740 	194 	80 	130 	130 
016741 	194 	80 	130 	130 
016742 	194 	80 	130 	130 
016743 	194 	80 	130 	130 
016744 	194 	94 	130 	130 
016745 	194 	94 	130 	130 
016746 	194 	94 	130 	130 
016747 	209 	114 	109 	109 
016748 	209 	114 	109 	109 
016749 	194 	94 	130 	130 
016750 	197 	102 	109 	109 
016751 	194 	80 	130 	130 
016752 	194 	80 	130 	130 
016753 	194 	80 	130 	130 
016754 	194 	80 	130 	130 
016755 	194 	80 	130 	130 
016756 	194 	80 	130 	130 
016757 	194 	80 	130 	130 
016758 	194 	80 	130 	130 
016759 	194 	80 	130 	130 
016760 	194 	80 	130 	130 
016761 	194 	80 	130 	130 
016762 	194 	80 	130 	130 
016763 	194 	80 	130 	130 
016764 	194 	80 	130 	130 
016765 	194 	80 	130 	130 
016766 	194 	80 	130 	130 
016767 	194 	80 	130 	130 
016768 	194 	80 	130 	130 
016769 	194 	80 	130 	130 
016770 	194 	80 	130 	130 
016771 	194 	80 	130 	130 
016772 	194 	80 	130 	130 
016773 	194 	80 	130 	130 
016774 	194 	80 	130 	130 
016775 	194 	80 	130 	130 
016776 	194 	80 	130 	130 
016777 	194 	80 	130 	130 
016778 	194 	80 	130 	130 
016779 	194 	80 	130 	130 
016780 	194 	80 	130 	130 
016781 	194 	80 	130 	130 
