Identity  : 	id10020
Reference : 	hun71wPQvlI
Offset    : 	-10
FV Conf   : 	19.778
ASD Conf  : 	9.820

FRAME 	X 	Y 	W 	H 
031127 	161 	126 	109 	109 
031128 	161 	126 	109 	109 
031129 	161 	138 	109 	109 
031130 	161 	138 	109 	109 
031131 	161 	138 	109 	109 
031132 	161 	138 	109 	109 
031133 	161 	138 	109 	109 
031134 	161 	138 	109 	109 
031135 	161 	126 	109 	109 
031136 	161 	126 	109 	109 
031137 	161 	126 	109 	109 
031138 	161 	126 	109 	109 
031139 	161 	126 	109 	109 
031140 	161 	126 	109 	109 
031141 	161 	126 	109 	109 
031142 	161 	114 	109 	109 
031143 	161 	114 	109 	109 
031144 	161 	114 	109 	109 
031145 	161 	114 	109 	109 
031146 	164 	125 	91 	90 
031147 	164 	125 	91 	90 
031148 	164 	125 	91 	90 
031149 	164 	125 	91 	90 
031150 	164 	125 	91 	90 
031151 	164 	125 	91 	90 
031152 	161 	114 	109 	109 
031153 	161 	126 	109 	109 
031154 	161 	126 	109 	109 
031155 	161 	114 	109 	109 
031156 	161 	114 	109 	109 
031157 	164 	125 	91 	90 
031158 	164 	125 	91 	90 
031159 	161 	114 	109 	109 
031160 	161 	114 	109 	109 
031161 	161 	114 	109 	109 
031162 	161 	114 	109 	109 
031163 	161 	114 	109 	109 
031164 	161 	114 	109 	109 
031165 	161 	114 	109 	109 
031166 	164 	125 	91 	90 
031167 	161 	114 	109 	109 
031168 	161 	126 	109 	109 
031169 	161 	126 	109 	109 
031170 	161 	126 	109 	109 
031171 	161 	126 	109 	109 
031172 	161 	126 	109 	109 
031173 	161 	126 	109 	109 
031174 	161 	126 	109 	109 
031175 	161 	126 	109 	109 
031176 	161 	126 	109 	109 
031177 	161 	126 	109 	109 
031178 	161 	126 	109 	109 
031179 	161 	126 	109 	109 
031180 	161 	126 	109 	109 
031181 	161 	126 	109 	109 
031182 	161 	126 	109 	109 
031183 	161 	126 	109 	109 
031184 	161 	126 	109 	109 
031185 	161 	126 	109 	109 
031186 	161 	126 	109 	109 
031187 	161 	114 	109 	109 
031188 	161 	114 	109 	109 
031189 	161 	114 	109 	109 
031190 	161 	114 	109 	109 
031191 	161 	114 	109 	109 
031192 	161 	114 	109 	109 
031193 	161 	114 	109 	109 
031194 	161 	114 	109 	109 
031195 	161 	114 	109 	109 
031196 	161 	114 	109 	109 
031197 	161 	114 	109 	109 
031198 	161 	114 	109 	109 
031199 	161 	114 	109 	109 
031200 	161 	114 	109 	109 
031201 	161 	114 	109 	109 
031202 	161 	114 	109 	109 
031203 	161 	114 	109 	109 
031204 	161 	114 	109 	109 
031205 	161 	114 	109 	109 
031206 	161 	114 	109 	109 
031207 	161 	114 	109 	109 
031208 	161 	114 	109 	109 
031209 	161 	114 	109 	109 
031210 	161 	114 	109 	109 
031211 	161 	114 	109 	109 
031212 	161 	114 	109 	109 
031213 	161 	114 	109 	109 
031214 	161 	114 	109 	109 
031215 	161 	114 	109 	109 
031216 	161 	114 	109 	109 
031217 	161 	114 	109 	109 
031218 	161 	114 	109 	109 
031219 	161 	114 	109 	109 
031220 	161 	114 	109 	109 
031221 	161 	114 	109 	109 
031222 	161 	114 	109 	109 
031223 	161 	114 	109 	109 
031224 	161 	114 	109 	109 
031225 	161 	114 	109 	109 
031226 	161 	114 	109 	109 
031227 	161 	114 	109 	109 
031228 	161 	114 	109 	109 
031229 	161 	114 	109 	109 
031230 	161 	114 	109 	109 
031231 	161 	114 	109 	109 
031232 	161 	114 	109 	109 
031233 	161 	126 	109 	109 
031234 	161 	126 	109 	109 
031235 	161 	126 	109 	109 
031236 	161 	126 	109 	109 
031237 	161 	126 	109 	109 
031238 	161 	126 	109 	109 
031239 	161 	126 	109 	109 
031240 	161 	126 	109 	109 
031241 	161 	126 	109 	109 
031242 	161 	126 	109 	109 
031243 	161 	126 	109 	109 
031244 	161 	126 	109 	109 
