Identity  : 	id10020
Reference : 	iNwAECjAAAM
Offset    : 	0
FV Conf   : 	14.848
ASD Conf  : 	6.941

FRAME 	X 	Y 	W 	H 
017969 	216 	62 	156 	155 
017970 	216 	62 	156 	155 
017971 	216 	62 	156 	155 
017972 	223 	80 	130 	130 
017973 	223 	80 	130 	130 
017974 	223 	66 	130 	130 
017975 	223 	66 	130 	130 
017976 	223 	66 	130 	130 
017977 	223 	66 	130 	130 
017978 	223 	66 	130 	130 
017979 	223 	66 	130 	130 
017980 	223 	66 	130 	130 
017981 	223 	66 	130 	130 
017982 	223 	66 	130 	130 
017983 	223 	66 	130 	130 
017984 	223 	66 	130 	130 
017985 	223 	66 	130 	130 
017986 	223 	66 	130 	130 
017987 	223 	66 	130 	130 
017988 	223 	80 	130 	130 
017989 	223 	80 	130 	130 
017990 	223 	80 	130 	130 
017991 	223 	80 	130 	130 
017992 	223 	80 	130 	130 
017993 	208 	80 	130 	130 
017994 	208 	80 	130 	130 
017995 	208 	80 	130 	130 
017996 	208 	80 	130 	130 
017997 	208 	80 	130 	130 
017998 	208 	80 	130 	130 
017999 	208 	80 	130 	130 
018000 	208 	80 	130 	130 
018001 	208 	80 	130 	130 
018002 	208 	80 	130 	130 
018003 	208 	94 	130 	130 
018004 	208 	94 	130 	130 
018005 	208 	94 	130 	130 
018006 	208 	80 	130 	130 
018007 	208 	80 	130 	130 
018008 	208 	80 	130 	130 
018009 	208 	80 	130 	130 
018010 	208 	94 	130 	130 
018011 	208 	94 	130 	130 
018012 	208 	94 	130 	130 
018013 	208 	94 	130 	130 
018014 	208 	94 	130 	130 
018015 	208 	94 	130 	130 
018016 	208 	94 	130 	130 
018017 	208 	94 	130 	130 
018018 	208 	94 	130 	130 
018019 	208 	94 	130 	130 
018020 	208 	94 	130 	130 
018021 	208 	94 	130 	130 
018022 	208 	94 	130 	130 
018023 	208 	80 	130 	130 
018024 	208 	80 	130 	130 
018025 	208 	80 	130 	130 
018026 	208 	94 	130 	130 
018027 	208 	94 	130 	130 
018028 	208 	80 	130 	130 
018029 	208 	80 	130 	130 
018030 	208 	66 	130 	130 
018031 	208 	66 	130 	130 
018032 	208 	66 	130 	130 
018033 	208 	66 	130 	130 
018034 	208 	66 	130 	130 
018035 	208 	80 	130 	130 
018036 	208 	80 	130 	130 
018037 	208 	80 	130 	130 
018038 	208 	80 	130 	130 
018039 	208 	80 	130 	130 
018040 	208 	80 	130 	130 
018041 	208 	80 	130 	130 
018042 	208 	80 	130 	130 
018043 	208 	80 	130 	130 
018044 	208 	80 	130 	130 
018045 	208 	80 	130 	130 
018046 	208 	80 	130 	130 
018047 	208 	80 	130 	130 
018048 	208 	80 	130 	130 
018049 	208 	80 	130 	130 
018050 	208 	80 	130 	130 
018051 	208 	80 	130 	130 
018052 	208 	80 	130 	130 
018053 	208 	80 	130 	130 
018054 	208 	80 	130 	130 
018055 	208 	80 	130 	130 
018056 	208 	80 	130 	130 
018057 	208 	80 	130 	130 
018058 	208 	80 	130 	130 
018059 	208 	80 	130 	130 
018060 	208 	80 	130 	130 
018061 	208 	80 	130 	130 
018062 	208 	80 	130 	130 
018063 	208 	80 	130 	130 
018064 	208 	80 	130 	130 
018065 	208 	80 	130 	130 
018066 	208 	80 	130 	130 
018067 	208 	80 	130 	130 
018068 	208 	80 	130 	130 
018069 	208 	80 	130 	130 
018070 	208 	80 	130 	130 
018071 	208 	80 	130 	130 
018072 	208 	80 	130 	130 
018073 	208 	80 	130 	130 
018074 	208 	80 	130 	130 
018075 	208 	80 	130 	130 
018076 	208 	80 	130 	130 
018077 	208 	80 	130 	130 
018078 	208 	80 	130 	130 
018079 	208 	80 	130 	130 
018080 	208 	80 	130 	130 
018081 	208 	80 	130 	130 
018082 	208 	80 	130 	130 
018083 	208 	94 	130 	130 
018084 	208 	94 	130 	130 
018085 	208 	94 	130 	130 
018086 	208 	80 	130 	130 
018087 	208 	80 	130 	130 
018088 	208 	80 	130 	130 
018089 	208 	80 	130 	130 
018090 	208 	94 	130 	130 
018091 	208 	94 	130 	130 
018092 	208 	94 	130 	130 
018093 	208 	94 	130 	130 
018094 	208 	80 	130 	130 
018095 	208 	80 	130 	130 
018096 	208 	94 	130 	130 
018097 	208 	94 	130 	130 
018098 	208 	94 	130 	130 
018099 	208 	94 	130 	130 
018100 	208 	80 	130 	130 
018101 	208 	80 	130 	130 
018102 	223 	80 	130 	130 
018103 	223 	80 	130 	130 
018104 	208 	80 	130 	130 
018105 	208 	80 	130 	130 
018106 	208 	80 	130 	130 
018107 	208 	80 	130 	130 
018108 	208 	80 	130 	130 
