Identity  : 	id10020
Reference : 	mcFRwLcBrQA
Offset    : 	-7
FV Conf   : 	12.722
ASD Conf  : 	10.645

FRAME 	X 	Y 	W 	H 
045513 	115 	95 	187 	186 
045514 	115 	95 	187 	186 
045515 	115 	95 	187 	186 
045516 	115 	95 	187 	186 
045517 	115 	95 	187 	186 
045518 	115 	95 	187 	186 
045519 	115 	95 	187 	186 
045520 	115 	95 	187 	186 
045521 	115 	95 	187 	186 
045522 	115 	95 	187 	186 
045523 	115 	95 	187 	186 
045524 	115 	95 	187 	186 
045525 	115 	95 	187 	186 
045526 	115 	95 	187 	186 
045527 	115 	95 	187 	186 
045528 	115 	95 	187 	186 
045529 	115 	95 	187 	186 
045530 	115 	95 	187 	186 
045531 	115 	95 	187 	186 
045532 	115 	95 	187 	186 
045533 	115 	95 	187 	186 
045534 	115 	95 	187 	186 
045535 	115 	95 	187 	186 
045536 	115 	95 	187 	186 
045537 	115 	95 	187 	186 
045538 	115 	95 	187 	186 
045539 	115 	95 	187 	186 
045540 	115 	95 	187 	186 
045541 	115 	95 	187 	186 
045542 	115 	95 	187 	186 
045543 	115 	95 	187 	186 
045544 	115 	95 	187 	186 
045545 	115 	95 	187 	186 
045546 	115 	95 	187 	186 
045547 	115 	95 	187 	186 
045548 	115 	95 	187 	186 
045549 	115 	95 	187 	186 
045550 	115 	95 	187 	186 
045551 	115 	95 	187 	186 
045552 	115 	95 	187 	186 
045553 	113 	64 	224 	224 
045554 	113 	64 	224 	224 
045555 	113 	64 	224 	224 
045556 	113 	64 	224 	224 
045557 	113 	64 	224 	224 
045558 	113 	64 	224 	224 
045559 	135 	95 	187 	186 
045560 	113 	64 	224 	224 
045561 	135 	95 	187 	186 
045562 	135 	95 	187 	186 
045563 	135 	95 	187 	186 
045564 	135 	95 	187 	186 
045565 	135 	95 	187 	186 
045566 	135 	95 	187 	186 
045567 	135 	95 	187 	186 
045568 	135 	95 	187 	186 
045569 	135 	95 	187 	186 
045570 	135 	95 	187 	186 
045571 	135 	95 	187 	186 
045572 	135 	95 	187 	186 
045573 	113 	64 	224 	224 
045574 	113 	64 	224 	224 
045575 	113 	64 	224 	224 
045576 	114 	80 	206 	205 
045577 	115 	95 	187 	186 
045578 	115 	89 	194 	194 
045579 	114 	83 	202 	201 
045580 	114 	76 	209 	209 
045581 	113 	70 	217 	216 
045582 	113 	64 	224 	224 
045583 	135 	95 	187 	186 
045584 	135 	95 	187 	186 
045585 	135 	95 	187 	186 
045586 	135 	95 	187 	186 
045587 	135 	95 	187 	186 
045588 	138 	64 	224 	224 
045589 	138 	64 	224 	224 
045590 	156 	74 	187 	187 
045591 	156 	74 	187 	187 
045592 	156 	74 	187 	187 
045593 	163 	81 	187 	187 
045594 	170 	88 	187 	186 
045595 	177 	95 	187 	186 
045596 	177 	95 	187 	186 
045597 	177 	95 	187 	186 
045598 	163 	89 	224 	224 
045599 	163 	89 	224 	224 
045600 	197 	95 	187 	186 
045601 	197 	95 	187 	186 
045602 	197 	95 	187 	186 
045603 	197 	95 	187 	186 
045604 	197 	95 	187 	186 
045605 	197 	95 	187 	186 
045606 	197 	95 	187 	186 
045607 	197 	95 	187 	186 
045608 	197 	95 	187 	186 
045609 	197 	95 	187 	186 
045610 	197 	115 	187 	187 
045611 	197 	115 	187 	187 
045612 	197 	115 	187 	187 
045613 	197 	95 	187 	186 
045614 	197 	95 	187 	186 
045615 	197 	95 	187 	186 
045616 	197 	95 	187 	186 
045617 	197 	95 	187 	186 
045618 	197 	95 	187 	186 
045619 	197 	95 	187 	186 
045620 	197 	95 	187 	186 
045621 	197 	95 	187 	186 
045622 	197 	95 	187 	186 
045623 	197 	95 	187 	186 
