Identity  : 	id10045
Reference : 	2C6rSa0k4NM
Offset    : 	-1
FV Conf   : 	16.416
ASD Conf  : 	5.762

FRAME 	X 	Y 	W 	H 
003134 	180 	94 	130 	130 
003135 	180 	94 	130 	130 
003136 	180 	94 	130 	130 
003137 	180 	94 	130 	130 
003138 	180 	94 	130 	130 
003139 	180 	94 	130 	130 
003140 	180 	94 	130 	130 
003141 	180 	94 	130 	130 
003142 	180 	94 	130 	130 
003143 	180 	94 	130 	130 
003144 	180 	94 	130 	130 
003145 	180 	94 	130 	130 
003146 	180 	80 	130 	130 
003147 	180 	80 	130 	130 
003148 	180 	80 	130 	130 
003149 	180 	80 	130 	130 
003150 	180 	80 	130 	130 
003151 	180 	80 	130 	130 
003152 	180 	80 	130 	130 
003153 	180 	80 	130 	130 
003154 	180 	80 	130 	130 
003155 	180 	80 	130 	130 
003156 	180 	80 	130 	130 
003157 	180 	80 	130 	130 
003158 	180 	80 	130 	130 
003159 	180 	80 	130 	130 
003160 	180 	80 	130 	130 
003161 	180 	80 	130 	130 
003162 	180 	80 	130 	130 
003163 	180 	80 	130 	130 
003164 	180 	80 	130 	130 
003165 	180 	80 	130 	130 
003166 	180 	80 	130 	130 
003167 	180 	94 	130 	130 
003168 	180 	94 	130 	130 
003169 	180 	94 	130 	130 
003170 	180 	94 	130 	130 
003171 	180 	94 	130 	130 
003172 	180 	94 	130 	130 
003173 	180 	94 	130 	130 
003174 	180 	94 	130 	130 
003175 	180 	94 	130 	130 
003176 	180 	94 	130 	130 
003177 	180 	94 	130 	130 
003178 	180 	94 	130 	130 
003179 	180 	94 	130 	130 
003180 	180 	94 	130 	130 
003181 	180 	94 	130 	130 
003182 	180 	94 	130 	130 
003183 	180 	94 	130 	130 
003184 	180 	94 	130 	130 
003185 	180 	94 	130 	130 
003186 	180 	94 	130 	130 
003187 	180 	94 	130 	130 
003188 	180 	94 	130 	130 
003189 	180 	94 	130 	130 
003190 	165 	94 	130 	130 
003191 	165 	94 	130 	130 
003192 	165 	94 	130 	130 
003193 	165 	94 	130 	130 
003194 	180 	94 	130 	130 
003195 	180 	94 	130 	130 
003196 	180 	94 	130 	130 
003197 	180 	94 	130 	130 
003198 	180 	94 	130 	130 
003199 	180 	80 	130 	130 
003200 	180 	80 	130 	130 
003201 	180 	80 	130 	130 
003202 	180 	80 	130 	130 
003203 	180 	80 	130 	130 
003204 	180 	80 	130 	130 
003205 	180 	80 	130 	130 
003206 	180 	80 	130 	130 
003207 	180 	80 	130 	130 
003208 	180 	80 	130 	130 
003209 	180 	80 	130 	130 
003210 	180 	80 	130 	130 
003211 	165 	80 	130 	130 
003212 	165 	80 	130 	130 
003213 	165 	80 	130 	130 
003214 	165 	80 	130 	130 
003215 	165 	80 	130 	130 
003216 	165 	80 	130 	130 
003217 	165 	80 	130 	130 
003218 	165 	80 	130 	130 
003219 	165 	80 	130 	130 
003220 	165 	80 	130 	130 
003221 	165 	80 	130 	130 
003222 	165 	80 	130 	130 
003223 	165 	80 	130 	130 
003224 	165 	80 	130 	130 
003225 	165 	80 	130 	130 
003226 	165 	80 	130 	130 
003227 	180 	80 	130 	130 
