Identity  : 	id10045
Reference : 	6jj7z7rt_9E
Offset    : 	-2
FV Conf   : 	12.656
ASD Conf  : 	6.090

FRAME 	X 	Y 	W 	H 
036007 	177 	115 	187 	187 
036008 	177 	115 	187 	187 
036009 	177 	115 	187 	187 
036010 	177 	115 	187 	187 
036011 	177 	115 	187 	187 
036012 	156 	115 	187 	187 
036013 	156 	115 	187 	187 
036014 	138 	89 	224 	224 
036015 	156 	115 	187 	187 
036016 	156 	115 	187 	187 
036017 	156 	115 	187 	187 
036018 	156 	115 	187 	187 
036019 	156 	115 	187 	187 
036020 	156 	115 	187 	187 
036021 	177 	115 	187 	187 
036022 	177 	115 	187 	187 
036023 	177 	115 	187 	187 
036024 	177 	115 	187 	187 
036025 	177 	115 	187 	187 
036026 	177 	115 	187 	187 
036027 	177 	115 	187 	187 
036028 	177 	115 	187 	187 
036029 	177 	115 	187 	187 
036030 	177 	115 	187 	187 
036031 	177 	115 	187 	187 
036032 	177 	115 	187 	187 
036033 	177 	115 	187 	187 
036034 	177 	115 	187 	187 
036035 	177 	115 	187 	187 
036036 	177 	115 	187 	187 
036037 	177 	115 	187 	187 
036038 	177 	115 	187 	187 
036039 	177 	115 	187 	187 
036040 	177 	115 	187 	187 
036041 	177 	115 	187 	187 
036042 	177 	115 	187 	187 
036043 	177 	115 	187 	187 
036044 	177 	115 	187 	187 
036045 	177 	115 	187 	187 
036046 	177 	115 	187 	187 
036047 	177 	115 	187 	187 
036048 	177 	115 	187 	187 
036049 	177 	115 	187 	187 
036050 	177 	115 	187 	187 
036051 	177 	115 	187 	187 
036052 	177 	115 	187 	187 
036053 	177 	115 	187 	187 
036054 	177 	115 	187 	187 
036055 	177 	115 	187 	187 
036056 	177 	115 	187 	187 
036057 	177 	115 	187 	187 
036058 	177 	115 	187 	187 
036059 	177 	115 	187 	187 
036060 	177 	115 	187 	187 
036061 	177 	115 	187 	187 
036062 	177 	115 	187 	187 
036063 	177 	115 	187 	187 
036064 	177 	115 	187 	187 
036065 	177 	115 	187 	187 
036066 	177 	115 	187 	187 
036067 	177 	115 	187 	187 
036068 	177 	115 	187 	187 
036069 	177 	115 	187 	187 
036070 	177 	115 	187 	187 
036071 	177 	115 	187 	187 
036072 	177 	115 	187 	187 
036073 	177 	115 	187 	187 
036074 	177 	115 	187 	187 
036075 	177 	115 	187 	187 
036076 	177 	115 	187 	187 
036077 	177 	115 	187 	187 
036078 	177 	115 	187 	187 
036079 	177 	115 	187 	187 
036080 	177 	115 	187 	187 
036081 	177 	115 	187 	187 
036082 	177 	115 	187 	187 
036083 	177 	115 	187 	187 
036084 	177 	115 	187 	187 
036085 	177 	115 	187 	187 
036086 	177 	115 	187 	187 
036087 	177 	115 	187 	187 
036088 	177 	115 	187 	187 
036089 	177 	115 	187 	187 
036090 	177 	115 	187 	187 
036091 	177 	136 	187 	187 
036092 	177 	136 	187 	187 
036093 	177 	136 	187 	187 
036094 	177 	136 	187 	187 
036095 	156 	136 	187 	187 
036096 	156 	136 	187 	187 
036097 	156 	136 	187 	187 
036098 	177 	136 	187 	187 
036099 	177 	136 	187 	187 
036100 	177 	136 	187 	187 
036101 	177 	136 	187 	187 
036102 	177 	136 	187 	187 
036103 	177 	136 	187 	187 
036104 	177 	136 	187 	187 
036105 	177 	136 	187 	187 
036106 	177 	136 	187 	187 
036107 	177 	136 	187 	187 
036108 	177 	136 	187 	187 
036109 	177 	136 	187 	187 
036110 	177 	136 	187 	187 
036111 	177 	136 	187 	187 
036112 	177 	136 	187 	187 
036113 	177 	115 	187 	187 
036114 	177 	115 	187 	187 
036115 	177 	115 	187 	187 
036116 	177 	115 	187 	187 
036117 	177 	115 	187 	187 
036118 	177 	115 	187 	187 
036119 	177 	115 	187 	187 
036120 	177 	115 	187 	187 
036121 	177 	115 	187 	187 
036122 	177 	115 	187 	187 
036123 	177 	115 	187 	187 
036124 	177 	115 	187 	187 
036125 	177 	115 	187 	187 
036126 	156 	115 	187 	187 
036127 	156 	115 	187 	187 
036128 	156 	115 	187 	187 
036129 	156 	115 	187 	187 
036130 	156 	115 	187 	187 
036131 	156 	115 	187 	187 
036132 	156 	115 	187 	187 
036133 	156 	115 	187 	187 
036134 	156 	115 	187 	187 
