Identity  : 	id10045
Reference : 	FdYLFLTY-5Q
Offset    : 	-3
FV Conf   : 	13.206
ASD Conf  : 	6.244

FRAME 	X 	Y 	W 	H 
020702 	308 	135 	52 	53 
020703 	308 	135 	52 	53 
020704 	308 	135 	52 	53 
020705 	308 	135 	52 	53 
020706 	308 	135 	52 	53 
020707 	308 	135 	52 	53 
020708 	308 	135 	52 	53 
020709 	308 	135 	52 	53 
020710 	308 	135 	52 	53 
020711 	308 	135 	52 	53 
020712 	308 	135 	52 	53 
020713 	308 	135 	52 	53 
020714 	313 	135 	53 	53 
020715 	313 	135 	53 	53 
020716 	313 	135 	53 	53 
020717 	313 	135 	53 	53 
020718 	313 	135 	53 	53 
020719 	313 	135 	53 	53 
020720 	313 	135 	53 	53 
020721 	313 	135 	53 	53 
020722 	313 	135 	53 	53 
020723 	313 	135 	53 	53 
020724 	313 	135 	53 	53 
020725 	313 	130 	53 	52 
020726 	313 	130 	53 	52 
020727 	313 	130 	53 	52 
020728 	313 	130 	53 	52 
020729 	313 	130 	53 	52 
020730 	313 	130 	53 	52 
020731 	313 	130 	53 	52 
020732 	313 	130 	53 	52 
020733 	313 	124 	53 	53 
020734 	313 	124 	53 	53 
020735 	313 	124 	53 	53 
020736 	313 	124 	53 	53 
020737 	313 	124 	53 	53 
020738 	313 	124 	53 	53 
020739 	319 	124 	53 	53 
020740 	319 	124 	53 	53 
020741 	319 	124 	53 	53 
020742 	319 	124 	53 	53 
020743 	319 	124 	53 	53 
020744 	325 	124 	53 	53 
020745 	325 	124 	53 	53 
020746 	325 	124 	53 	53 
020747 	325 	124 	53 	53 
020748 	325 	124 	53 	53 
020749 	325 	124 	53 	53 
020750 	325 	124 	53 	53 
020751 	325 	124 	53 	53 
020752 	325 	124 	53 	53 
020753 	325 	124 	53 	53 
020754 	325 	124 	53 	53 
020755 	325 	124 	53 	53 
020756 	325 	124 	53 	53 
020757 	325 	124 	53 	53 
020758 	325 	124 	53 	53 
020759 	325 	124 	53 	53 
020760 	325 	124 	53 	53 
020761 	325 	124 	53 	53 
020762 	321 	121 	63 	63 
020763 	331 	124 	53 	53 
020764 	331 	124 	53 	53 
020765 	331 	124 	53 	53 
020766 	331 	124 	53 	53 
020767 	331 	124 	53 	53 
020768 	331 	124 	53 	53 
020769 	331 	124 	53 	53 
020770 	331 	124 	53 	53 
020771 	331 	124 	53 	53 
020772 	331 	124 	53 	53 
020773 	331 	124 	53 	53 
020774 	331 	124 	53 	53 
020775 	331 	124 	53 	53 
020776 	331 	124 	53 	53 
020777 	331 	124 	53 	53 
020778 	331 	124 	53 	53 
020779 	331 	124 	53 	53 
020780 	331 	124 	53 	53 
020781 	331 	124 	53 	53 
020782 	331 	124 	53 	53 
020783 	325 	124 	53 	53 
020784 	325 	124 	53 	53 
020785 	325 	124 	53 	53 
020786 	325 	124 	53 	53 
020787 	325 	124 	53 	53 
020788 	325 	130 	53 	52 
020789 	325 	130 	53 	52 
020790 	325 	130 	53 	52 
020791 	325 	130 	53 	52 
020792 	325 	124 	53 	53 
020793 	319 	124 	53 	53 
020794 	314 	121 	63 	63 
020795 	319 	124 	53 	53 
020796 	319 	124 	53 	53 
020797 	319 	130 	53 	52 
020798 	319 	130 	53 	52 
020799 	319 	130 	53 	52 
020800 	319 	130 	53 	52 
020801 	319 	130 	53 	52 
020802 	319 	130 	53 	52 
020803 	319 	130 	53 	52 
020804 	319 	130 	53 	52 
020805 	319 	124 	53 	53 
020806 	319 	124 	53 	53 
020807 	319 	124 	53 	53 
020808 	319 	124 	53 	53 
020809 	319 	124 	53 	53 
020810 	319 	124 	53 	53 
