Identity  : 	id10045
Reference : 	hz5NFR5M6Uc
Offset    : 	-1
FV Conf   : 	16.170
ASD Conf  : 	5.786

FRAME 	X 	Y 	W 	H 
003496 	66 	54 	108 	109 
003497 	66 	54 	108 	109 
003498 	66 	54 	108 	109 
003499 	66 	54 	108 	109 
003500 	66 	54 	108 	109 
003501 	66 	54 	108 	109 
003502 	66 	54 	108 	109 
003503 	66 	54 	108 	109 
003504 	66 	54 	108 	109 
003505 	66 	54 	108 	109 
003506 	66 	54 	108 	109 
003507 	66 	54 	108 	109 
003508 	66 	54 	108 	109 
003509 	65 	65 	90 	91 
003510 	65 	65 	90 	91 
003511 	65 	65 	90 	91 
003512 	65 	65 	90 	91 
003513 	65 	65 	90 	91 
003514 	65 	65 	90 	91 
003515 	65 	65 	90 	91 
003516 	65 	65 	90 	91 
003517 	65 	65 	90 	91 
003518 	65 	65 	90 	91 
003519 	65 	65 	90 	91 
003520 	65 	65 	90 	91 
003521 	65 	65 	90 	91 
003522 	65 	65 	90 	91 
003523 	65 	65 	90 	91 
003524 	65 	65 	90 	91 
003525 	65 	65 	90 	91 
003526 	65 	65 	90 	91 
003527 	65 	65 	90 	91 
003528 	75 	65 	90 	91 
003529 	75 	65 	90 	91 
003530 	75 	65 	90 	91 
003531 	75 	65 	90 	91 
003532 	75 	65 	90 	91 
003533 	75 	65 	90 	91 
003534 	75 	65 	90 	91 
003535 	75 	65 	90 	91 
003536 	66 	54 	108 	109 
003537 	75 	65 	90 	91 
003538 	75 	65 	90 	91 
003539 	75 	65 	90 	91 
003540 	75 	65 	90 	91 
003541 	66 	54 	108 	109 
003542 	75 	65 	90 	91 
003543 	66 	54 	108 	109 
003544 	66 	54 	108 	109 
003545 	66 	54 	108 	109 
003546 	66 	54 	108 	109 
003547 	66 	54 	108 	109 
003548 	66 	54 	108 	109 
003549 	66 	54 	108 	109 
003550 	66 	54 	108 	109 
003551 	66 	54 	108 	109 
003552 	66 	54 	108 	109 
003553 	66 	54 	108 	109 
003554 	66 	54 	108 	109 
003555 	66 	54 	108 	109 
003556 	78 	54 	108 	109 
003557 	78 	54 	108 	109 
003558 	78 	54 	108 	109 
003559 	78 	54 	108 	109 
003560 	78 	54 	108 	109 
003561 	78 	54 	108 	109 
003562 	78 	54 	108 	109 
003563 	78 	54 	108 	109 
003564 	78 	54 	108 	109 
003565 	78 	54 	108 	109 
003566 	78 	54 	108 	109 
003567 	78 	54 	108 	109 
003568 	78 	54 	108 	109 
003569 	78 	54 	108 	109 
003570 	78 	54 	108 	109 
003571 	78 	54 	108 	109 
003572 	78 	54 	108 	109 
003573 	78 	54 	108 	109 
003574 	78 	54 	108 	109 
003575 	78 	54 	108 	109 
003576 	66 	54 	108 	109 
003577 	66 	54 	108 	109 
003578 	66 	54 	108 	109 
003579 	66 	54 	108 	109 
003580 	66 	54 	108 	109 
003581 	66 	54 	108 	109 
003582 	66 	54 	108 	109 
003583 	66 	54 	108 	109 
003584 	66 	54 	108 	109 
003585 	66 	54 	108 	109 
003586 	66 	54 	108 	109 
003587 	66 	54 	108 	109 
003588 	66 	54 	108 	109 
003589 	66 	54 	108 	109 
003590 	66 	54 	108 	109 
003591 	66 	54 	108 	109 
003592 	66 	54 	108 	109 
003593 	66 	54 	108 	109 
003594 	66 	54 	108 	109 
003595 	66 	54 	108 	109 
003596 	66 	54 	108 	109 
003597 	66 	54 	108 	109 
003598 	66 	54 	108 	109 
003599 	66 	54 	108 	109 
003600 	66 	54 	108 	109 
