Identity  : 	id10057
Reference : 	KBzAOT_WZGo
Offset    : 	-1
FV Conf   : 	11.885
ASD Conf  : 	10.353

FRAME 	X 	Y 	W 	H 
000529 	209 	54 	109 	109 
000530 	209 	54 	109 	109 
000531 	209 	54 	109 	109 
000532 	209 	54 	109 	109 
000533 	209 	54 	109 	109 
000534 	209 	54 	109 	109 
000535 	209 	54 	109 	109 
000536 	209 	54 	109 	109 
000537 	224 	65 	91 	91 
000538 	209 	54 	109 	109 
000539 	209 	54 	109 	109 
000540 	209 	54 	109 	109 
000541 	209 	54 	109 	109 
000542 	209 	54 	109 	109 
000543 	209 	54 	109 	109 
000544 	209 	54 	109 	109 
000545 	209 	54 	109 	109 
000546 	209 	54 	109 	109 
000547 	209 	54 	109 	109 
000548 	209 	54 	109 	109 
000549 	209 	54 	109 	109 
000550 	209 	54 	109 	109 
000551 	221 	54 	109 	109 
000552 	221 	54 	109 	109 
000553 	221 	54 	109 	109 
000554 	221 	54 	109 	109 
000555 	233 	54 	109 	109 
000556 	233 	54 	109 	109 
000557 	233 	54 	109 	109 
000558 	233 	54 	109 	109 
000559 	233 	54 	109 	109 
000560 	233 	54 	109 	109 
000561 	233 	54 	109 	109 
000562 	233 	54 	109 	109 
000563 	233 	54 	109 	109 
000564 	233 	54 	109 	109 
000565 	233 	54 	109 	109 
000566 	233 	54 	109 	109 
000567 	233 	54 	109 	109 
000568 	244 	55 	90 	91 
000569 	244 	55 	90 	91 
000570 	244 	55 	90 	91 
000571 	254 	55 	90 	91 
000572 	254 	55 	90 	91 
000573 	254 	55 	90 	91 
000574 	254 	55 	90 	91 
000575 	254 	55 	90 	91 
000576 	254 	55 	90 	91 
000577 	254 	55 	90 	91 
000578 	254 	55 	90 	91 
000579 	254 	55 	90 	91 
000580 	254 	65 	90 	91 
000581 	254 	65 	90 	91 
000582 	254 	65 	90 	91 
000583 	245 	54 	109 	109 
000584 	245 	54 	109 	109 
000585 	245 	54 	109 	109 
000586 	233 	54 	109 	109 
000587 	233 	54 	109 	109 
000588 	233 	54 	109 	109 
000589 	233 	54 	109 	109 
000590 	254 	65 	90 	91 
000591 	254 	65 	90 	91 
000592 	254 	65 	90 	91 
000593 	254 	65 	90 	91 
000594 	254 	65 	90 	91 
000595 	254 	65 	90 	91 
000596 	254 	65 	90 	91 
000597 	254 	65 	90 	91 
000598 	254 	65 	90 	91 
000599 	254 	65 	90 	91 
000600 	254 	65 	90 	91 
000601 	254 	65 	90 	91 
000602 	254 	65 	90 	91 
000603 	254 	65 	90 	91 
000604 	254 	65 	90 	91 
000605 	254 	65 	90 	91 
000606 	254 	65 	90 	91 
000607 	254 	65 	90 	91 
000608 	264 	65 	90 	91 
000609 	264 	65 	90 	91 
000610 	264 	65 	90 	91 
000611 	264 	65 	90 	91 
000612 	264 	65 	90 	91 
000613 	264 	65 	90 	91 
000614 	274 	65 	90 	91 
000615 	274 	65 	90 	91 
000616 	274 	65 	90 	91 
000617 	274 	65 	90 	91 
000618 	274 	65 	90 	91 
000619 	269 	54 	108 	109 
000620 	269 	54 	108 	109 
000621 	269 	54 	108 	109 
000622 	281 	54 	108 	109 
000623 	281 	54 	108 	109 
000624 	281 	54 	108 	109 
000625 	281 	54 	108 	109 
000626 	281 	54 	108 	109 
000627 	281 	54 	108 	109 
000628 	284 	65 	90 	91 
000629 	284 	65 	90 	91 
000630 	284 	65 	90 	91 
000631 	284 	65 	90 	91 
000632 	284 	65 	90 	91 
000633 	269 	54 	108 	109 
000634 	269 	54 	108 	109 
