Identity  : 	id10057
Reference : 	xKWYozNgnRM
Offset    : 	-3
FV Conf   : 	18.811
ASD Conf  : 	8.522

FRAME 	X 	Y 	W 	H 
002951 	233 	90 	109 	109 
002952 	233 	90 	109 	109 
002953 	233 	90 	109 	109 
002954 	233 	90 	109 	109 
002955 	233 	90 	109 	109 
002956 	233 	90 	109 	109 
002957 	233 	90 	109 	109 
002958 	233 	90 	109 	109 
002959 	233 	90 	109 	109 
002960 	233 	90 	109 	109 
002961 	233 	90 	109 	109 
002962 	233 	90 	109 	109 
002963 	233 	90 	109 	109 
002964 	233 	90 	109 	109 
002965 	233 	90 	109 	109 
002966 	223 	80 	130 	130 
002967 	223 	80 	130 	130 
002968 	245 	90 	109 	109 
002969 	245 	78 	109 	109 
002970 	245 	78 	109 	109 
002971 	245 	78 	109 	109 
002972 	245 	78 	109 	109 
002973 	245 	78 	109 	109 
002974 	257 	78 	109 	109 
002975 	257 	90 	109 	109 
002976 	257 	90 	109 	109 
002977 	257 	90 	109 	109 
002978 	251 	80 	130 	130 
002979 	269 	90 	108 	109 
002980 	269 	90 	108 	109 
002981 	269 	90 	108 	109 
002982 	269 	90 	108 	109 
002983 	269 	90 	108 	109 
002984 	269 	90 	108 	109 
002985 	269 	90 	108 	109 
002986 	269 	90 	108 	109 
002987 	269 	90 	108 	109 
002988 	269 	78 	108 	109 
002989 	269 	78 	108 	109 
002990 	269 	78 	108 	109 
002991 	269 	78 	108 	109 
002992 	269 	78 	108 	109 
002993 	269 	78 	108 	109 
002994 	269 	78 	108 	109 
002995 	269 	78 	108 	109 
002996 	269 	78 	108 	109 
002997 	269 	78 	108 	109 
002998 	269 	78 	108 	109 
002999 	269 	78 	108 	109 
003000 	269 	78 	108 	109 
003001 	269 	90 	108 	109 
003002 	269 	90 	108 	109 
003003 	269 	90 	108 	109 
003004 	269 	90 	108 	109 
003005 	269 	90 	108 	109 
003006 	269 	90 	108 	109 
003007 	269 	90 	108 	109 
003008 	269 	90 	108 	109 
003009 	269 	90 	108 	109 
003010 	269 	90 	108 	109 
003011 	269 	90 	108 	109 
003012 	269 	90 	108 	109 
003013 	269 	90 	108 	109 
003014 	269 	90 	108 	109 
003015 	269 	90 	108 	109 
003016 	269 	90 	108 	109 
003017 	269 	90 	108 	109 
003018 	269 	90 	108 	109 
003019 	269 	90 	108 	109 
003020 	269 	90 	108 	109 
003021 	269 	90 	108 	109 
003022 	269 	90 	108 	109 
003023 	269 	90 	108 	109 
003024 	269 	90 	108 	109 
003025 	269 	90 	108 	109 
003026 	251 	80 	130 	130 
003027 	251 	80 	130 	130 
003028 	257 	90 	109 	109 
003029 	257 	90 	109 	109 
003030 	257 	90 	109 	109 
003031 	245 	90 	109 	109 
003032 	245 	90 	109 	109 
003033 	245 	90 	109 	109 
003034 	245 	90 	109 	109 
003035 	245 	90 	109 	109 
003036 	245 	90 	109 	109 
003037 	223 	80 	130 	130 
003038 	233 	90 	109 	109 
003039 	233 	78 	109 	109 
003040 	233 	90 	109 	109 
003041 	233 	90 	109 	109 
003042 	233 	90 	109 	109 
003043 	233 	90 	109 	109 
003044 	233 	90 	109 	109 
003045 	233 	90 	109 	109 
003046 	233 	90 	109 	109 
003047 	233 	90 	109 	109 
003048 	233 	90 	109 	109 
003049 	233 	90 	109 	109 
003050 	233 	90 	109 	109 
003051 	233 	90 	109 	109 
003052 	233 	90 	109 	109 
003053 	223 	80 	130 	130 
003054 	223 	80 	130 	130 
003055 	245 	90 	109 	109 
003056 	245 	90 	109 	109 
003057 	245 	90 	109 	109 
003058 	245 	90 	109 	109 
003059 	245 	90 	109 	109 
003060 	245 	90 	109 	109 
003061 	245 	90 	109 	109 
003062 	245 	90 	109 	109 
003063 	223 	80 	130 	130 
003064 	223 	80 	130 	130 
003065 	223 	80 	130 	130 
003066 	223 	80 	130 	130 
003067 	223 	80 	130 	130 
003068 	223 	80 	130 	130 
003069 	223 	80 	130 	130 
003070 	223 	80 	130 	130 
003071 	245 	90 	109 	109 
003072 	245 	90 	109 	109 
003073 	245 	90 	109 	109 
003074 	245 	90 	109 	109 
003075 	245 	90 	109 	109 
003076 	245 	90 	109 	109 
003077 	245 	90 	109 	109 
003078 	245 	90 	109 	109 
003079 	245 	90 	109 	109 
003080 	245 	90 	109 	109 
003081 	245 	90 	109 	109 
003082 	245 	90 	109 	109 
003083 	245 	90 	109 	109 
003084 	245 	90 	109 	109 
003085 	245 	90 	109 	109 
003086 	245 	90 	109 	109 
003087 	245 	90 	109 	109 
003088 	245 	90 	109 	109 
003089 	245 	90 	109 	109 
003090 	245 	90 	109 	109 
003091 	245 	90 	109 	109 
003092 	245 	90 	109 	109 
003093 	257 	90 	109 	109 
003094 	257 	90 	109 	109 
003095 	257 	90 	109 	109 
003096 	257 	90 	109 	109 
003097 	257 	90 	109 	109 
003098 	257 	90 	109 	109 
003099 	251 	80 	130 	130 
003100 	251 	80 	130 	130 
003101 	251 	80 	130 	130 
003102 	251 	80 	130 	130 
003103 	269 	90 	108 	109 
003104 	269 	90 	108 	109 
003105 	269 	78 	108 	109 
003106 	269 	78 	108 	109 
003107 	269 	90 	108 	109 
003108 	269 	90 	108 	109 
003109 	269 	90 	108 	109 
003110 	269 	90 	108 	109 
003111 	269 	90 	108 	109 
003112 	269 	90 	108 	109 
003113 	269 	78 	108 	109 
003114 	269 	90 	108 	109 
003115 	266 	80 	130 	130 
003116 	269 	90 	108 	109 
003117 	269 	90 	108 	109 
003118 	266 	80 	130 	130 
003119 	269 	90 	108 	109 
003120 	269 	90 	108 	109 
003121 	269 	90 	108 	109 
003122 	269 	90 	108 	109 
003123 	269 	90 	108 	109 
003124 	266 	80 	130 	130 
003125 	269 	90 	108 	109 
003126 	269 	90 	108 	109 
003127 	269 	90 	108 	109 
003128 	269 	90 	108 	109 
003129 	269 	90 	108 	109 
003130 	257 	90 	109 	109 
003131 	257 	90 	109 	109 
003132 	257 	90 	109 	109 
003133 	257 	90 	109 	109 
003134 	257 	90 	109 	109 
003135 	257 	90 	109 	109 
003136 	257 	90 	109 	109 
003137 	257 	90 	109 	109 
003138 	257 	90 	109 	109 
003139 	257 	90 	109 	109 
003140 	257 	90 	109 	109 
003141 	257 	90 	109 	109 
003142 	257 	90 	109 	109 
003143 	257 	90 	109 	109 
003144 	245 	90 	109 	109 
003145 	245 	90 	109 	109 
003146 	245 	90 	109 	109 
003147 	245 	90 	109 	109 
003148 	245 	90 	109 	109 
003149 	245 	90 	109 	109 
003150 	245 	90 	109 	109 
003151 	245 	90 	109 	109 
003152 	245 	90 	109 	109 
003153 	245 	90 	109 	109 
003154 	245 	90 	109 	109 
003155 	245 	90 	109 	109 
003156 	245 	90 	109 	109 
003157 	245 	90 	109 	109 
003158 	245 	90 	109 	109 
003159 	257 	90 	109 	109 
003160 	257 	90 	109 	109 
003161 	257 	90 	109 	109 
003162 	251 	80 	130 	130 
003163 	269 	90 	108 	109 
003164 	269 	90 	108 	109 
003165 	269 	90 	108 	109 
003166 	269 	90 	108 	109 
003167 	269 	90 	108 	109 
003168 	269 	90 	108 	109 
003169 	269 	90 	108 	109 
003170 	269 	90 	108 	109 
003171 	269 	90 	108 	109 
003172 	269 	90 	108 	109 
003173 	269 	90 	108 	109 
003174 	269 	90 	108 	109 
003175 	269 	90 	108 	109 
003176 	269 	90 	108 	109 
003177 	269 	90 	108 	109 
003178 	269 	90 	108 	109 
003179 	269 	90 	108 	109 
003180 	269 	90 	108 	109 
003181 	269 	90 	108 	109 
003182 	269 	90 	108 	109 
003183 	269 	90 	108 	109 
003184 	269 	90 	108 	109 
003185 	269 	90 	108 	109 
003186 	269 	90 	108 	109 
003187 	269 	90 	108 	109 
003188 	251 	80 	130 	130 
003189 	257 	90 	109 	109 
003190 	257 	90 	109 	109 
003191 	257 	90 	109 	109 
003192 	257 	90 	109 	109 
003193 	257 	90 	109 	109 
003194 	257 	78 	109 	109 
