Identity  : 	id10076
Reference : 	UTMp8aixRpE
Offset    : 	-1
FV Conf   : 	17.024
ASD Conf  : 	6.489

FRAME 	X 	Y 	W 	H 
009021 	284 	105 	90 	91 
009022 	284 	105 	90 	91 
009023 	284 	105 	90 	91 
009024 	284 	105 	90 	91 
009025 	284 	105 	90 	91 
009026 	284 	105 	90 	91 
009027 	284 	105 	90 	91 
009028 	284 	105 	90 	91 
009029 	284 	105 	90 	91 
009030 	284 	105 	90 	91 
009031 	284 	105 	90 	91 
009032 	284 	105 	90 	91 
009033 	284 	105 	90 	91 
009034 	284 	105 	90 	91 
009035 	284 	105 	90 	91 
009036 	284 	105 	90 	91 
009037 	284 	105 	90 	91 
009038 	284 	105 	90 	91 
009039 	284 	105 	90 	91 
009040 	284 	105 	90 	91 
009041 	284 	105 	90 	91 
009042 	284 	105 	90 	91 
009043 	284 	105 	90 	91 
009044 	284 	105 	90 	91 
009045 	284 	105 	90 	91 
009046 	284 	105 	90 	91 
009047 	284 	105 	90 	91 
009048 	284 	105 	90 	91 
009049 	284 	105 	90 	91 
009050 	284 	105 	90 	91 
009051 	284 	105 	90 	91 
009052 	284 	105 	90 	91 
009053 	284 	105 	90 	91 
009054 	284 	105 	90 	91 
009055 	284 	105 	90 	91 
009056 	284 	105 	90 	91 
009057 	284 	105 	90 	91 
009058 	284 	105 	90 	91 
009059 	284 	105 	90 	91 
009060 	284 	105 	90 	91 
009061 	284 	105 	90 	91 
009062 	284 	105 	90 	91 
009063 	284 	105 	90 	91 
009064 	284 	95 	90 	91 
009065 	284 	95 	90 	91 
009066 	284 	95 	90 	91 
009067 	284 	95 	90 	91 
009068 	284 	105 	90 	91 
009069 	284 	105 	90 	91 
009070 	269 	90 	108 	109 
009071 	269 	90 	108 	109 
009072 	274 	95 	90 	91 
009073 	274 	95 	90 	91 
009074 	274 	95 	90 	91 
009075 	274 	95 	90 	91 
009076 	274 	95 	90 	91 
009077 	274 	95 	90 	91 
009078 	274 	95 	90 	91 
009079 	274 	95 	90 	91 
009080 	274 	95 	90 	91 
009081 	274 	95 	90 	91 
009082 	274 	95 	90 	91 
009083 	269 	90 	108 	109 
009084 	284 	95 	90 	91 
009085 	284 	95 	90 	91 
009086 	284 	95 	90 	91 
009087 	284 	95 	90 	91 
009088 	284 	95 	90 	91 
009089 	284 	95 	90 	91 
009090 	284 	95 	90 	91 
009091 	284 	95 	90 	91 
009092 	284 	95 	90 	91 
009093 	269 	90 	108 	109 
009094 	269 	90 	108 	109 
009095 	269 	90 	108 	109 
009096 	269 	90 	108 	109 
009097 	269 	90 	108 	109 
009098 	269 	90 	108 	109 
009099 	269 	90 	108 	109 
009100 	269 	90 	108 	109 
009101 	269 	90 	108 	109 
009102 	269 	90 	108 	109 
009103 	269 	90 	108 	109 
009104 	269 	90 	108 	109 
009105 	274 	95 	90 	91 
009106 	274 	95 	90 	91 
009107 	274 	95 	90 	91 
009108 	274 	95 	90 	91 
009109 	274 	95 	90 	91 
009110 	274 	95 	90 	91 
009111 	269 	90 	108 	109 
009112 	274 	95 	90 	91 
009113 	269 	90 	108 	109 
009114 	269 	90 	108 	109 
009115 	274 	95 	90 	91 
009116 	269 	90 	108 	109 
009117 	269 	90 	108 	109 
009118 	269 	90 	108 	109 
009119 	269 	90 	108 	109 
009120 	284 	95 	90 	91 
009121 	284 	95 	90 	91 
009122 	284 	95 	90 	91 
009123 	284 	95 	90 	91 
009124 	281 	90 	108 	109 
009125 	281 	78 	108 	109 
009126 	294 	95 	90 	91 
009127 	294 	95 	90 	91 
009128 	294 	85 	90 	91 
009129 	294 	85 	90 	91 
009130 	293 	78 	108 	109 
009131 	293 	78 	108 	109 
009132 	293 	78 	108 	109 
009133 	304 	85 	90 	91 
009134 	304 	85 	90 	91 
