Identity  : 	id10092
Reference : 	IwuNO31XnVQ
Offset    : 	-1
FV Conf   : 	17.376
ASD Conf  : 	5.556

FRAME 	X 	Y 	W 	H 
002293 	413 	65 	91 	91 
002294 	413 	65 	91 	91 
002295 	413 	65 	91 	91 
002296 	413 	65 	91 	91 
002297 	413 	65 	91 	91 
002298 	403 	65 	91 	91 
002299 	403 	65 	91 	91 
002300 	403 	65 	91 	91 
002301 	403 	65 	91 	91 
002302 	403 	65 	91 	91 
002303 	403 	65 	91 	91 
002304 	403 	65 	91 	91 
002305 	403 	65 	91 	91 
002306 	403 	65 	91 	91 
002307 	403 	65 	91 	91 
002308 	403 	65 	91 	91 
002309 	393 	65 	91 	91 
002310 	393 	65 	91 	91 
002311 	393 	65 	91 	91 
002312 	393 	65 	91 	91 
002313 	393 	65 	91 	91 
002314 	393 	65 	91 	91 
002315 	393 	65 	91 	91 
002316 	393 	65 	91 	91 
002317 	376 	54 	109 	109 
002318 	376 	54 	109 	109 
002319 	383 	65 	91 	91 
002320 	383 	65 	91 	91 
002321 	383 	65 	91 	91 
002322 	383 	65 	91 	91 
002323 	383 	65 	91 	91 
002324 	383 	65 	91 	91 
002325 	383 	65 	91 	91 
002326 	383 	65 	91 	91 
002327 	383 	65 	91 	91 
002328 	383 	65 	91 	91 
002329 	383 	65 	91 	91 
002330 	383 	65 	91 	91 
002331 	383 	55 	91 	91 
002332 	376 	54 	109 	109 
002333 	376 	54 	109 	109 
002334 	393 	65 	91 	91 
002335 	393 	65 	91 	91 
002336 	393 	65 	91 	91 
002337 	393 	65 	91 	91 
002338 	376 	54 	109 	109 
002339 	383 	55 	91 	91 
002340 	383 	55 	91 	91 
002341 	383 	65 	91 	91 
002342 	376 	54 	109 	109 
002343 	393 	65 	91 	91 
002344 	393 	65 	91 	91 
002345 	393 	65 	91 	91 
002346 	393 	65 	91 	91 
002347 	393 	65 	91 	91 
002348 	393 	65 	91 	91 
002349 	393 	65 	91 	91 
002350 	393 	65 	91 	91 
002351 	393 	65 	91 	91 
002352 	393 	65 	91 	91 
002353 	393 	65 	91 	91 
002354 	393 	65 	91 	91 
002355 	393 	65 	91 	91 
002356 	393 	65 	91 	91 
002357 	393 	65 	91 	91 
002358 	393 	65 	91 	91 
002359 	393 	65 	91 	91 
002360 	393 	65 	91 	91 
002361 	393 	65 	91 	91 
002362 	393 	65 	91 	91 
002363 	393 	65 	91 	91 
002364 	393 	65 	91 	91 
002365 	393 	65 	91 	91 
002366 	393 	65 	91 	91 
002367 	393 	65 	91 	91 
002368 	393 	65 	91 	91 
002369 	393 	65 	91 	91 
002370 	393 	65 	91 	91 
002371 	393 	65 	91 	91 
002372 	393 	65 	91 	91 
002373 	393 	65 	91 	91 
002374 	393 	65 	91 	91 
002375 	393 	65 	91 	91 
002376 	393 	65 	91 	91 
002377 	393 	65 	91 	91 
002378 	393 	65 	91 	91 
002379 	393 	65 	91 	91 
002380 	393 	65 	91 	91 
002381 	393 	65 	91 	91 
002382 	393 	65 	91 	91 
002383 	393 	65 	91 	91 
002384 	393 	65 	91 	91 
002385 	393 	65 	91 	91 
002386 	393 	65 	91 	91 
002387 	393 	65 	91 	91 
002388 	393 	65 	91 	91 
002389 	393 	65 	91 	91 
002390 	393 	65 	91 	91 
002391 	393 	65 	91 	91 
002392 	393 	65 	91 	91 
002393 	393 	65 	91 	91 
002394 	393 	65 	91 	91 
002395 	393 	65 	91 	91 
002396 	393 	65 	91 	91 
002397 	393 	65 	91 	91 
002398 	393 	65 	91 	91 
002399 	393 	65 	91 	91 
002400 	393 	65 	91 	91 
002401 	393 	65 	91 	91 
002402 	393 	65 	91 	91 
002403 	393 	65 	91 	91 
002404 	393 	65 	91 	91 
002405 	393 	65 	91 	91 
002406 	393 	65 	91 	91 
002407 	403 	65 	91 	91 
002408 	403 	65 	91 	91 
002409 	403 	65 	91 	91 
002410 	413 	65 	91 	91 
002411 	413 	65 	91 	91 
002412 	413 	65 	91 	91 
002413 	423 	75 	91 	91 
002414 	423 	65 	91 	91 
002415 	423 	65 	91 	91 
002416 	433 	75 	91 	91 
002417 	433 	65 	91 	91 
002418 	433 	65 	91 	91 
002419 	433 	65 	91 	91 
002420 	433 	65 	91 	91 
002421 	423 	65 	91 	91 
002422 	423 	65 	91 	91 
002423 	423 	65 	91 	91 
002424 	423 	65 	91 	91 
002425 	423 	65 	91 	91 
002426 	423 	65 	91 	91 
002427 	423 	65 	91 	91 
002428 	423 	65 	91 	91 
002429 	423 	65 	91 	91 
002430 	413 	65 	91 	91 
002431 	413 	65 	91 	91 
002432 	413 	65 	91 	91 
