Identity  : 	id10092
Reference : 	vdncTmuqlpI
Offset    : 	-2
FV Conf   : 	15.696
ASD Conf  : 	5.909

FRAME 	X 	Y 	W 	H 
000622 	413 	85 	91 	91 
000623 	413 	85 	91 	91 
000624 	413 	85 	91 	91 
000625 	413 	85 	91 	91 
000626 	413 	85 	91 	91 
000627 	413 	85 	91 	91 
000628 	413 	85 	91 	91 
000629 	413 	85 	91 	91 
000630 	413 	85 	91 	91 
000631 	413 	85 	91 	91 
000632 	413 	85 	91 	91 
000633 	413 	85 	91 	91 
000634 	413 	85 	91 	91 
000635 	413 	85 	91 	91 
000636 	413 	85 	91 	91 
000637 	413 	85 	91 	91 
000638 	413 	85 	91 	91 
000639 	419 	87 	75 	76 
000640 	419 	87 	75 	76 
000641 	413 	85 	91 	91 
000642 	419 	87 	75 	76 
000643 	413 	85 	91 	91 
000644 	413 	85 	91 	91 
000645 	413 	85 	91 	91 
000646 	413 	85 	91 	91 
000647 	413 	85 	91 	91 
000648 	413 	85 	91 	91 
000649 	413 	75 	91 	91 
000650 	413 	75 	91 	91 
000651 	413 	75 	91 	91 
000652 	413 	75 	91 	91 
000653 	413 	75 	91 	91 
000654 	413 	75 	91 	91 
000655 	413 	75 	91 	91 
000656 	413 	75 	91 	91 
000657 	413 	75 	91 	91 
000658 	413 	75 	91 	91 
000659 	413 	75 	91 	91 
000660 	413 	75 	91 	91 
000661 	413 	75 	91 	91 
000662 	413 	75 	91 	91 
000663 	413 	75 	91 	91 
000664 	413 	75 	91 	91 
000665 	413 	75 	91 	91 
000666 	413 	85 	91 	91 
000667 	413 	85 	91 	91 
000668 	413 	85 	91 	91 
000669 	403 	85 	91 	91 
000670 	403 	85 	91 	91 
000671 	403 	85 	91 	91 
000672 	403 	85 	91 	91 
000673 	403 	85 	91 	91 
000674 	403 	85 	91 	91 
000675 	403 	85 	91 	91 
000676 	403 	85 	91 	91 
000677 	403 	85 	91 	91 
000678 	403 	85 	91 	91 
000679 	403 	85 	91 	91 
000680 	413 	85 	91 	91 
000681 	413 	85 	91 	91 
000682 	413 	85 	91 	91 
000683 	413 	85 	91 	91 
000684 	413 	85 	91 	91 
000685 	413 	85 	91 	91 
000686 	413 	85 	91 	91 
000687 	413 	85 	91 	91 
000688 	413 	85 	91 	91 
000689 	413 	85 	91 	91 
000690 	413 	85 	91 	91 
000691 	413 	85 	91 	91 
000692 	413 	85 	91 	91 
000693 	413 	75 	91 	91 
000694 	413 	85 	91 	91 
000695 	413 	75 	91 	91 
000696 	413 	85 	91 	91 
000697 	413 	85 	91 	91 
000698 	413 	85 	91 	91 
000699 	423 	85 	91 	91 
000700 	427 	87 	76 	76 
000701 	423 	85 	91 	91 
000702 	423 	75 	91 	91 
000703 	423 	75 	91 	91 
000704 	423 	75 	91 	91 
000705 	423 	75 	91 	91 
000706 	435 	87 	76 	76 
000707 	433 	75 	91 	91 
000708 	433 	75 	91 	91 
000709 	433 	75 	91 	91 
000710 	433 	75 	91 	91 
000711 	433 	75 	91 	91 
000712 	433 	75 	91 	91 
000713 	433 	75 	91 	91 
000714 	433 	75 	91 	91 
000715 	435 	79 	76 	76 
000716 	423 	65 	91 	91 
000717 	423 	65 	91 	91 
000718 	435 	79 	76 	76 
000719 	423 	65 	91 	91 
000720 	435 	79 	76 	76 
000721 	427 	71 	76 	75 
000722 	427 	71 	76 	75 
000723 	427 	71 	76 	75 
000724 	427 	71 	76 	75 
000725 	427 	71 	76 	75 
000726 	427 	71 	76 	75 
000727 	413 	65 	91 	91 
000728 	427 	79 	76 	76 
000729 	427 	79 	76 	76 
000730 	427 	79 	76 	76 
000731 	427 	79 	76 	76 
000732 	427 	79 	76 	76 
000733 	427 	79 	76 	76 
000734 	427 	79 	76 	76 
000735 	427 	79 	76 	76 
000736 	427 	79 	76 	76 
000737 	423 	75 	91 	91 
000738 	423 	75 	91 	91 
000739 	427 	79 	76 	76 
000740 	423 	75 	91 	91 
