Identity  : 	id10097
Reference : 	FkDDTYaAq44
Offset    : 	2
FV Conf   : 	13.407
ASD Conf  : 	8.648

FRAME 	X 	Y 	W 	H 
000663 	150 	54 	108 	109 
000664 	161 	54 	109 	109 
000665 	161 	54 	109 	109 
000666 	161 	54 	109 	109 
000667 	161 	54 	109 	109 
000668 	161 	54 	109 	109 
000669 	161 	54 	109 	109 
000670 	161 	54 	109 	109 
000671 	164 	75 	91 	91 
000672 	164 	75 	91 	91 
000673 	150 	66 	108 	109 
000674 	150 	54 	108 	109 
000675 	150 	54 	108 	109 
000676 	150 	54 	108 	109 
000677 	150 	54 	108 	109 
000678 	150 	54 	108 	109 
000679 	150 	54 	108 	109 
000680 	150 	54 	108 	109 
000681 	150 	54 	108 	109 
000682 	150 	54 	108 	109 
000683 	150 	54 	108 	109 
000684 	150 	54 	108 	109 
000685 	150 	54 	108 	109 
000686 	150 	54 	108 	109 
000687 	150 	54 	108 	109 
000688 	154 	75 	91 	91 
000689 	150 	66 	108 	109 
000690 	150 	66 	108 	109 
000691 	150 	66 	108 	109 
000692 	150 	66 	108 	109 
000693 	150 	66 	108 	109 
000694 	150 	66 	108 	109 
000695 	150 	66 	108 	109 
000696 	150 	66 	108 	109 
000697 	150 	66 	108 	109 
000698 	150 	66 	108 	109 
000699 	150 	66 	108 	109 
000700 	150 	66 	108 	109 
000701 	138 	66 	108 	109 
000702 	138 	66 	108 	109 
000703 	138 	66 	108 	109 
000704 	138 	66 	108 	109 
000705 	138 	66 	108 	109 
000706 	138 	66 	108 	109 
000707 	138 	66 	108 	109 
000708 	138 	66 	108 	109 
000709 	138 	54 	108 	109 
000710 	138 	54 	108 	109 
000711 	138 	54 	108 	109 
000712 	138 	54 	108 	109 
000713 	138 	54 	108 	109 
000714 	138 	54 	108 	109 
000715 	138 	54 	108 	109 
000716 	138 	54 	108 	109 
000717 	138 	54 	108 	109 
000718 	138 	54 	108 	109 
000719 	150 	54 	108 	109 
000720 	150 	54 	108 	109 
000721 	150 	54 	108 	109 
000722 	150 	54 	108 	109 
000723 	150 	54 	108 	109 
000724 	150 	54 	108 	109 
000725 	150 	54 	108 	109 
000726 	150 	54 	108 	109 
