Identity  : 	id10097
Reference : 	mJo37SEoITU
Offset    : 	0
FV Conf   : 	14.852
ASD Conf  : 	7.744

FRAME 	X 	Y 	W 	H 
001320 	214 	65 	91 	91 
001321 	209 	54 	109 	109 
001322 	209 	54 	109 	109 
001323 	209 	54 	109 	109 
001324 	209 	54 	109 	109 
001325 	209 	54 	109 	109 
001326 	209 	54 	109 	109 
001327 	214 	65 	91 	91 
001328 	209 	66 	109 	109 
001329 	209 	66 	109 	109 
001330 	209 	66 	109 	109 
001331 	209 	66 	109 	109 
001332 	209 	66 	109 	109 
001333 	209 	66 	109 	109 
001334 	224 	65 	91 	91 
001335 	209 	66 	109 	109 
001336 	209 	66 	109 	109 
001337 	209 	66 	109 	109 
001338 	209 	66 	109 	109 
001339 	197 	66 	109 	109 
001340 	197 	66 	109 	109 
001341 	197 	66 	109 	109 
001342 	197 	66 	109 	109 
001343 	185 	66 	109 	109 
001344 	165 	51 	130 	130 
001345 	173 	66 	109 	109 
001346 	173 	66 	109 	109 
001347 	151 	66 	130 	130 
001348 	137 	66 	130 	130 
001349 	137 	66 	130 	130 
001350 	127 	66 	130 	130 
001351 	118 	66 	130 	130 
001352 	108 	66 	130 	130 
001353 	108 	66 	130 	130 
001354 	114 	78 	108 	109 
001355 	114 	66 	108 	109 
001356 	108 	66 	130 	130 
001357 	108 	66 	130 	130 
001358 	108 	66 	130 	130 
001359 	108 	66 	130 	130 
001360 	122 	66 	130 	130 
001361 	122 	66 	130 	130 
001362 	150 	78 	108 	109 
001363 	137 	66 	130 	130 
001364 	161 	78 	109 	109 
001365 	151 	66 	130 	130 
001366 	151 	66 	130 	130 
001367 	173 	78 	109 	109 
001368 	185 	78 	109 	109 
001369 	180 	66 	130 	130 
001370 	197 	78 	109 	109 
001371 	197 	78 	109 	109 
001372 	209 	78 	109 	109 
001373 	209 	78 	109 	109 
001374 	197 	78 	109 	109 
001375 	197 	78 	109 	109 
001376 	194 	66 	130 	130 
001377 	209 	78 	109 	109 
001378 	209 	78 	109 	109 
001379 	209 	78 	109 	109 
001380 	197 	78 	109 	109 
001381 	197 	78 	109 	109 
001382 	180 	66 	130 	130 
001383 	180 	66 	130 	130 
001384 	197 	78 	109 	109 
001385 	197 	78 	109 	109 
001386 	197 	78 	109 	109 
001387 	197 	78 	109 	109 
001388 	180 	66 	130 	130 
001389 	197 	78 	109 	109 
001390 	197 	78 	109 	109 
001391 	194 	66 	130 	130 
001392 	209 	78 	109 	109 
001393 	209 	78 	109 	109 
001394 	209 	78 	109 	109 
001395 	209 	78 	109 	109 
001396 	209 	78 	109 	109 
001397 	221 	78 	109 	109 
001398 	221 	90 	109 	109 
001399 	221 	90 	109 	109 
001400 	221 	90 	109 	109 
001401 	221 	90 	109 	109 
001402 	221 	90 	109 	109 
001403 	208 	80 	130 	130 
001404 	209 	90 	109 	109 
001405 	194 	80 	130 	130 
001406 	197 	78 	109 	109 
001407 	180 	66 	130 	130 
001408 	165 	66 	130 	130 
001409 	151 	66 	130 	130 
001410 	151 	66 	130 	130 
001411 	151 	66 	130 	130 
001412 	161 	78 	109 	109 
001413 	161 	78 	109 	109 
001414 	161 	78 	109 	109 
001415 	161 	78 	109 	109 
001416 	161 	78 	109 	109 
001417 	161 	78 	109 	109 
001418 	161 	78 	109 	109 
001419 	161 	78 	109 	109 
001420 	151 	66 	130 	130 
001421 	151 	66 	130 	130 
001422 	151 	66 	130 	130 
001423 	173 	78 	109 	109 
001424 	173 	78 	109 	109 
001425 	173 	78 	109 	109 
001426 	165 	80 	130 	130 
001427 	165 	80 	130 	130 
001428 	165 	80 	130 	130 
001429 	185 	78 	109 	109 
001430 	185 	78 	109 	109 
001431 	185 	78 	109 	109 
001432 	185 	78 	109 	109 
001433 	165 	66 	130 	130 
001434 	185 	78 	109 	109 
001435 	185 	78 	109 	109 
001436 	185 	78 	109 	109 
001437 	180 	80 	130 	130 
001438 	180 	66 	130 	130 
001439 	197 	78 	109 	109 
001440 	197 	78 	109 	109 
001441 	197 	78 	109 	109 
001442 	209 	78 	109 	109 
001443 	209 	78 	109 	109 
001444 	209 	78 	109 	109 
001445 	209 	78 	109 	109 
001446 	209 	78 	109 	109 
001447 	209 	78 	109 	109 
001448 	209 	78 	109 	109 
001449 	209 	78 	109 	109 
001450 	209 	78 	109 	109 
001451 	209 	78 	109 	109 
001452 	209 	78 	109 	109 
001453 	209 	78 	109 	109 
001454 	209 	78 	109 	109 
001455 	209 	78 	109 	109 
001456 	209 	78 	109 	109 
001457 	208 	80 	130 	130 
001458 	208 	80 	130 	130 
001459 	221 	90 	109 	109 
001460 	221 	90 	109 	109 
001461 	221 	90 	109 	109 
001462 	221 	90 	109 	109 
001463 	221 	90 	109 	109 
001464 	233 	90 	109 	109 
001465 	233 	90 	109 	109 
001466 	233 	90 	109 	109 
001467 	233 	90 	109 	109 
001468 	233 	90 	109 	109 
001469 	233 	78 	109 	109 
001470 	233 	78 	109 	109 
001471 	245 	78 	109 	109 
001472 	233 	78 	109 	109 
