Identity  : 	id10104
Reference : 	64OTosuTAWI
Offset    : 	-2
FV Conf   : 	15.829
ASD Conf  : 	6.001

FRAME 	X 	Y 	W 	H 
004390 	197 	78 	109 	109 
004391 	197 	78 	109 	109 
004392 	197 	78 	109 	109 
004393 	197 	78 	109 	109 
004394 	197 	78 	109 	109 
004395 	197 	78 	109 	109 
004396 	197 	78 	109 	109 
004397 	197 	78 	109 	109 
004398 	197 	78 	109 	109 
004399 	197 	78 	109 	109 
004400 	197 	78 	109 	109 
004401 	197 	78 	109 	109 
004402 	197 	78 	109 	109 
004403 	197 	78 	109 	109 
004404 	197 	78 	109 	109 
004405 	197 	78 	109 	109 
004406 	197 	78 	109 	109 
004407 	197 	78 	109 	109 
004408 	197 	78 	109 	109 
004409 	197 	78 	109 	109 
004410 	197 	78 	109 	109 
004411 	197 	78 	109 	109 
004412 	197 	78 	109 	109 
004413 	197 	78 	109 	109 
004414 	197 	78 	109 	109 
004415 	197 	78 	109 	109 
004416 	197 	78 	109 	109 
004417 	197 	78 	109 	109 
004418 	197 	78 	109 	109 
004419 	197 	78 	109 	109 
004420 	197 	78 	109 	109 
004421 	197 	78 	109 	109 
004422 	197 	78 	109 	109 
004423 	197 	78 	109 	109 
004424 	197 	78 	109 	109 
004425 	197 	78 	109 	109 
004426 	197 	78 	109 	109 
004427 	197 	78 	109 	109 
004428 	180 	66 	130 	130 
004429 	180 	66 	130 	130 
004430 	180 	66 	130 	130 
004431 	180 	66 	130 	130 
004432 	180 	66 	130 	130 
004433 	180 	66 	130 	130 
004434 	180 	66 	130 	130 
004435 	180 	66 	130 	130 
004436 	180 	66 	130 	130 
004437 	180 	66 	130 	130 
004438 	180 	66 	130 	130 
004439 	180 	66 	130 	130 
004440 	180 	66 	130 	130 
004441 	180 	66 	130 	130 
004442 	180 	66 	130 	130 
004443 	180 	66 	130 	130 
004444 	180 	66 	130 	130 
004445 	180 	66 	130 	130 
004446 	180 	66 	130 	130 
004447 	180 	66 	130 	130 
004448 	180 	66 	130 	130 
004449 	180 	66 	130 	130 
004450 	180 	66 	130 	130 
004451 	180 	66 	130 	130 
004452 	180 	66 	130 	130 
004453 	180 	66 	130 	130 
004454 	180 	66 	130 	130 
004455 	180 	66 	130 	130 
004456 	180 	66 	130 	130 
004457 	180 	66 	130 	130 
004458 	180 	66 	130 	130 
004459 	180 	66 	130 	130 
004460 	180 	66 	130 	130 
004461 	180 	66 	130 	130 
004462 	180 	66 	130 	130 
004463 	180 	66 	130 	130 
004464 	180 	66 	130 	130 
004465 	197 	78 	109 	109 
004466 	197 	78 	109 	109 
004467 	197 	78 	109 	109 
004468 	197 	78 	109 	109 
004469 	197 	78 	109 	109 
004470 	197 	78 	109 	109 
004471 	197 	78 	109 	109 
004472 	180 	66 	130 	130 
004473 	197 	78 	109 	109 
004474 	197 	78 	109 	109 
004475 	197 	78 	109 	109 
004476 	197 	78 	109 	109 
004477 	197 	78 	109 	109 
004478 	197 	78 	109 	109 
004479 	197 	78 	109 	109 
004480 	197 	78 	109 	109 
004481 	197 	78 	109 	109 
004482 	197 	78 	109 	109 
004483 	197 	78 	109 	109 
004484 	197 	78 	109 	109 
004485 	197 	78 	109 	109 
004486 	197 	78 	109 	109 
004487 	197 	78 	109 	109 
004488 	197 	78 	109 	109 
004489 	197 	78 	109 	109 
004490 	197 	78 	109 	109 
004491 	197 	78 	109 	109 
004492 	197 	78 	109 	109 
004493 	180 	66 	130 	130 
004494 	180 	66 	130 	130 
004495 	180 	66 	130 	130 
004496 	180 	66 	130 	130 
