Identity  : 	id10104
Reference : 	MSV9xFqcEh8
Offset    : 	-2
FV Conf   : 	15.855
ASD Conf  : 	7.579

FRAME 	X 	Y 	W 	H 
005521 	151 	80 	130 	130 
005522 	151 	80 	130 	130 
005523 	151 	80 	130 	130 
005524 	151 	80 	130 	130 
005525 	151 	80 	130 	130 
005526 	151 	80 	130 	130 
005527 	151 	80 	130 	130 
005528 	151 	80 	130 	130 
005529 	151 	80 	130 	130 
005530 	151 	80 	130 	130 
005531 	151 	80 	130 	130 
005532 	151 	80 	130 	130 
005533 	151 	80 	130 	130 
005534 	151 	80 	130 	130 
005535 	151 	80 	130 	130 
005536 	151 	80 	130 	130 
005537 	151 	80 	130 	130 
005538 	173 	90 	109 	109 
005539 	165 	80 	130 	130 
005540 	165 	80 	130 	130 
005541 	165 	80 	130 	130 
005542 	165 	66 	130 	130 
005543 	165 	66 	130 	130 
005544 	165 	66 	130 	130 
005545 	185 	78 	109 	109 
005546 	185 	78 	109 	109 
005547 	180 	66 	130 	130 
005548 	180 	66 	130 	130 
005549 	180 	66 	130 	130 
005550 	180 	66 	130 	130 
005551 	181 	44 	156 	156 
005552 	181 	44 	156 	156 
005553 	197 	78 	109 	109 
005554 	181 	44 	156 	156 
005555 	181 	44 	156 	156 
005556 	181 	44 	156 	156 
005557 	181 	62 	156 	155 
005558 	181 	62 	156 	155 
005559 	180 	66 	130 	130 
005560 	180 	80 	130 	130 
005561 	181 	62 	156 	155 
005562 	180 	80 	130 	130 
005563 	180 	66 	130 	130 
005564 	180 	80 	130 	130 
005565 	180 	80 	130 	130 
005566 	180 	80 	130 	130 
005567 	180 	80 	130 	130 
005568 	165 	80 	130 	130 
005569 	165 	80 	130 	130 
005570 	165 	80 	130 	130 
005571 	165 	80 	130 	130 
005572 	165 	80 	130 	130 
005573 	151 	80 	130 	130 
005574 	151 	80 	130 	130 
005575 	151 	80 	130 	130 
005576 	151 	80 	130 	130 
005577 	151 	80 	130 	130 
005578 	151 	80 	130 	130 
005579 	151 	80 	130 	130 
005580 	151 	80 	130 	130 
005581 	151 	80 	130 	130 
005582 	151 	80 	130 	130 
005583 	151 	80 	130 	130 
005584 	151 	80 	130 	130 
005585 	151 	80 	130 	130 
005586 	151 	80 	130 	130 
005587 	151 	80 	130 	130 
005588 	151 	80 	130 	130 
005589 	151 	80 	130 	130 
005590 	151 	80 	130 	130 
005591 	151 	80 	130 	130 
005592 	151 	80 	130 	130 
005593 	151 	80 	130 	130 
005594 	151 	80 	130 	130 
005595 	151 	80 	130 	130 
005596 	151 	80 	130 	130 
005597 	151 	80 	130 	130 
005598 	151 	80 	130 	130 
005599 	151 	80 	130 	130 
005600 	151 	80 	130 	130 
005601 	151 	80 	130 	130 
005602 	151 	80 	130 	130 
005603 	151 	80 	130 	130 
005604 	151 	80 	130 	130 
005605 	151 	80 	130 	130 
005606 	151 	80 	130 	130 
005607 	151 	80 	130 	130 
005608 	151 	80 	130 	130 
005609 	151 	80 	130 	130 
005610 	151 	80 	130 	130 
005611 	151 	80 	130 	130 
005612 	151 	80 	130 	130 
005613 	151 	80 	130 	130 
005614 	151 	80 	130 	130 
005615 	151 	80 	130 	130 
005616 	151 	80 	130 	130 
005617 	151 	80 	130 	130 
005618 	151 	80 	130 	130 
005619 	151 	80 	130 	130 
005620 	151 	80 	130 	130 
005621 	151 	80 	130 	130 
005622 	151 	80 	130 	130 
005623 	151 	80 	130 	130 
005624 	151 	80 	130 	130 
005625 	151 	80 	130 	130 
005626 	151 	80 	130 	130 
005627 	151 	80 	130 	130 
005628 	151 	80 	130 	130 
005629 	151 	80 	130 	130 
005630 	151 	80 	130 	130 
005631 	151 	80 	130 	130 
005632 	151 	80 	130 	130 
005633 	151 	80 	130 	130 
005634 	151 	80 	130 	130 
005635 	151 	80 	130 	130 
005636 	151 	80 	130 	130 
005637 	151 	80 	130 	130 
005638 	151 	80 	130 	130 
005639 	151 	80 	130 	130 
005640 	151 	80 	130 	130 
005641 	151 	80 	130 	130 
005642 	151 	80 	130 	130 
005643 	151 	80 	130 	130 
005644 	151 	80 	130 	130 
005645 	165 	80 	130 	130 
005646 	165 	80 	130 	130 
005647 	165 	80 	130 	130 
005648 	165 	80 	130 	130 
005649 	165 	80 	130 	130 
005650 	165 	80 	130 	130 
005651 	165 	80 	130 	130 
005652 	165 	80 	130 	130 
005653 	165 	80 	130 	130 
005654 	165 	80 	130 	130 
005655 	165 	80 	130 	130 
005656 	165 	80 	130 	130 
