Identity  : 	id10104
Reference : 	WGs_AfC1lTU
Offset    : 	-2
FV Conf   : 	18.429
ASD Conf  : 	5.741

FRAME 	X 	Y 	W 	H 
003671 	388 	66 	109 	109 
003672 	388 	66 	109 	109 
003673 	388 	54 	109 	109 
003674 	388 	54 	109 	109 
003675 	388 	54 	109 	109 
003676 	388 	54 	109 	109 
003677 	388 	54 	109 	109 
003678 	388 	54 	109 	109 
003679 	388 	54 	109 	109 
003680 	388 	54 	109 	109 
003681 	388 	54 	109 	109 
003682 	388 	54 	109 	109 
003683 	388 	54 	109 	109 
003684 	388 	54 	109 	109 
003685 	388 	54 	109 	109 
003686 	388 	54 	109 	109 
003687 	388 	54 	109 	109 
003688 	388 	54 	109 	109 
003689 	388 	54 	109 	109 
003690 	388 	54 	109 	109 
003691 	388 	54 	109 	109 
003692 	388 	54 	109 	109 
003693 	388 	54 	109 	109 
003694 	388 	54 	109 	109 
003695 	388 	54 	109 	109 
003696 	388 	54 	109 	109 
003697 	388 	54 	109 	109 
003698 	388 	54 	109 	109 
003699 	388 	54 	109 	109 
003700 	388 	54 	109 	109 
003701 	388 	54 	109 	109 
003702 	388 	54 	109 	109 
003703 	388 	54 	109 	109 
003704 	388 	54 	109 	109 
003705 	388 	54 	109 	109 
003706 	388 	54 	109 	109 
003707 	388 	54 	109 	109 
003708 	388 	54 	109 	109 
003709 	388 	54 	109 	109 
003710 	388 	54 	109 	109 
003711 	388 	54 	109 	109 
003712 	388 	54 	109 	109 
003713 	388 	54 	109 	109 
003714 	393 	65 	91 	91 
003715 	393 	65 	91 	91 
003716 	393 	65 	91 	91 
003717 	393 	65 	91 	91 
003718 	388 	54 	109 	109 
003719 	388 	54 	109 	109 
003720 	388 	54 	109 	109 
003721 	388 	54 	109 	109 
003722 	388 	54 	109 	109 
003723 	388 	54 	109 	109 
003724 	393 	65 	91 	91 
003725 	393 	65 	91 	91 
003726 	388 	54 	109 	109 
003727 	393 	65 	91 	91 
003728 	393 	65 	91 	91 
003729 	393 	65 	91 	91 
003730 	393 	65 	91 	91 
003731 	393 	65 	91 	91 
003732 	393 	65 	91 	91 
003733 	393 	65 	91 	91 
003734 	393 	65 	91 	91 
003735 	388 	54 	109 	109 
003736 	393 	65 	91 	91 
003737 	393 	65 	91 	91 
003738 	393 	65 	91 	91 
003739 	393 	65 	91 	91 
003740 	393 	65 	91 	91 
003741 	393 	65 	91 	91 
003742 	393 	65 	91 	91 
003743 	393 	65 	91 	91 
003744 	393 	65 	91 	91 
003745 	393 	65 	91 	91 
003746 	393 	65 	91 	91 
003747 	393 	65 	91 	91 
003748 	393 	65 	91 	91 
003749 	393 	65 	91 	91 
003750 	393 	65 	91 	91 
003751 	393 	65 	91 	91 
003752 	388 	54 	109 	109 
003753 	393 	65 	91 	91 
003754 	393 	65 	91 	91 
003755 	393 	65 	91 	91 
003756 	393 	65 	91 	91 
003757 	393 	65 	91 	91 
003758 	393 	65 	91 	91 
003759 	393 	65 	91 	91 
003760 	393 	65 	91 	91 
003761 	393 	65 	91 	91 
003762 	393 	65 	91 	91 
003763 	393 	65 	91 	91 
003764 	393 	65 	91 	91 
003765 	393 	65 	91 	91 
003766 	393 	65 	91 	91 
003767 	393 	65 	91 	91 
003768 	393 	65 	91 	91 
003769 	393 	65 	91 	91 
003770 	393 	65 	91 	91 
003771 	393 	65 	91 	91 
003772 	393 	65 	91 	91 
003773 	393 	65 	91 	91 
003774 	393 	65 	91 	91 
003775 	393 	65 	91 	91 
003776 	393 	65 	91 	91 
003777 	393 	65 	91 	91 
003778 	393 	65 	91 	91 
003779 	393 	65 	91 	91 
003780 	393 	65 	91 	91 
003781 	393 	65 	91 	91 
003782 	393 	65 	91 	91 
003783 	393 	65 	91 	91 
003784 	393 	65 	91 	91 
003785 	393 	65 	91 	91 
003786 	393 	65 	91 	91 
003787 	393 	65 	91 	91 
003788 	393 	65 	91 	91 
003789 	393 	65 	91 	91 
003790 	393 	65 	91 	91 
003791 	393 	65 	91 	91 
003792 	393 	65 	91 	91 
003793 	388 	54 	109 	109 
003794 	393 	65 	91 	91 
003795 	393 	65 	91 	91 
003796 	388 	54 	109 	109 
003797 	393 	65 	91 	91 
003798 	393 	65 	91 	91 
003799 	388 	54 	109 	109 
003800 	388 	54 	109 	109 
003801 	388 	54 	109 	109 
003802 	388 	54 	109 	109 
003803 	388 	54 	109 	109 
003804 	388 	54 	109 	109 
003805 	388 	54 	109 	109 
003806 	388 	54 	109 	109 
003807 	388 	54 	109 	109 
003808 	388 	54 	109 	109 
003809 	388 	54 	109 	109 
003810 	388 	54 	109 	109 
003811 	388 	54 	109 	109 
003812 	388 	54 	109 	109 
003813 	388 	54 	109 	109 
003814 	388 	54 	109 	109 
003815 	388 	54 	109 	109 
003816 	388 	54 	109 	109 
003817 	388 	54 	109 	109 
003818 	388 	54 	109 	109 
003819 	388 	54 	109 	109 
003820 	388 	54 	109 	109 
003821 	388 	54 	109 	109 
003822 	388 	54 	109 	109 
003823 	388 	54 	109 	109 
003824 	388 	54 	109 	109 
003825 	388 	54 	109 	109 
003826 	388 	54 	109 	109 
003827 	388 	54 	109 	109 
003828 	388 	54 	109 	109 
003829 	388 	54 	109 	109 
003830 	388 	54 	109 	109 
003831 	388 	54 	109 	109 
003832 	388 	54 	109 	109 
003833 	388 	54 	109 	109 
003834 	388 	54 	109 	109 
003835 	388 	54 	109 	109 
003836 	388 	54 	109 	109 
003837 	388 	54 	109 	109 
003838 	388 	54 	109 	109 
003839 	388 	54 	109 	109 
003840 	388 	54 	109 	109 
003841 	388 	54 	109 	109 
003842 	388 	54 	109 	109 
003843 	388 	54 	109 	109 
003844 	388 	54 	109 	109 
003845 	388 	54 	109 	109 
003846 	388 	54 	109 	109 
003847 	388 	54 	109 	109 
003848 	388 	54 	109 	109 
003849 	388 	54 	109 	109 
003850 	388 	54 	109 	109 
003851 	388 	54 	109 	109 
003852 	388 	54 	109 	109 
003853 	388 	54 	109 	109 
003854 	388 	54 	109 	109 
003855 	388 	54 	109 	109 
003856 	388 	54 	109 	109 
003857 	388 	54 	109 	109 
003858 	388 	54 	109 	109 
003859 	388 	54 	109 	109 
003860 	388 	54 	109 	109 
003861 	388 	54 	109 	109 
003862 	388 	54 	109 	109 
003863 	388 	54 	109 	109 
003864 	388 	54 	109 	109 
003865 	403 	55 	91 	91 
003866 	403 	55 	91 	91 
003867 	403 	55 	91 	91 
003868 	388 	43 	109 	108 
003869 	388 	43 	109 	108 
003870 	388 	54 	109 	109 
003871 	388 	54 	109 	109 
003872 	388 	43 	109 	108 
003873 	388 	43 	109 	108 
003874 	388 	43 	109 	108 
003875 	388 	43 	109 	108 
003876 	388 	43 	109 	108 
003877 	388 	43 	109 	108 
003878 	388 	43 	109 	108 
003879 	388 	54 	109 	109 
003880 	388 	54 	109 	109 
003881 	388 	54 	109 	109 
003882 	388 	54 	109 	109 
003883 	388 	54 	109 	109 
003884 	388 	54 	109 	109 
003885 	388 	54 	109 	109 
003886 	388 	54 	109 	109 
003887 	388 	54 	109 	109 
003888 	388 	54 	109 	109 
003889 	388 	54 	109 	109 
003890 	388 	54 	109 	109 
003891 	388 	54 	109 	109 
003892 	388 	54 	109 	109 
003893 	388 	54 	109 	109 
