Identity  : 	id10104
Reference : 	iFjHb85iGJY
Offset    : 	-1
FV Conf   : 	15.072
ASD Conf  : 	7.013

FRAME 	X 	Y 	W 	H 
011189 	329 	54 	108 	109 
011190 	329 	54 	108 	109 
011191 	329 	54 	108 	109 
011192 	323 	37 	130 	130 
011193 	323 	37 	130 	130 
011194 	329 	54 	108 	109 
011195 	329 	54 	108 	109 
011196 	329 	54 	108 	109 
011197 	329 	54 	108 	109 
011198 	329 	54 	108 	109 
011199 	329 	54 	108 	109 
011200 	329 	54 	108 	109 
011201 	329 	54 	108 	109 
011202 	329 	54 	108 	109 
011203 	329 	54 	108 	109 
011204 	329 	54 	108 	109 
011205 	329 	54 	108 	109 
011206 	329 	54 	108 	109 
011207 	329 	54 	108 	109 
011208 	329 	54 	108 	109 
011209 	329 	54 	108 	109 
011210 	329 	54 	108 	109 
011211 	329 	54 	108 	109 
011212 	329 	54 	108 	109 
011213 	329 	54 	108 	109 
011214 	329 	54 	108 	109 
011215 	329 	54 	108 	109 
011216 	329 	54 	108 	109 
011217 	329 	54 	108 	109 
011218 	329 	54 	108 	109 
011219 	323 	37 	130 	130 
011220 	323 	37 	130 	130 
011221 	323 	37 	130 	130 
011222 	323 	37 	130 	130 
011223 	323 	37 	130 	130 
011224 	329 	54 	108 	109 
011225 	329 	43 	108 	108 
011226 	329 	43 	108 	108 
011227 	329 	43 	108 	108 
011228 	329 	43 	108 	108 
011229 	329 	43 	108 	108 
011230 	329 	43 	108 	108 
011231 	329 	43 	108 	108 
011232 	323 	23 	130 	130 
011233 	343 	55 	91 	91 
011234 	329 	54 	108 	109 
011235 	329 	54 	108 	109 
011236 	329 	54 	108 	109 
011237 	329 	54 	108 	109 
011238 	329 	54 	108 	109 
011239 	329 	54 	108 	109 
011240 	329 	54 	108 	109 
011241 	329 	54 	108 	109 
011242 	329 	54 	108 	109 
011243 	329 	54 	108 	109 
011244 	329 	54 	108 	109 
011245 	329 	54 	108 	109 
011246 	329 	54 	108 	109 
011247 	329 	54 	108 	109 
011248 	329 	54 	108 	109 
011249 	329 	54 	108 	109 
011250 	329 	54 	108 	109 
011251 	329 	54 	108 	109 
011252 	329 	54 	108 	109 
011253 	329 	54 	108 	109 
011254 	329 	54 	108 	109 
011255 	329 	54 	108 	109 
011256 	329 	54 	108 	109 
011257 	329 	54 	108 	109 
011258 	329 	54 	108 	109 
011259 	329 	54 	108 	109 
011260 	329 	54 	108 	109 
011261 	329 	54 	108 	109 
011262 	329 	54 	108 	109 
011263 	329 	54 	108 	109 
011264 	329 	54 	108 	109 
011265 	329 	54 	108 	109 
011266 	329 	54 	108 	109 
011267 	329 	54 	108 	109 
011268 	329 	54 	108 	109 
011269 	329 	54 	108 	109 
011270 	329 	54 	108 	109 
011271 	329 	54 	108 	109 
011272 	329 	54 	108 	109 
011273 	329 	54 	108 	109 
011274 	329 	54 	108 	109 
011275 	343 	55 	91 	91 
011276 	343 	55 	91 	91 
011277 	343 	55 	91 	91 
011278 	329 	43 	108 	108 
011279 	329 	43 	108 	108 
011280 	329 	43 	108 	108 
011281 	329 	54 	108 	109 
011282 	329 	54 	108 	109 
011283 	329 	54 	108 	109 
011284 	329 	54 	108 	109 
011285 	329 	54 	108 	109 
011286 	329 	54 	108 	109 
011287 	329 	54 	108 	109 
011288 	329 	54 	108 	109 
011289 	323 	37 	130 	130 
011290 	323 	37 	130 	130 
011291 	329 	54 	108 	109 
011292 	323 	37 	130 	130 
011293 	329 	54 	108 	109 
011294 	329 	54 	108 	109 
011295 	329 	54 	108 	109 
011296 	329 	54 	108 	109 
011297 	329 	54 	108 	109 
011298 	329 	54 	108 	109 
011299 	329 	54 	108 	109 
011300 	323 	37 	130 	130 
011301 	329 	54 	108 	109 
011302 	329 	54 	108 	109 
011303 	329 	54 	108 	109 
011304 	323 	37 	130 	130 
011305 	329 	54 	108 	109 
011306 	323 	37 	130 	130 
011307 	329 	54 	108 	109 
011308 	329 	54 	108 	109 
011309 	329 	54 	108 	109 
011310 	329 	54 	108 	109 
011311 	329 	54 	108 	109 
011312 	329 	54 	108 	109 
011313 	329 	54 	108 	109 
011314 	329 	54 	108 	109 
011315 	329 	54 	108 	109 
011316 	329 	54 	108 	109 
011317 	329 	54 	108 	109 
011318 	323 	37 	130 	130 
011319 	323 	37 	130 	130 
011320 	323 	37 	130 	130 
011321 	323 	37 	130 	130 
011322 	323 	37 	130 	130 
011323 	329 	54 	108 	109 
011324 	329 	54 	108 	109 
011325 	329 	54 	108 	109 
011326 	329 	54 	108 	109 
011327 	329 	54 	108 	109 
011328 	323 	37 	130 	130 
011329 	329 	54 	108 	109 
011330 	329 	54 	108 	109 
011331 	329 	54 	108 	109 
011332 	329 	54 	108 	109 
011333 	329 	54 	108 	109 
011334 	329 	54 	108 	109 
011335 	329 	54 	108 	109 
011336 	329 	54 	108 	109 
011337 	329 	54 	108 	109 
011338 	329 	54 	108 	109 
011339 	329 	54 	108 	109 
011340 	329 	54 	108 	109 
011341 	329 	54 	108 	109 
011342 	329 	54 	108 	109 
011343 	329 	54 	108 	109 
011344 	329 	54 	108 	109 
011345 	329 	54 	108 	109 
011346 	329 	54 	108 	109 
011347 	329 	54 	108 	109 
011348 	329 	54 	108 	109 
011349 	329 	54 	108 	109 
011350 	329 	54 	108 	109 
011351 	329 	54 	108 	109 
011352 	329 	54 	108 	109 
011353 	329 	54 	108 	109 
011354 	329 	54 	108 	109 
011355 	329 	54 	108 	109 
011356 	329 	54 	108 	109 
011357 	329 	54 	108 	109 
011358 	329 	54 	108 	109 
011359 	329 	54 	108 	109 
011360 	329 	54 	108 	109 
011361 	329 	54 	108 	109 
011362 	329 	54 	108 	109 
011363 	329 	54 	108 	109 
011364 	329 	54 	108 	109 
011365 	329 	54 	108 	109 
011366 	329 	54 	108 	109 
011367 	329 	54 	108 	109 
011368 	329 	54 	108 	109 
011369 	329 	54 	108 	109 
011370 	329 	54 	108 	109 
011371 	329 	54 	108 	109 
011372 	329 	54 	108 	109 
011373 	329 	54 	108 	109 
011374 	329 	54 	108 	109 
011375 	329 	54 	108 	109 
011376 	329 	54 	108 	109 
011377 	329 	54 	108 	109 
011378 	329 	54 	108 	109 
011379 	329 	54 	108 	109 
011380 	329 	54 	108 	109 
011381 	329 	54 	108 	109 
011382 	329 	54 	108 	109 
011383 	329 	54 	108 	109 
011384 	329 	54 	108 	109 
011385 	329 	54 	108 	109 
011386 	329 	54 	108 	109 
011387 	329 	54 	108 	109 
011388 	329 	54 	108 	109 
011389 	329 	54 	108 	109 
011390 	329 	54 	108 	109 
011391 	329 	54 	108 	109 
011392 	329 	54 	108 	109 
011393 	329 	54 	108 	109 
011394 	329 	54 	108 	109 
011395 	329 	54 	108 	109 
011396 	329 	54 	108 	109 
011397 	329 	54 	108 	109 
011398 	329 	54 	108 	109 
011399 	329 	54 	108 	109 
011400 	329 	54 	108 	109 
011401 	329 	54 	108 	109 
011402 	329 	54 	108 	109 
011403 	329 	54 	108 	109 
011404 	329 	54 	108 	109 
011405 	329 	54 	108 	109 
011406 	329 	54 	108 	109 
011407 	329 	54 	108 	109 
011408 	329 	54 	108 	109 
011409 	329 	54 	108 	109 
011410 	329 	54 	108 	109 
