Identity  : 	id10113
Reference : 	0wruSQX5Eac
Offset    : 	0
FV Conf   : 	13.244
ASD Conf  : 	8.243

FRAME 	X 	Y 	W 	H 
004231 	114 	75 	91 	91 
004232 	114 	75 	91 	91 
004233 	114 	75 	91 	91 
004234 	124 	75 	91 	91 
004235 	124 	75 	91 	91 
004236 	124 	75 	91 	91 
004237 	124 	75 	91 	91 
004238 	124 	75 	91 	91 
004239 	124 	75 	91 	91 
004240 	124 	75 	91 	91 
004241 	124 	75 	91 	91 
004242 	124 	75 	91 	91 
004243 	124 	75 	91 	91 
004244 	124 	75 	91 	91 
004245 	124 	75 	91 	91 
004246 	124 	75 	91 	91 
004247 	124 	75 	91 	91 
004248 	124 	75 	91 	91 
004249 	124 	75 	91 	91 
004250 	124 	75 	91 	91 
004251 	124 	75 	91 	91 
004252 	124 	75 	91 	91 
004253 	124 	75 	91 	91 
004254 	124 	75 	91 	91 
004255 	124 	75 	91 	91 
004256 	114 	75 	91 	91 
004257 	124 	75 	91 	91 
004258 	124 	75 	91 	91 
004259 	124 	75 	91 	91 
004260 	124 	75 	91 	91 
004261 	124 	75 	91 	91 
004262 	124 	75 	91 	91 
004263 	124 	75 	91 	91 
004264 	124 	75 	91 	91 
004265 	124 	75 	91 	91 
004266 	124 	75 	91 	91 
004267 	124 	75 	91 	91 
004268 	124 	75 	91 	91 
004269 	124 	75 	91 	91 
004270 	124 	75 	91 	91 
004271 	124 	75 	91 	91 
004272 	124 	75 	91 	91 
004273 	124 	75 	91 	91 
004274 	124 	75 	91 	91 
004275 	124 	75 	91 	91 
004276 	124 	75 	91 	91 
004277 	124 	65 	91 	91 
004278 	124 	75 	91 	91 
004279 	124 	75 	91 	91 
004280 	124 	75 	91 	91 
004281 	124 	75 	91 	91 
004282 	124 	75 	91 	91 
004283 	124 	75 	91 	91 
004284 	124 	75 	91 	91 
004285 	124 	75 	91 	91 
004286 	124 	75 	91 	91 
004287 	124 	75 	91 	91 
004288 	114 	54 	108 	109 
004289 	114 	54 	108 	109 
004290 	114 	65 	91 	91 
004291 	114 	65 	91 	91 
004292 	114 	65 	91 	91 
004293 	114 	65 	91 	91 
004294 	114 	54 	108 	109 
004295 	114 	54 	108 	109 
004296 	114 	54 	108 	109 
004297 	114 	54 	108 	109 
004298 	124 	65 	91 	91 
004299 	124 	65 	91 	91 
