Identity  : 	id10113
Reference : 	K7ySNaja0ZM
Offset    : 	-2
FV Conf   : 	17.143
ASD Conf  : 	6.232

FRAME 	X 	Y 	W 	H 
002766 	122 	137 	130 	130 
002767 	122 	137 	130 	130 
002768 	122 	137 	130 	130 
002769 	122 	137 	130 	130 
002770 	122 	137 	130 	130 
002771 	122 	137 	130 	130 
002772 	122 	137 	130 	130 
002773 	122 	137 	130 	130 
002774 	122 	137 	130 	130 
002775 	122 	137 	130 	130 
002776 	122 	137 	130 	130 
002777 	122 	137 	130 	130 
002778 	122 	137 	130 	130 
002779 	122 	137 	130 	130 
002780 	122 	137 	130 	130 
002781 	122 	137 	130 	130 
002782 	122 	137 	130 	130 
002783 	122 	137 	130 	130 
002784 	122 	137 	130 	130 
002785 	122 	137 	130 	130 
002786 	122 	137 	130 	130 
002787 	122 	137 	130 	130 
002788 	122 	137 	130 	130 
002789 	122 	137 	130 	130 
002790 	122 	123 	130 	130 
002791 	122 	123 	130 	130 
002792 	122 	123 	130 	130 
002793 	122 	123 	130 	130 
002794 	122 	123 	130 	130 
002795 	122 	123 	130 	130 
002796 	122 	123 	130 	130 
002797 	122 	123 	130 	130 
002798 	122 	123 	130 	130 
002799 	122 	123 	130 	130 
002800 	122 	123 	130 	130 
002801 	122 	123 	130 	130 
002802 	122 	123 	130 	130 
002803 	122 	123 	130 	130 
002804 	122 	123 	130 	130 
002805 	122 	123 	130 	130 
002806 	122 	123 	130 	130 
002807 	122 	123 	130 	130 
002808 	122 	123 	130 	130 
002809 	122 	123 	130 	130 
002810 	122 	123 	130 	130 
002811 	122 	123 	130 	130 
002812 	122 	123 	130 	130 
002813 	122 	123 	130 	130 
002814 	122 	123 	130 	130 
002815 	122 	123 	130 	130 
002816 	122 	123 	130 	130 
002817 	122 	137 	130 	130 
002818 	122 	137 	130 	130 
002819 	122 	137 	130 	130 
002820 	122 	137 	130 	130 
002821 	122 	137 	130 	130 
002822 	122 	137 	130 	130 
002823 	122 	123 	130 	130 
002824 	122 	123 	130 	130 
002825 	122 	137 	130 	130 
002826 	122 	137 	130 	130 
002827 	122 	137 	130 	130 
002828 	122 	123 	130 	130 
002829 	122 	137 	130 	130 
002830 	122 	137 	130 	130 
002831 	122 	123 	130 	130 
002832 	122 	123 	130 	130 
002833 	122 	123 	130 	130 
002834 	122 	123 	130 	130 
002835 	122 	123 	130 	130 
002836 	122 	123 	130 	130 
002837 	122 	123 	130 	130 
002838 	122 	123 	130 	130 
002839 	122 	123 	130 	130 
002840 	122 	123 	130 	130 
002841 	122 	123 	130 	130 
002842 	122 	123 	130 	130 
002843 	122 	123 	130 	130 
002844 	122 	123 	130 	130 
002845 	122 	123 	130 	130 
002846 	137 	123 	130 	130 
002847 	137 	123 	130 	130 
002848 	137 	123 	130 	130 
002849 	137 	123 	130 	130 
002850 	137 	123 	130 	130 
002851 	137 	123 	130 	130 
002852 	151 	123 	130 	130 
002853 	151 	123 	130 	130 
002854 	151 	123 	130 	130 
002855 	151 	123 	130 	130 
002856 	151 	123 	130 	130 
002857 	151 	123 	130 	130 
002858 	151 	123 	130 	130 
002859 	151 	123 	130 	130 
002860 	151 	123 	130 	130 
002861 	151 	123 	130 	130 
002862 	151 	123 	130 	130 
002863 	147 	96 	156 	156 
002864 	147 	96 	156 	156 
002865 	147 	96 	156 	156 
002866 	151 	123 	130 	130 
002867 	151 	123 	130 	130 
