Identity  : 	id10113
Reference : 	WXTLEWvPsqU
Offset    : 	1
FV Conf   : 	14.260
ASD Conf  : 	5.968

FRAME 	X 	Y 	W 	H 
015396 	290 	124 	53 	53 
015397 	290 	124 	53 	53 
015398 	290 	124 	53 	53 
015399 	290 	124 	53 	53 
015400 	290 	124 	53 	53 
015401 	290 	124 	53 	53 
015402 	290 	124 	53 	53 
015403 	290 	124 	53 	53 
015404 	290 	124 	53 	53 
015405 	290 	124 	53 	53 
015406 	290 	124 	53 	53 
015407 	290 	124 	53 	53 
015408 	290 	124 	53 	53 
015409 	290 	124 	53 	53 
015410 	290 	124 	53 	53 
015411 	286 	121 	64 	63 
015412 	290 	124 	53 	53 
015413 	286 	121 	64 	63 
015414 	286 	121 	64 	63 
015415 	286 	121 	64 	63 
015416 	286 	121 	64 	63 
015417 	286 	121 	64 	63 
015418 	286 	121 	64 	63 
015419 	286 	121 	64 	63 
015420 	286 	121 	64 	63 
015421 	290 	124 	53 	53 
015422 	290 	124 	53 	53 
015423 	290 	124 	53 	53 
015424 	290 	124 	53 	53 
015425 	290 	124 	53 	53 
015426 	290 	124 	53 	53 
015427 	290 	124 	53 	53 
015428 	286 	121 	64 	63 
015429 	290 	124 	53 	53 
015430 	286 	121 	64 	63 
015431 	286 	121 	64 	63 
015432 	286 	121 	64 	63 
015433 	286 	121 	64 	63 
015434 	286 	121 	64 	63 
015435 	286 	121 	64 	63 
015436 	286 	121 	64 	63 
015437 	286 	121 	64 	63 
015438 	286 	121 	64 	63 
015439 	286 	121 	64 	63 
015440 	286 	121 	64 	63 
015441 	286 	121 	64 	63 
015442 	286 	121 	64 	63 
015443 	286 	121 	64 	63 
015444 	286 	121 	64 	63 
015445 	286 	121 	64 	63 
015446 	286 	121 	64 	63 
015447 	286 	121 	64 	63 
015448 	286 	121 	64 	63 
015449 	286 	121 	64 	63 
015450 	286 	121 	64 	63 
015451 	286 	121 	64 	63 
015452 	286 	121 	64 	63 
015453 	286 	121 	64 	63 
015454 	286 	121 	64 	63 
015455 	296 	124 	53 	53 
015456 	296 	118 	53 	53 
015457 	296 	118 	53 	53 
015458 	293 	107 	64 	63 
015459 	300 	107 	63 	63 
015460 	300 	107 	63 	63 
015461 	307 	107 	63 	63 
015462 	307 	107 	63 	63 
015463 	307 	107 	63 	63 
015464 	307 	107 	63 	63 
015465 	314 	107 	63 	63 
015466 	314 	107 	63 	63 
015467 	314 	107 	63 	63 
015468 	314 	107 	63 	63 
015469 	314 	107 	63 	63 
015470 	321 	107 	63 	63 
015471 	325 	118 	53 	53 
015472 	325 	118 	53 	53 
015473 	321 	114 	63 	63 
015474 	325 	118 	53 	53 
015475 	331 	118 	53 	53 
015476 	328 	114 	63 	63 
015477 	331 	118 	53 	53 
015478 	328 	114 	63 	63 
015479 	321 	114 	63 	63 
015480 	321 	114 	63 	63 
015481 	321 	114 	63 	63 
015482 	321 	114 	63 	63 
015483 	321 	114 	63 	63 
015484 	321 	114 	63 	63 
015485 	321 	114 	63 	63 
015486 	319 	118 	53 	53 
015487 	319 	118 	53 	53 
015488 	319 	118 	53 	53 
015489 	314 	114 	63 	63 
015490 	313 	118 	53 	53 
015491 	313 	118 	53 	53 
015492 	307 	114 	63 	63 
015493 	307 	114 	63 	63 
015494 	313 	124 	53 	53 
015495 	313 	124 	53 	53 
