Identity  : 	id10113
Reference : 	d1NOwBGBLyU
Offset    : 	-4
FV Conf   : 	14.096
ASD Conf  : 	6.916

FRAME 	X 	Y 	W 	H 
029086 	257 	78 	109 	109 
029087 	257 	78 	109 	109 
029088 	257 	78 	109 	109 
029089 	257 	78 	109 	109 
029090 	257 	78 	109 	109 
029091 	257 	78 	109 	109 
029092 	257 	78 	109 	109 
029093 	257 	78 	109 	109 
029094 	257 	78 	109 	109 
029095 	257 	78 	109 	109 
029096 	257 	78 	109 	109 
029097 	257 	78 	109 	109 
029098 	257 	78 	109 	109 
029099 	257 	78 	109 	109 
029100 	257 	78 	109 	109 
029101 	257 	78 	109 	109 
029102 	257 	78 	109 	109 
029103 	257 	78 	109 	109 
029104 	257 	78 	109 	109 
029105 	257 	78 	109 	109 
029106 	257 	78 	109 	109 
029107 	257 	78 	109 	109 
029108 	257 	78 	109 	109 
029109 	257 	78 	109 	109 
029110 	257 	78 	109 	109 
029111 	257 	78 	109 	109 
029112 	257 	78 	109 	109 
029113 	257 	78 	109 	109 
029114 	257 	78 	109 	109 
029115 	257 	90 	109 	109 
029116 	257 	90 	109 	109 
029117 	257 	90 	109 	109 
029118 	237 	80 	130 	130 
029119 	257 	102 	109 	109 
029120 	257 	102 	109 	109 
029121 	257 	102 	109 	109 
029122 	257 	102 	109 	109 
029123 	257 	102 	109 	109 
029124 	257 	102 	109 	109 
029125 	257 	102 	109 	109 
029126 	257 	102 	109 	109 
029127 	257 	102 	109 	109 
029128 	257 	102 	109 	109 
029129 	257 	102 	109 	109 
029130 	257 	102 	109 	109 
029131 	257 	102 	109 	109 
029132 	257 	102 	109 	109 
029133 	257 	102 	109 	109 
029134 	257 	102 	109 	109 
029135 	257 	102 	109 	109 
029136 	257 	102 	109 	109 
029137 	257 	102 	109 	109 
029138 	257 	102 	109 	109 
029139 	257 	102 	109 	109 
029140 	251 	94 	130 	130 
029141 	251 	94 	130 	130 
029142 	251 	94 	130 	130 
029143 	269 	90 	108 	109 
029144 	269 	90 	108 	109 
029145 	269 	90 	108 	109 
029146 	269 	90 	108 	109 
029147 	269 	90 	108 	109 
029148 	269 	90 	108 	109 
029149 	269 	90 	108 	109 
029150 	269 	90 	108 	109 
029151 	269 	90 	108 	109 
029152 	269 	90 	108 	109 
029153 	269 	90 	108 	109 
029154 	269 	90 	108 	109 
029155 	269 	90 	108 	109 
029156 	269 	90 	108 	109 
029157 	269 	90 	108 	109 
029158 	269 	90 	108 	109 
029159 	251 	80 	130 	130 
029160 	257 	90 	109 	109 
029161 	257 	90 	109 	109 
029162 	257 	90 	109 	109 
029163 	257 	90 	109 	109 
029164 	257 	90 	109 	109 
029165 	257 	90 	109 	109 
029166 	257 	90 	109 	109 
029167 	257 	90 	109 	109 
029168 	257 	90 	109 	109 
029169 	257 	90 	109 	109 
029170 	237 	80 	130 	130 
029171 	237 	80 	130 	130 
029172 	237 	80 	130 	130 
029173 	245 	90 	109 	109 
029174 	245 	90 	109 	109 
029175 	245 	90 	109 	109 
029176 	245 	90 	109 	109 
029177 	237 	80 	130 	130 
029178 	237 	80 	130 	130 
029179 	245 	102 	109 	109 
029180 	237 	80 	130 	130 
029181 	237 	80 	130 	130 
029182 	237 	80 	130 	130 
029183 	237 	80 	130 	130 
