Identity  : 	id10122
Reference : 	892mmRovNQ0
Offset    : 	-2
FV Conf   : 	13.114
ASD Conf  : 	6.513

FRAME 	X 	Y 	W 	H 
000397 	233 	66 	109 	109 
000398 	233 	66 	109 	109 
000399 	233 	66 	109 	109 
000400 	233 	66 	109 	109 
000401 	233 	66 	109 	109 
000402 	233 	54 	109 	109 
000403 	233 	54 	109 	109 
000404 	233 	54 	109 	109 
000405 	233 	54 	109 	109 
000406 	233 	54 	109 	109 
000407 	233 	54 	109 	109 
000408 	233 	66 	109 	109 
000409 	233 	66 	109 	109 
000410 	233 	66 	109 	109 
000411 	223 	51 	130 	130 
000412 	223 	51 	130 	130 
000413 	233 	54 	109 	109 
000414 	245 	54 	109 	109 
000415 	245 	54 	109 	109 
000416 	245 	43 	109 	108 
000417 	245 	43 	109 	108 
000418 	245 	43 	109 	108 
000419 	245 	43 	109 	108 
000420 	233 	43 	109 	108 
000421 	233 	43 	109 	108 
000422 	223 	37 	130 	130 
000423 	223 	37 	130 	130 
000424 	223 	37 	130 	130 
000425 	233 	54 	109 	109 
000426 	233 	54 	109 	109 
000427 	233 	54 	109 	109 
000428 	233 	54 	109 	109 
000429 	233 	54 	109 	109 
000430 	233 	54 	109 	109 
000431 	233 	54 	109 	109 
000432 	233 	54 	109 	109 
000433 	233 	54 	109 	109 
000434 	233 	54 	109 	109 
000435 	233 	54 	109 	109 
000436 	223 	37 	130 	130 
000437 	223 	37 	130 	130 
000438 	223 	37 	130 	130 
000439 	223 	37 	130 	130 
000440 	223 	37 	130 	130 
000441 	223 	37 	130 	130 
000442 	223 	37 	130 	130 
000443 	223 	37 	130 	130 
000444 	245 	54 	109 	109 
000445 	223 	51 	130 	130 
000446 	233 	54 	109 	109 
000447 	223 	51 	130 	130 
000448 	233 	54 	109 	109 
000449 	233 	54 	109 	109 
000450 	223 	37 	130 	130 
000451 	245 	54 	109 	109 
000452 	223 	37 	130 	130 
000453 	223 	37 	130 	130 
000454 	233 	43 	109 	108 
000455 	233 	43 	109 	108 
000456 	233 	43 	109 	108 
000457 	233 	43 	109 	108 
000458 	233 	43 	109 	108 
000459 	233 	43 	109 	108 
000460 	233 	43 	109 	108 
000461 	233 	43 	109 	108 
000462 	233 	43 	109 	108 
000463 	233 	43 	109 	108 
000464 	233 	43 	109 	108 
000465 	233 	43 	109 	108 
000466 	233 	43 	109 	108 
000467 	233 	43 	109 	108 
000468 	233 	43 	109 	108 
000469 	223 	37 	130 	130 
000470 	233 	54 	109 	109 
000471 	233 	54 	109 	109 
000472 	233 	54 	109 	109 
000473 	223 	51 	130 	130 
000474 	223 	51 	130 	130 
000475 	245 	54 	109 	109 
000476 	245 	66 	109 	109 
000477 	245 	66 	109 	109 
000478 	245 	66 	109 	109 
000479 	245 	66 	109 	109 
000480 	245 	66 	109 	109 
000481 	245 	66 	109 	109 
000482 	245 	66 	109 	109 
000483 	245 	66 	109 	109 
000484 	245 	66 	109 	109 
000485 	245 	66 	109 	109 
000486 	245 	66 	109 	109 
000487 	245 	66 	109 	109 
000488 	245 	66 	109 	109 
000489 	245 	66 	109 	109 
000490 	245 	66 	109 	109 
000491 	245 	66 	109 	109 
000492 	245 	66 	109 	109 
000493 	245 	66 	109 	109 
000494 	245 	66 	109 	109 
000495 	245 	66 	109 	109 
000496 	245 	66 	109 	109 
000497 	245 	66 	109 	109 
000498 	237 	51 	130 	130 
000499 	237 	51 	130 	130 
000500 	237 	51 	130 	130 
000501 	237 	51 	130 	130 
000502 	257 	66 	109 	109 
000503 	257 	66 	109 	109 
000504 	257 	66 	109 	109 
000505 	257 	66 	109 	109 
000506 	257 	66 	109 	109 
000507 	257 	66 	109 	109 
000508 	257 	66 	109 	109 
000509 	257 	66 	109 	109 
000510 	257 	66 	109 	109 
000511 	257 	66 	109 	109 
000512 	257 	66 	109 	109 
000513 	257 	66 	109 	109 
000514 	257 	66 	109 	109 
000515 	257 	66 	109 	109 
000516 	257 	66 	109 	109 
000517 	257 	66 	109 	109 
000518 	257 	66 	109 	109 
000519 	257 	66 	109 	109 
000520 	257 	66 	109 	109 
000521 	257 	66 	109 	109 
000522 	257 	66 	109 	109 
000523 	257 	66 	109 	109 
000524 	257 	66 	109 	109 
000525 	257 	66 	109 	109 
000526 	257 	66 	109 	109 
000527 	257 	66 	109 	109 
000528 	257 	66 	109 	109 
000529 	257 	66 	109 	109 
000530 	257 	66 	109 	109 
000531 	251 	66 	130 	130 
000532 	251 	66 	130 	130 
000533 	269 	78 	108 	109 
000534 	269 	78 	108 	109 
000535 	269 	78 	108 	109 
000536 	269 	78 	108 	109 
000537 	269 	78 	108 	109 
000538 	269 	78 	108 	109 
000539 	269 	78 	108 	109 
000540 	269 	90 	108 	109 
000541 	281 	90 	108 	109 
000542 	281 	90 	108 	109 
000543 	281 	90 	108 	109 
000544 	293 	90 	108 	109 
000545 	293 	78 	108 	109 
000546 	293 	78 	108 	109 
000547 	293 	78 	108 	109 
000548 	293 	78 	108 	109 
000549 	293 	78 	108 	109 
000550 	293 	78 	108 	109 
000551 	293 	78 	108 	109 
000552 	281 	78 	108 	109 
000553 	281 	90 	108 	109 
000554 	281 	90 	108 	109 
000555 	281 	102 	108 	109 
000556 	281 	102 	108 	109 
000557 	284 	105 	90 	91 
000558 	269 	90 	108 	109 
000559 	269 	90 	108 	109 
000560 	269 	90 	108 	109 
000561 	269 	90 	108 	109 
000562 	269 	90 	108 	109 
000563 	269 	90 	108 	109 
000564 	269 	90 	108 	109 
000565 	269 	90 	108 	109 
000566 	269 	90 	108 	109 
000567 	269 	90 	108 	109 
000568 	281 	78 	108 	109 
000569 	281 	78 	108 	109 
000570 	281 	78 	108 	109 
000571 	281 	78 	108 	109 
000572 	281 	78 	108 	109 
