Identity  : 	id10122
Reference : 	qWcCvbK9mLg
Offset    : 	-1
FV Conf   : 	16.615
ASD Conf  : 	8.583

FRAME 	X 	Y 	W 	H 
001885 	341 	102 	108 	109 
001886 	341 	102 	108 	109 
001887 	341 	102 	108 	109 
001888 	341 	102 	108 	109 
001889 	341 	102 	108 	109 
001890 	343 	115 	91 	91 
001891 	333 	115 	91 	91 
001892 	333 	115 	91 	91 
001893 	317 	102 	108 	109 
001894 	323 	105 	91 	91 
001895 	323 	105 	91 	91 
001896 	317 	102 	108 	109 
001897 	317 	102 	108 	109 
001898 	317 	102 	108 	109 
001899 	317 	102 	108 	109 
001900 	317 	102 	108 	109 
001901 	317 	102 	108 	109 
001902 	317 	102 	108 	109 
001903 	317 	102 	108 	109 
001904 	317 	90 	108 	109 
001905 	317 	90 	108 	109 
001906 	317 	90 	108 	109 
001907 	329 	90 	108 	109 
001908 	329 	90 	108 	109 
001909 	329 	90 	108 	109 
001910 	329 	90 	108 	109 
001911 	329 	90 	108 	109 
001912 	341 	102 	108 	109 
001913 	341 	102 	108 	109 
001914 	353 	115 	91 	91 
001915 	353 	114 	108 	109 
001916 	353 	102 	108 	109 
001917 	365 	102 	108 	109 
001918 	365 	102 	108 	109 
001919 	353 	102 	108 	109 
001920 	353 	102 	108 	109 
001921 	353 	102 	108 	109 
001922 	363 	105 	91 	91 
001923 	353 	90 	108 	109 
001924 	353 	90 	108 	109 
001925 	353 	90 	108 	109 
001926 	353 	95 	91 	91 
001927 	353 	95 	91 	91 
001928 	341 	90 	108 	109 
001929 	341 	90 	108 	109 
001930 	341 	90 	108 	109 
001931 	343 	95 	91 	91 
001932 	329 	90 	108 	109 
001933 	329 	90 	108 	109 
001934 	329 	90 	108 	109 
001935 	329 	90 	108 	109 
001936 	329 	90 	108 	109 
001937 	329 	90 	108 	109 
001938 	329 	90 	108 	109 
001939 	329 	90 	108 	109 
001940 	329 	90 	108 	109 
001941 	329 	90 	108 	109 
001942 	329 	90 	108 	109 
001943 	329 	90 	108 	109 
001944 	329 	78 	108 	109 
001945 	343 	85 	91 	91 
001946 	343 	85 	91 	91 
001947 	341 	78 	108 	109 
001948 	341 	78 	108 	109 
001949 	341 	78 	108 	109 
001950 	341 	78 	108 	109 
001951 	341 	78 	108 	109 
001952 	341 	78 	108 	109 
001953 	341 	78 	108 	109 
001954 	341 	78 	108 	109 
001955 	341 	78 	108 	109 
001956 	341 	78 	108 	109 
001957 	353 	85 	91 	91 
001958 	353 	78 	108 	109 
001959 	353 	85 	91 	91 
001960 	353 	85 	91 	91 
001961 	353 	85 	91 	91 
001962 	353 	85 	91 	91 
001963 	353 	85 	91 	91 
001964 	353 	85 	91 	91 
001965 	353 	85 	91 	91 
001966 	353 	85 	91 	91 
001967 	341 	78 	108 	109 
001968 	341 	78 	108 	109 
001969 	341 	78 	108 	109 
001970 	343 	85 	91 	91 
001971 	343 	85 	91 	91 
001972 	329 	66 	108 	109 
001973 	329 	66 	108 	109 
001974 	329 	66 	108 	109 
001975 	333 	75 	91 	91 
001976 	333 	75 	91 	91 
001977 	317 	66 	108 	109 
001978 	317 	66 	108 	109 
001979 	317 	66 	108 	109 
001980 	317 	66 	108 	109 
001981 	317 	66 	108 	109 
001982 	317 	66 	108 	109 
001983 	317 	66 	108 	109 
001984 	317 	66 	108 	109 
001985 	317 	66 	108 	109 
001986 	317 	66 	108 	109 
001987 	317 	66 	108 	109 
001988 	317 	66 	108 	109 
001989 	317 	66 	108 	109 
001990 	317 	66 	108 	109 
001991 	317 	66 	108 	109 
001992 	317 	66 	108 	109 
001993 	317 	66 	108 	109 
001994 	333 	75 	91 	91 
001995 	333 	75 	91 	91 
001996 	333 	75 	91 	91 
001997 	333 	75 	91 	91 
001998 	317 	66 	108 	109 
001999 	317 	66 	108 	109 
002000 	317 	66 	108 	109 
002001 	317 	66 	108 	109 
002002 	317 	66 	108 	109 
002003 	317 	66 	108 	109 
002004 	317 	66 	108 	109 
002005 	317 	66 	108 	109 
002006 	317 	66 	108 	109 
002007 	317 	66 	108 	109 
002008 	317 	66 	108 	109 
002009 	317 	66 	108 	109 
002010 	317 	66 	108 	109 
002011 	317 	66 	108 	109 
002012 	333 	75 	91 	91 
002013 	333 	75 	91 	91 
002014 	333 	75 	91 	91 
002015 	329 	66 	108 	109 
002016 	329 	66 	108 	109 
002017 	329 	66 	108 	109 
002018 	329 	66 	108 	109 
002019 	329 	66 	108 	109 
002020 	329 	66 	108 	109 
002021 	329 	66 	108 	109 
002022 	329 	66 	108 	109 
002023 	329 	66 	108 	109 
002024 	329 	66 	108 	109 
002025 	329 	66 	108 	109 
002026 	329 	66 	108 	109 
002027 	329 	66 	108 	109 
002028 	329 	78 	108 	109 
002029 	343 	85 	91 	91 
002030 	343 	85 	91 	91 
002031 	343 	85 	91 	91 
002032 	341 	90 	108 	109 
002033 	341 	90 	108 	109 
002034 	353 	95 	91 	91 
002035 	353 	95 	91 	91 
002036 	353 	95 	91 	91 
002037 	353 	95 	91 	91 
002038 	353 	95 	91 	91 
002039 	353 	95 	91 	91 
002040 	341 	90 	108 	109 
002041 	341 	90 	108 	109 
002042 	341 	90 	108 	109 
002043 	341 	90 	108 	109 
002044 	341 	90 	108 	109 
