Identity  : 	id10130
Reference : 	GGEFDMP36o8
Offset    : 	-2
FV Conf   : 	21.447
ASD Conf  : 	6.942

FRAME 	X 	Y 	W 	H 
006246 	317 	78 	108 	109 
006247 	317 	78 	108 	109 
006248 	317 	78 	108 	109 
006249 	309 	80 	130 	130 
006250 	309 	80 	130 	130 
006251 	309 	80 	130 	130 
006252 	309 	80 	130 	130 
006253 	309 	80 	130 	130 
006254 	309 	80 	130 	130 
006255 	309 	80 	130 	130 
006256 	309 	80 	130 	130 
006257 	317 	78 	108 	109 
006258 	317 	78 	108 	109 
006259 	317 	78 	108 	109 
006260 	317 	78 	108 	109 
006261 	317 	78 	108 	109 
006262 	317 	78 	108 	109 
006263 	317 	78 	108 	109 
006264 	317 	78 	108 	109 
006265 	317 	78 	108 	109 
006266 	317 	78 	108 	109 
006267 	317 	78 	108 	109 
006268 	317 	78 	108 	109 
006269 	309 	80 	130 	130 
006270 	309 	80 	130 	130 
006271 	309 	80 	130 	130 
006272 	294 	80 	130 	130 
006273 	294 	80 	130 	130 
006274 	294 	80 	130 	130 
006275 	294 	80 	130 	130 
006276 	294 	80 	130 	130 
006277 	294 	80 	130 	130 
006278 	294 	80 	130 	130 
006279 	294 	80 	130 	130 
006280 	305 	78 	108 	109 
006281 	294 	80 	130 	130 
006282 	294 	80 	130 	130 
006283 	294 	80 	130 	130 
006284 	294 	80 	130 	130 
006285 	294 	80 	130 	130 
006286 	294 	80 	130 	130 
006287 	294 	80 	130 	130 
006288 	294 	80 	130 	130 
006289 	294 	80 	130 	130 
006290 	294 	80 	130 	130 
006291 	294 	80 	130 	130 
006292 	294 	80 	130 	130 
006293 	294 	80 	130 	130 
006294 	305 	78 	108 	109 
006295 	294 	66 	130 	130 
006296 	309 	66 	130 	130 
006297 	309 	66 	130 	130 
006298 	309 	66 	130 	130 
006299 	309 	66 	130 	130 
006300 	309 	66 	130 	130 
006301 	309 	66 	130 	130 
006302 	309 	66 	130 	130 
006303 	294 	66 	130 	130 
006304 	294 	66 	130 	130 
006305 	294 	66 	130 	130 
006306 	294 	66 	130 	130 
006307 	294 	66 	130 	130 
006308 	294 	66 	130 	130 
006309 	294 	66 	130 	130 
006310 	294 	66 	130 	130 
006311 	305 	66 	108 	109 
006312 	294 	66 	130 	130 
006313 	309 	51 	130 	130 
006314 	323 	51 	130 	130 
006315 	323 	51 	130 	130 
006316 	323 	66 	130 	130 
006317 	329 	66 	108 	109 
006318 	329 	66 	108 	109 
006319 	329 	66 	108 	109 
006320 	329 	66 	108 	109 
006321 	309 	66 	130 	130 
006322 	309 	66 	130 	130 
006323 	309 	66 	130 	130 
006324 	309 	66 	130 	130 
006325 	309 	66 	130 	130 
006326 	309 	51 	130 	130 
006327 	309 	51 	130 	130 
006328 	309 	51 	130 	130 
006329 	309 	51 	130 	130 
006330 	309 	51 	130 	130 
006331 	309 	51 	130 	130 
006332 	317 	66 	108 	109 
006333 	317 	66 	108 	109 
006334 	309 	66 	130 	130 
006335 	309 	66 	130 	130 
006336 	309 	66 	130 	130 
006337 	309 	66 	130 	130 
006338 	309 	66 	130 	130 
006339 	309 	66 	130 	130 
006340 	309 	66 	130 	130 
006341 	294 	66 	130 	130 
006342 	294 	66 	130 	130 
006343 	294 	66 	130 	130 
006344 	294 	66 	130 	130 
006345 	294 	66 	130 	130 
006346 	294 	66 	130 	130 
006347 	280 	66 	130 	130 
006348 	280 	66 	130 	130 
006349 	280 	66 	130 	130 
006350 	280 	66 	130 	130 
006351 	280 	66 	130 	130 
006352 	266 	66 	130 	130 
006353 	266 	66 	130 	130 
006354 	266 	66 	130 	130 
006355 	266 	80 	130 	130 
006356 	266 	80 	130 	130 
006357 	266 	80 	130 	130 
006358 	266 	80 	130 	130 
006359 	266 	80 	130 	130 
006360 	266 	80 	130 	130 
006361 	266 	80 	130 	130 
006362 	266 	80 	130 	130 
006363 	266 	80 	130 	130 
006364 	266 	80 	130 	130 
006365 	266 	80 	130 	130 
006366 	266 	80 	130 	130 
006367 	280 	80 	130 	130 
006368 	280 	80 	130 	130 
006369 	280 	80 	130 	130 
006370 	280 	80 	130 	130 
006371 	280 	80 	130 	130 
006372 	280 	80 	130 	130 
006373 	294 	80 	130 	130 
006374 	294 	80 	130 	130 
006375 	294 	80 	130 	130 
006376 	294 	80 	130 	130 
006377 	294 	80 	130 	130 
006378 	309 	80 	130 	130 
006379 	309 	80 	130 	130 
006380 	309 	80 	130 	130 
006381 	309 	80 	130 	130 
006382 	309 	80 	130 	130 
006383 	309 	80 	130 	130 
006384 	309 	80 	130 	130 
006385 	309 	80 	130 	130 
006386 	323 	80 	130 	130 
006387 	323 	80 	130 	130 
006388 	323 	80 	130 	130 
006389 	323 	80 	130 	130 
006390 	323 	80 	130 	130 
006391 	323 	80 	130 	130 
006392 	323 	80 	130 	130 
006393 	323 	80 	130 	130 
006394 	323 	80 	130 	130 
006395 	309 	80 	130 	130 
006396 	309 	80 	130 	130 
006397 	309 	80 	130 	130 
006398 	309 	80 	130 	130 
006399 	309 	80 	130 	130 
006400 	309 	80 	130 	130 
006401 	309 	80 	130 	130 
006402 	309 	80 	130 	130 
006403 	309 	80 	130 	130 
006404 	309 	80 	130 	130 
006405 	309 	80 	130 	130 
006406 	309 	80 	130 	130 
006407 	294 	80 	130 	130 
006408 	294 	80 	130 	130 
006409 	294 	80 	130 	130 
006410 	294 	80 	130 	130 
006411 	294 	80 	130 	130 
006412 	280 	80 	130 	130 
006413 	280 	80 	130 	130 
006414 	280 	80 	130 	130 
006415 	280 	80 	130 	130 
006416 	280 	80 	130 	130 
006417 	281 	90 	108 	109 
006418 	281 	90 	108 	109 
006419 	281 	90 	108 	109 
006420 	281 	90 	108 	109 
006421 	266 	66 	130 	130 
006422 	266 	66 	130 	130 
006423 	266 	66 	130 	130 
006424 	266 	66 	130 	130 
006425 	266 	66 	130 	130 
006426 	266 	66 	130 	130 
006427 	281 	90 	108 	109 
006428 	281 	90 	108 	109 
006429 	280 	80 	130 	130 
006430 	280 	80 	130 	130 
006431 	280 	80 	130 	130 
006432 	293 	90 	108 	109 
006433 	293 	90 	108 	109 
006434 	294 	80 	130 	130 
006435 	294 	80 	130 	130 
006436 	294 	80 	130 	130 
006437 	294 	80 	130 	130 
006438 	294 	80 	130 	130 
006439 	294 	80 	130 	130 
006440 	294 	80 	130 	130 
006441 	294 	80 	130 	130 
006442 	317 	90 	108 	109 
006443 	309 	94 	130 	130 
