Identity  : 	id10148
Reference : 	5YHiMKbxRlU
Offset    : 	2
FV Conf   : 	15.690
ASD Conf  : 	5.781

FRAME 	X 	Y 	W 	H 
016038 	194 	75 	91 	91 
016039 	194 	75 	91 	91 
016040 	194 	75 	91 	91 
016041 	194 	75 	91 	91 
016042 	194 	75 	91 	91 
016043 	194 	75 	91 	91 
016044 	185 	66 	109 	109 
016045 	204 	75 	91 	91 
016046 	204 	75 	91 	91 
016047 	204 	75 	91 	91 
016048 	204 	75 	91 	91 
016049 	204 	75 	91 	91 
016050 	204 	75 	91 	91 
016051 	204 	75 	91 	91 
016052 	204 	75 	91 	91 
016053 	204 	75 	91 	91 
016054 	204 	75 	91 	91 
016055 	204 	75 	91 	91 
016056 	204 	75 	91 	91 
016057 	204 	75 	91 	91 
016058 	204 	75 	91 	91 
016059 	204 	75 	91 	91 
016060 	204 	75 	91 	91 
016061 	204 	75 	91 	91 
016062 	204 	75 	91 	91 
016063 	204 	75 	91 	91 
016064 	194 	75 	91 	91 
016065 	194 	75 	91 	91 
016066 	194 	75 	91 	91 
016067 	204 	75 	91 	91 
016068 	204 	75 	91 	91 
016069 	204 	75 	91 	91 
016070 	204 	75 	91 	91 
016071 	204 	75 	91 	91 
016072 	204 	75 	91 	91 
016073 	204 	75 	91 	91 
016074 	204 	75 	91 	91 
016075 	204 	75 	91 	91 
016076 	204 	75 	91 	91 
016077 	204 	85 	91 	91 
016078 	204 	85 	91 	91 
016079 	204 	85 	91 	91 
016080 	204 	85 	91 	91 
016081 	204 	85 	91 	91 
016082 	204 	85 	91 	91 
016083 	204 	85 	91 	91 
016084 	204 	75 	91 	91 
016085 	204 	85 	91 	91 
016086 	204 	85 	91 	91 
016087 	204 	85 	91 	91 
016088 	204 	85 	91 	91 
016089 	204 	75 	91 	91 
016090 	204 	85 	91 	91 
016091 	204 	85 	91 	91 
016092 	204 	85 	91 	91 
016093 	204 	85 	91 	91 
016094 	204 	85 	91 	91 
016095 	204 	75 	91 	91 
016096 	204 	75 	91 	91 
016097 	204 	75 	91 	91 
016098 	204 	75 	91 	91 
016099 	204 	75 	91 	91 
016100 	204 	75 	91 	91 
016101 	204 	75 	91 	91 
016102 	204 	85 	91 	91 
016103 	204 	85 	91 	91 
016104 	204 	85 	91 	91 
016105 	204 	85 	91 	91 
016106 	204 	85 	91 	91 
016107 	204 	85 	91 	91 
016108 	204 	75 	91 	91 
016109 	204 	75 	91 	91 
016110 	204 	75 	91 	91 
016111 	204 	75 	91 	91 
016112 	204 	75 	91 	91 
016113 	204 	75 	91 	91 
016114 	204 	75 	91 	91 
016115 	204 	75 	91 	91 
016116 	204 	75 	91 	91 
016117 	204 	75 	91 	91 
016118 	204 	85 	91 	91 
016119 	194 	85 	91 	91 
016120 	185 	78 	109 	109 
016121 	194 	75 	91 	91 
016122 	194 	75 	91 	91 
016123 	194 	75 	91 	91 
016124 	194 	75 	91 	91 
016125 	194 	75 	91 	91 
016126 	194 	75 	91 	91 
016127 	194 	65 	91 	91 
016128 	194 	75 	91 	91 
016129 	194 	65 	91 	91 
016130 	194 	65 	91 	91 
016131 	204 	75 	91 	91 
016132 	204 	65 	91 	91 
016133 	197 	54 	109 	109 
016134 	197 	54 	109 	109 
016135 	214 	75 	91 	91 
016136 	214 	75 	91 	91 
016137 	220 	79 	75 	76 
016138 	220 	79 	75 	76 
016139 	204 	75 	91 	91 
016140 	204 	75 	91 	91 
016141 	204 	75 	91 	91 
016142 	204 	75 	91 	91 
016143 	204 	75 	91 	91 
016144 	194 	85 	91 	91 
016145 	194 	85 	91 	91 
016146 	194 	85 	91 	91 
016147 	194 	85 	91 	91 
016148 	194 	85 	91 	91 
016149 	204 	85 	91 	91 
016150 	204 	85 	91 	91 
016151 	204 	85 	91 	91 
016152 	204 	85 	91 	91 
016153 	204 	85 	91 	91 
016154 	204 	85 	91 	91 
016155 	204 	85 	91 	91 
016156 	204 	85 	91 	91 
016157 	204 	85 	91 	91 
016158 	204 	85 	91 	91 
016159 	204 	85 	91 	91 
016160 	204 	85 	91 	91 
016161 	204 	85 	91 	91 
016162 	204 	85 	91 	91 
016163 	204 	85 	91 	91 
016164 	204 	85 	91 	91 
016165 	204 	85 	91 	91 
016166 	204 	85 	91 	91 
016167 	204 	85 	91 	91 
016168 	204 	85 	91 	91 
016169 	204 	75 	91 	91 
016170 	204 	75 	91 	91 
016171 	204 	75 	91 	91 
016172 	204 	75 	91 	91 
016173 	204 	75 	91 	91 
016174 	194 	75 	91 	91 
016175 	194 	75 	91 	91 
016176 	194 	75 	91 	91 
016177 	194 	75 	91 	91 
016178 	194 	75 	91 	91 
016179 	194 	75 	91 	91 
016180 	194 	75 	91 	91 
016181 	194 	75 	91 	91 
016182 	194 	75 	91 	91 
016183 	194 	75 	91 	91 
016184 	194 	75 	91 	91 
016185 	194 	75 	91 	91 
016186 	194 	75 	91 	91 
016187 	194 	75 	91 	91 
016188 	194 	75 	91 	91 
016189 	194 	75 	91 	91 
016190 	194 	75 	91 	91 
016191 	194 	75 	91 	91 
016192 	194 	75 	91 	91 
016193 	194 	75 	91 	91 
016194 	195 	71 	75 	75 
