Identity  : 	id10148
Reference : 	ROV--v_ZoDE
Offset    : 	-3
FV Conf   : 	21.492
ASD Conf  : 	6.312

FRAME 	X 	Y 	W 	H 
020563 	194 	85 	91 	91 
020564 	194 	85 	91 	91 
020565 	194 	85 	91 	91 
020566 	194 	85 	91 	91 
020567 	194 	85 	91 	91 
020568 	194 	85 	91 	91 
020569 	194 	85 	91 	91 
020570 	194 	85 	91 	91 
020571 	194 	85 	91 	91 
020572 	194 	85 	91 	91 
020573 	194 	85 	91 	91 
020574 	194 	85 	91 	91 
020575 	194 	85 	91 	91 
020576 	194 	85 	91 	91 
020577 	194 	85 	91 	91 
020578 	194 	85 	91 	91 
020579 	194 	85 	91 	91 
020580 	194 	85 	91 	91 
020581 	194 	85 	91 	91 
020582 	194 	85 	91 	91 
020583 	194 	85 	91 	91 
020584 	194 	85 	91 	91 
020585 	194 	85 	91 	91 
020586 	194 	85 	91 	91 
020587 	194 	85 	91 	91 
020588 	194 	85 	91 	91 
020589 	194 	85 	91 	91 
020590 	194 	85 	91 	91 
020591 	194 	85 	91 	91 
020592 	194 	85 	91 	91 
020593 	194 	85 	91 	91 
020594 	194 	85 	91 	91 
020595 	195 	96 	75 	75 
020596 	195 	96 	75 	75 
020597 	195 	96 	75 	75 
020598 	195 	96 	75 	75 
020599 	195 	96 	75 	75 
020600 	195 	96 	75 	75 
020601 	195 	96 	75 	75 
020602 	195 	96 	75 	75 
020603 	195 	96 	75 	75 
020604 	195 	96 	75 	75 
020605 	195 	87 	75 	76 
020606 	195 	87 	75 	76 
020607 	195 	87 	75 	76 
020608 	195 	87 	75 	76 
020609 	195 	87 	75 	76 
020610 	195 	87 	75 	76 
020611 	195 	87 	75 	76 
020612 	195 	87 	75 	76 
020613 	194 	85 	91 	91 
020614 	194 	85 	91 	91 
020615 	194 	85 	91 	91 
020616 	194 	85 	91 	91 
020617 	194 	85 	91 	91 
020618 	194 	85 	91 	91 
020619 	194 	85 	91 	91 
020620 	194 	85 	91 	91 
020621 	194 	85 	91 	91 
020622 	194 	85 	91 	91 
020623 	194 	85 	91 	91 
020624 	194 	85 	91 	91 
020625 	194 	85 	91 	91 
020626 	194 	85 	91 	91 
020627 	194 	85 	91 	91 
020628 	194 	85 	91 	91 
020629 	194 	85 	91 	91 
020630 	194 	85 	91 	91 
020631 	194 	85 	91 	91 
020632 	194 	85 	91 	91 
020633 	194 	85 	91 	91 
020634 	194 	95 	91 	91 
020635 	194 	95 	91 	91 
020636 	194 	95 	91 	91 
020637 	194 	85 	91 	91 
020638 	194 	85 	91 	91 
020639 	194 	85 	91 	91 
020640 	194 	85 	91 	91 
020641 	194 	95 	91 	91 
020642 	194 	95 	91 	91 
020643 	194 	95 	91 	91 
020644 	194 	95 	91 	91 
020645 	194 	95 	91 	91 
020646 	194 	95 	91 	91 
020647 	194 	95 	91 	91 
020648 	194 	95 	91 	91 
020649 	194 	95 	91 	91 
020650 	194 	95 	91 	91 
020651 	194 	95 	91 	91 
020652 	194 	95 	91 	91 
020653 	194 	95 	91 	91 
020654 	194 	95 	91 	91 
020655 	194 	95 	91 	91 
020656 	194 	95 	91 	91 
020657 	194 	95 	91 	91 
020658 	194 	95 	91 	91 
020659 	194 	95 	91 	91 
