Identity  : 	id10148
Reference : 	UUcLJLMw8u4
Offset    : 	-9
FV Conf   : 	20.744
ASD Conf  : 	7.518

FRAME 	X 	Y 	W 	H 
011416 	208 	80 	130 	130 
011417 	209 	78 	109 	109 
011418 	209 	78 	109 	109 
011419 	209 	78 	109 	109 
011420 	208 	80 	130 	130 
011421 	208 	80 	130 	130 
011422 	208 	80 	130 	130 
011423 	209 	78 	109 	109 
011424 	209 	78 	109 	109 
011425 	209 	78 	109 	109 
011426 	181 	62 	156 	155 
011427 	194 	66 	130 	130 
011428 	209 	78 	109 	109 
011429 	209 	78 	109 	109 
011430 	209 	78 	109 	109 
011431 	181 	62 	156 	155 
011432 	194 	80 	130 	130 
011433 	194 	80 	130 	130 
011434 	194 	80 	130 	130 
011435 	194 	80 	130 	130 
011436 	194 	80 	130 	130 
011437 	194 	80 	130 	130 
011438 	194 	80 	130 	130 
011439 	208 	80 	130 	130 
011440 	208 	80 	130 	130 
011441 	208 	80 	130 	130 
011442 	208 	80 	130 	130 
011443 	208 	80 	130 	130 
011444 	208 	80 	130 	130 
011445 	194 	80 	130 	130 
011446 	194 	80 	130 	130 
011447 	208 	80 	130 	130 
011448 	208 	80 	130 	130 
011449 	208 	80 	130 	130 
011450 	208 	80 	130 	130 
011451 	208 	80 	130 	130 
011452 	208 	80 	130 	130 
011453 	208 	80 	130 	130 
011454 	194 	80 	130 	130 
011455 	194 	80 	130 	130 
011456 	194 	80 	130 	130 
011457 	194 	80 	130 	130 
011458 	181 	62 	156 	155 
011459 	194 	80 	130 	130 
011460 	194 	80 	130 	130 
011461 	209 	78 	109 	109 
011462 	209 	78 	109 	109 
011463 	209 	78 	109 	109 
011464 	181 	62 	156 	155 
011465 	209 	78 	109 	109 
011466 	209 	78 	109 	109 
011467 	194 	80 	130 	130 
011468 	209 	78 	109 	109 
011469 	194 	80 	130 	130 
011470 	194 	80 	130 	130 
011471 	194 	80 	130 	130 
011472 	194 	80 	130 	130 
011473 	194 	80 	130 	130 
011474 	194 	80 	130 	130 
011475 	194 	80 	130 	130 
011476 	194 	80 	130 	130 
011477 	208 	80 	130 	130 
011478 	208 	80 	130 	130 
011479 	208 	80 	130 	130 
011480 	208 	80 	130 	130 
011481 	209 	90 	109 	109 
011482 	209 	90 	109 	109 
011483 	209 	90 	109 	109 
011484 	194 	80 	130 	130 
011485 	194 	80 	130 	130 
011486 	208 	80 	130 	130 
011487 	208 	80 	130 	130 
011488 	208 	80 	130 	130 
011489 	208 	80 	130 	130 
011490 	208 	80 	130 	130 
011491 	208 	80 	130 	130 
011492 	221 	78 	109 	109 
011493 	208 	80 	130 	130 
011494 	208 	80 	130 	130 
011495 	208 	80 	130 	130 
011496 	208 	80 	130 	130 
011497 	209 	90 	109 	109 
011498 	209 	90 	109 	109 
011499 	194 	80 	130 	130 
011500 	194 	80 	130 	130 
011501 	194 	80 	130 	130 
011502 	194 	80 	130 	130 
011503 	194 	80 	130 	130 
011504 	208 	80 	130 	130 
011505 	208 	80 	130 	130 
011506 	221 	78 	109 	109 
011507 	208 	66 	130 	130 
011508 	208 	66 	130 	130 
011509 	208 	66 	130 	130 
011510 	208 	66 	130 	130 
011511 	208 	66 	130 	130 
011512 	208 	66 	130 	130 
011513 	221 	78 	109 	109 
011514 	221 	78 	109 	109 
011515 	208 	80 	130 	130 
011516 	208 	80 	130 	130 
011517 	208 	80 	130 	130 
011518 	208 	80 	130 	130 
011519 	208 	80 	130 	130 
011520 	208 	80 	130 	130 
011521 	208 	80 	130 	130 
011522 	208 	80 	130 	130 
011523 	208 	80 	130 	130 
011524 	208 	80 	130 	130 
011525 	208 	80 	130 	130 
011526 	208 	80 	130 	130 
011527 	208 	94 	130 	130 
011528 	208 	80 	130 	130 
011529 	208 	80 	130 	130 
011530 	208 	80 	130 	130 
011531 	208 	80 	130 	130 
011532 	208 	80 	130 	130 
011533 	208 	80 	130 	130 
011534 	208 	80 	130 	130 
011535 	208 	80 	130 	130 
011536 	208 	80 	130 	130 
011537 	208 	80 	130 	130 
011538 	208 	80 	130 	130 
011539 	208 	80 	130 	130 
011540 	208 	80 	130 	130 
011541 	194 	80 	130 	130 
011542 	194 	80 	130 	130 
011543 	194 	80 	130 	130 
011544 	194 	80 	130 	130 
011545 	194 	80 	130 	130 
011546 	194 	80 	130 	130 
011547 	194 	80 	130 	130 
011548 	208 	80 	130 	130 
011549 	208 	80 	130 	130 
011550 	208 	80 	130 	130 
011551 	208 	80 	130 	130 
011552 	181 	62 	156 	155 
011553 	194 	80 	130 	130 
011554 	194 	80 	130 	130 
011555 	194 	80 	130 	130 
011556 	209 	78 	109 	109 
011557 	209 	78 	109 	109 
011558 	209 	78 	109 	109 
011559 	209 	78 	109 	109 
011560 	209 	78 	109 	109 
011561 	194 	66 	130 	130 
011562 	194 	66 	130 	130 
011563 	194 	66 	130 	130 
011564 	194 	66 	130 	130 
011565 	194 	66 	130 	130 
011566 	194 	66 	130 	130 
011567 	209 	78 	109 	109 
011568 	194 	66 	130 	130 
011569 	209 	78 	109 	109 
011570 	209 	78 	109 	109 
011571 	194 	66 	130 	130 
011572 	194 	66 	130 	130 
011573 	194 	66 	130 	130 
011574 	209 	78 	109 	109 
