Identity  : 	id10148
Reference : 	ZYSjkfQpMRg
Offset    : 	-4
FV Conf   : 	16.931
ASD Conf  : 	8.664

FRAME 	X 	Y 	W 	H 
032231 	173 	90 	109 	109 
032232 	173 	90 	109 	109 
032233 	173 	90 	109 	109 
032234 	173 	90 	109 	109 
032235 	173 	90 	109 	109 
032236 	173 	90 	109 	109 
032237 	173 	90 	109 	109 
032238 	173 	90 	109 	109 
032239 	173 	90 	109 	109 
032240 	173 	90 	109 	109 
032241 	173 	90 	109 	109 
032242 	173 	90 	109 	109 
032243 	173 	90 	109 	109 
032244 	173 	90 	109 	109 
032245 	173 	90 	109 	109 
032246 	173 	90 	109 	109 
032247 	173 	90 	109 	109 
032248 	173 	90 	109 	109 
032249 	173 	90 	109 	109 
032250 	173 	90 	109 	109 
032251 	173 	90 	109 	109 
032252 	151 	80 	130 	130 
032253 	151 	80 	130 	130 
032254 	151 	80 	130 	130 
032255 	151 	80 	130 	130 
032256 	151 	80 	130 	130 
032257 	151 	80 	130 	130 
032258 	151 	80 	130 	130 
032259 	151 	80 	130 	130 
032260 	151 	80 	130 	130 
032261 	151 	80 	130 	130 
032262 	151 	94 	130 	130 
032263 	151 	80 	130 	130 
032264 	151 	94 	130 	130 
032265 	151 	80 	130 	130 
032266 	161 	90 	109 	109 
032267 	151 	80 	130 	130 
032268 	151 	80 	130 	130 
032269 	151 	94 	130 	130 
032270 	151 	94 	130 	130 
032271 	151 	94 	130 	130 
032272 	151 	94 	130 	130 
032273 	151 	94 	130 	130 
032274 	151 	94 	130 	130 
032275 	151 	94 	130 	130 
032276 	173 	102 	109 	109 
032277 	173 	102 	109 	109 
032278 	173 	102 	109 	109 
032279 	173 	102 	109 	109 
032280 	173 	114 	109 	109 
032281 	173 	102 	109 	109 
032282 	173 	114 	109 	109 
032283 	173 	114 	109 	109 
032284 	173 	114 	109 	109 
032285 	173 	114 	109 	109 
032286 	173 	114 	109 	109 
032287 	173 	114 	109 	109 
032288 	173 	102 	109 	109 
032289 	173 	102 	109 	109 
032290 	173 	102 	109 	109 
032291 	173 	102 	109 	109 
032292 	173 	102 	109 	109 
032293 	165 	94 	130 	130 
032294 	165 	94 	130 	130 
032295 	165 	94 	130 	130 
032296 	165 	94 	130 	130 
032297 	173 	102 	109 	109 
032298 	173 	102 	109 	109 
032299 	173 	102 	109 	109 
032300 	173 	90 	109 	109 
032301 	165 	80 	130 	130 
032302 	173 	90 	109 	109 
032303 	173 	90 	109 	109 
032304 	173 	90 	109 	109 
032305 	151 	94 	130 	130 
032306 	151 	80 	130 	130 
032307 	151 	80 	130 	130 
032308 	151 	80 	130 	130 
032309 	151 	94 	130 	130 
032310 	151 	80 	130 	130 
032311 	151 	80 	130 	130 
032312 	151 	80 	130 	130 
032313 	151 	80 	130 	130 
032314 	151 	80 	130 	130 
032315 	151 	80 	130 	130 
032316 	151 	80 	130 	130 
032317 	151 	80 	130 	130 
032318 	151 	80 	130 	130 
032319 	151 	80 	130 	130 
032320 	151 	80 	130 	130 
032321 	151 	80 	130 	130 
032322 	147 	44 	156 	156 
032323 	173 	78 	109 	109 
032324 	165 	66 	130 	130 
032325 	165 	66 	130 	130 
032326 	165 	66 	130 	130 
032327 	165 	66 	130 	130 
032328 	165 	66 	130 	130 
032329 	165 	66 	130 	130 
032330 	165 	66 	130 	130 
032331 	165 	66 	130 	130 
032332 	165 	66 	130 	130 
032333 	165 	66 	130 	130 
032334 	165 	66 	130 	130 
032335 	165 	66 	130 	130 
032336 	165 	66 	130 	130 
032337 	165 	66 	130 	130 
032338 	165 	66 	130 	130 
032339 	165 	80 	130 	130 
032340 	165 	80 	130 	130 
032341 	165 	66 	130 	130 
032342 	165 	80 	130 	130 
032343 	165 	66 	130 	130 
032344 	165 	80 	130 	130 
032345 	165 	80 	130 	130 
032346 	173 	90 	109 	109 
032347 	165 	80 	130 	130 
032348 	173 	90 	109 	109 
032349 	173 	90 	109 	109 
032350 	173 	90 	109 	109 
032351 	173 	90 	109 	109 
032352 	173 	90 	109 	109 
032353 	173 	90 	109 	109 
032354 	173 	78 	109 	109 
032355 	173 	78 	109 	109 
032356 	151 	66 	130 	130 
032357 	151 	66 	130 	130 
032358 	173 	78 	109 	109 
032359 	173 	78 	109 	109 
032360 	173 	78 	109 	109 
032361 	173 	78 	109 	109 
032362 	173 	90 	109 	109 
032363 	173 	90 	109 	109 
032364 	173 	90 	109 	109 
032365 	173 	90 	109 	109 
032366 	173 	90 	109 	109 
032367 	173 	90 	109 	109 
032368 	173 	90 	109 	109 
032369 	151 	80 	130 	130 
032370 	161 	90 	109 	109 
032371 	137 	94 	130 	130 
