Identity  : 	id10148
Reference : 	kfP0CafZlT8
Offset    : 	4
FV Conf   : 	20.456
ASD Conf  : 	7.205

FRAME 	X 	Y 	W 	H 
016982 	135 	95 	187 	186 
016983 	135 	95 	187 	186 
016984 	135 	95 	187 	186 
016985 	135 	95 	187 	186 
016986 	135 	95 	187 	186 
016987 	135 	95 	187 	186 
016988 	135 	95 	187 	186 
016989 	135 	95 	187 	186 
016990 	135 	95 	187 	186 
016991 	135 	95 	187 	186 
016992 	135 	95 	187 	186 
016993 	135 	95 	187 	186 
016994 	135 	95 	187 	186 
016995 	135 	95 	187 	186 
016996 	135 	95 	187 	186 
016997 	135 	95 	187 	186 
016998 	135 	95 	187 	186 
016999 	135 	95 	187 	186 
017000 	135 	95 	187 	186 
017001 	135 	95 	187 	186 
017002 	135 	95 	187 	186 
017003 	135 	95 	187 	186 
017004 	135 	95 	187 	186 
017005 	135 	95 	187 	186 
017006 	135 	95 	187 	186 
017007 	135 	95 	187 	186 
017008 	135 	95 	187 	186 
017009 	135 	95 	187 	186 
017010 	135 	95 	187 	186 
017011 	135 	95 	187 	186 
017012 	135 	95 	187 	186 
017013 	135 	95 	187 	186 
017014 	135 	95 	187 	186 
017015 	135 	95 	187 	186 
017016 	135 	95 	187 	186 
017017 	135 	95 	187 	186 
017018 	135 	95 	187 	186 
017019 	135 	95 	187 	186 
017020 	135 	95 	187 	186 
017021 	135 	95 	187 	186 
017022 	135 	95 	187 	186 
017023 	135 	95 	187 	186 
017024 	135 	95 	187 	186 
017025 	135 	95 	187 	186 
017026 	135 	95 	187 	186 
017027 	135 	95 	187 	186 
017028 	135 	95 	187 	186 
017029 	135 	95 	187 	186 
017030 	135 	95 	187 	186 
017031 	135 	95 	187 	186 
017032 	135 	95 	187 	186 
017033 	135 	95 	187 	186 
017034 	135 	95 	187 	186 
017035 	135 	95 	187 	186 
017036 	135 	95 	187 	186 
017037 	135 	95 	187 	186 
017038 	135 	95 	187 	186 
017039 	135 	95 	187 	186 
017040 	135 	95 	187 	186 
017041 	135 	95 	187 	186 
017042 	135 	95 	187 	186 
017043 	135 	95 	187 	186 
017044 	135 	95 	187 	186 
017045 	135 	95 	187 	186 
017046 	135 	95 	187 	186 
017047 	135 	95 	187 	186 
017048 	135 	95 	187 	186 
017049 	135 	95 	187 	186 
017050 	135 	95 	187 	186 
017051 	135 	95 	187 	186 
017052 	135 	95 	187 	186 
017053 	135 	95 	187 	186 
017054 	135 	95 	187 	186 
017055 	135 	95 	187 	186 
017056 	135 	95 	187 	186 
017057 	135 	95 	187 	186 
017058 	135 	95 	187 	186 
017059 	135 	95 	187 	186 
017060 	135 	95 	187 	186 
017061 	135 	95 	187 	186 
017062 	135 	95 	187 	186 
017063 	135 	95 	187 	186 
017064 	135 	95 	187 	186 
017065 	135 	95 	187 	186 
017066 	135 	95 	187 	186 
017067 	135 	95 	187 	186 
017068 	135 	95 	187 	186 
017069 	135 	95 	187 	186 
017070 	135 	95 	187 	186 
017071 	135 	95 	187 	186 
017072 	135 	95 	187 	186 
017073 	135 	95 	187 	186 
017074 	135 	95 	187 	186 
017075 	135 	95 	187 	186 
017076 	135 	95 	187 	186 
017077 	135 	95 	187 	186 
017078 	135 	95 	187 	186 
017079 	135 	74 	187 	187 
017080 	115 	95 	187 	186 
017081 	115 	95 	187 	186 
017082 	115 	95 	187 	186 
017083 	135 	95 	187 	186 
017084 	135 	95 	187 	186 
017085 	115 	95 	187 	186 
017086 	135 	74 	187 	187 
017087 	135 	95 	187 	186 
017088 	135 	95 	187 	186 
017089 	135 	95 	187 	186 
017090 	135 	95 	187 	186 
017091 	135 	95 	187 	186 
017092 	135 	95 	187 	186 
017093 	135 	95 	187 	186 
017094 	135 	95 	187 	186 
017095 	135 	95 	187 	186 
017096 	135 	95 	187 	186 
017097 	135 	95 	187 	186 
017098 	135 	95 	187 	186 
017099 	135 	95 	187 	186 
017100 	135 	95 	187 	186 
017101 	135 	95 	187 	186 
017102 	135 	95 	187 	186 
017103 	135 	95 	187 	186 
017104 	135 	95 	187 	186 
017105 	135 	95 	187 	186 
017106 	135 	95 	187 	186 
017107 	135 	95 	187 	186 
017108 	135 	95 	187 	186 
017109 	135 	95 	187 	186 
017110 	135 	95 	187 	186 
017111 	135 	95 	187 	186 
017112 	135 	95 	187 	186 
017113 	135 	95 	187 	186 
017114 	135 	95 	187 	186 
017115 	135 	95 	187 	186 
017116 	135 	95 	187 	186 
017117 	135 	95 	187 	186 
017118 	135 	95 	187 	186 
017119 	135 	95 	187 	186 
017120 	135 	95 	187 	186 
017121 	135 	95 	187 	186 
017122 	135 	95 	187 	186 
017123 	135 	95 	187 	186 
017124 	135 	95 	187 	186 
017125 	135 	95 	187 	186 
017126 	135 	95 	187 	186 
017127 	135 	95 	187 	186 
017128 	135 	95 	187 	186 
017129 	135 	95 	187 	186 
017130 	135 	95 	187 	186 
017131 	135 	95 	187 	186 
017132 	135 	95 	187 	186 
017133 	135 	95 	187 	186 
017134 	135 	95 	187 	186 
017135 	135 	95 	187 	186 
017136 	135 	95 	187 	186 
