Identity  : 	id10151
Reference : 	ZvvN51PkKGk
Offset    : 	-2
FV Conf   : 	15.851
ASD Conf  : 	6.283

FRAME 	X 	Y 	W 	H 
006677 	376 	90 	109 	109 
006678 	376 	90 	109 	109 
006679 	376 	90 	109 	109 
006680 	376 	90 	109 	109 
006681 	376 	90 	109 	109 
006682 	376 	90 	109 	109 
006683 	376 	90 	109 	109 
006684 	376 	90 	109 	109 
006685 	365 	78 	108 	109 
006686 	365 	78 	108 	109 
006687 	365 	78 	108 	109 
006688 	365 	78 	108 	109 
006689 	365 	78 	108 	109 
006690 	365 	78 	108 	109 
006691 	376 	90 	109 	109 
006692 	376 	90 	109 	109 
006693 	376 	90 	109 	109 
006694 	376 	90 	109 	109 
006695 	376 	90 	109 	109 
006696 	376 	90 	109 	109 
006697 	376 	90 	109 	109 
006698 	376 	90 	109 	109 
006699 	376 	90 	109 	109 
006700 	376 	90 	109 	109 
006701 	376 	90 	109 	109 
006702 	376 	90 	109 	109 
006703 	376 	90 	109 	109 
006704 	376 	90 	109 	109 
006705 	376 	90 	109 	109 
006706 	376 	90 	109 	109 
006707 	376 	90 	109 	109 
006708 	376 	90 	109 	109 
006709 	376 	90 	109 	109 
006710 	376 	90 	109 	109 
006711 	376 	90 	109 	109 
006712 	376 	90 	109 	109 
006713 	376 	90 	109 	109 
006714 	376 	90 	109 	109 
006715 	376 	90 	109 	109 
006716 	376 	90 	109 	109 
006717 	376 	90 	109 	109 
006718 	376 	90 	109 	109 
006719 	376 	90 	109 	109 
006720 	376 	90 	109 	109 
006721 	365 	90 	108 	109 
006722 	365 	78 	108 	109 
006723 	365 	78 	108 	109 
006724 	365 	78 	108 	109 
006725 	376 	90 	109 	109 
006726 	376 	90 	109 	109 
006727 	376 	90 	109 	109 
006728 	376 	90 	109 	109 
006729 	376 	78 	109 	109 
006730 	376 	78 	109 	109 
006731 	376 	78 	109 	109 
006732 	376 	78 	109 	109 
006733 	376 	78 	109 	109 
006734 	388 	78 	109 	109 
006735 	388 	78 	109 	109 
006736 	388 	78 	109 	109 
006737 	388 	78 	109 	109 
006738 	393 	75 	91 	91 
006739 	388 	66 	109 	109 
006740 	388 	66 	109 	109 
006741 	388 	66 	109 	109 
006742 	388 	66 	109 	109 
006743 	388 	66 	109 	109 
006744 	388 	66 	109 	109 
006745 	388 	66 	109 	109 
006746 	388 	66 	109 	109 
006747 	388 	66 	109 	109 
006748 	388 	66 	109 	109 
006749 	388 	66 	109 	109 
006750 	393 	75 	91 	91 
006751 	376 	66 	109 	109 
006752 	376 	66 	109 	109 
006753 	376 	66 	109 	109 
006754 	376 	66 	109 	109 
006755 	365 	66 	108 	109 
006756 	365 	66 	108 	109 
006757 	365 	66 	108 	109 
006758 	365 	66 	108 	109 
006759 	352 	66 	130 	130 
006760 	353 	66 	108 	109 
006761 	353 	78 	108 	109 
006762 	353 	78 	108 	109 
006763 	353 	78 	108 	109 
006764 	353 	78 	108 	109 
006765 	353 	78 	108 	109 
006766 	341 	78 	108 	109 
006767 	341 	78 	108 	109 
006768 	341 	78 	108 	109 
006769 	341 	78 	108 	109 
006770 	341 	78 	108 	109 
006771 	341 	78 	108 	109 
006772 	341 	78 	108 	109 
006773 	341 	78 	108 	109 
006774 	341 	78 	108 	109 
006775 	341 	78 	108 	109 
006776 	341 	78 	108 	109 
006777 	341 	78 	108 	109 
