Identity  : 	id10159
Reference : 	r2PkkF48gyk
Offset    : 	-1
FV Conf   : 	11.872
ASD Conf  : 	7.252

FRAME 	X 	Y 	W 	H 
001876 	234 	85 	90 	91 
001877 	234 	85 	90 	91 
001878 	234 	85 	90 	91 
001879 	234 	85 	90 	91 
001880 	234 	95 	90 	91 
001881 	234 	95 	90 	91 
001882 	234 	95 	90 	91 
001883 	234 	95 	90 	91 
001884 	234 	95 	90 	91 
001885 	234 	95 	90 	91 
001886 	234 	95 	90 	91 
001887 	234 	95 	90 	91 
001888 	234 	95 	90 	91 
001889 	234 	95 	90 	91 
001890 	234 	95 	90 	91 
001891 	244 	95 	90 	91 
001892 	244 	95 	90 	91 
001893 	244 	95 	90 	91 
001894 	244 	95 	90 	91 
001895 	254 	95 	90 	91 
001896 	254 	95 	90 	91 
001897 	254 	95 	90 	91 
001898 	244 	85 	90 	91 
001899 	244 	85 	90 	91 
001900 	244 	95 	90 	91 
001901 	234 	95 	90 	91 
001902 	234 	95 	90 	91 
001903 	234 	95 	90 	91 
001904 	224 	95 	91 	91 
001905 	224 	95 	91 	91 
001906 	224 	95 	91 	91 
001907 	224 	95 	91 	91 
001908 	224 	95 	91 	91 
001909 	224 	95 	91 	91 
001910 	224 	95 	91 	91 
001911 	224 	95 	91 	91 
001912 	224 	95 	91 	91 
001913 	224 	95 	91 	91 
001914 	224 	95 	91 	91 
001915 	224 	95 	91 	91 
001916 	224 	95 	91 	91 
001917 	234 	95 	90 	91 
001918 	234 	85 	90 	91 
001919 	234 	85 	90 	91 
001920 	244 	85 	90 	91 
001921 	244 	85 	90 	91 
001922 	254 	95 	90 	91 
001923 	254 	95 	90 	91 
001924 	254 	95 	90 	91 
001925 	254 	95 	90 	91 
001926 	244 	85 	90 	91 
001927 	244 	85 	90 	91 
001928 	244 	85 	90 	91 
001929 	244 	85 	90 	91 
001930 	254 	95 	90 	91 
001931 	254 	95 	90 	91 
001932 	264 	95 	90 	91 
001933 	274 	85 	90 	91 
001934 	284 	85 	90 	91 
001935 	294 	75 	90 	91 
001936 	304 	75 	90 	91 
001937 	304 	75 	90 	91 
001938 	314 	75 	90 	91 
001939 	314 	75 	90 	91 
001940 	314 	85 	90 	91 
001941 	314 	85 	90 	91 
001942 	323 	85 	91 	91 
001943 	323 	85 	91 	91 
001944 	323 	85 	91 	91 
001945 	323 	75 	91 	91 
001946 	323 	85 	91 	91 
001947 	323 	85 	91 	91 
001948 	323 	85 	91 	91 
001949 	323 	85 	91 	91 
001950 	323 	85 	91 	91 
001951 	323 	85 	91 	91 
001952 	314 	85 	90 	91 
001953 	314 	85 	90 	91 
001954 	314 	85 	90 	91 
001955 	314 	85 	90 	91 
001956 	314 	85 	90 	91 
001957 	314 	85 	90 	91 
001958 	314 	85 	90 	91 
001959 	314 	85 	90 	91 
001960 	314 	85 	90 	91 
001961 	314 	85 	90 	91 
001962 	304 	85 	90 	91 
001963 	304 	85 	90 	91 
001964 	304 	85 	90 	91 
001965 	294 	85 	90 	91 
001966 	294 	85 	90 	91 
001967 	284 	85 	90 	91 
001968 	284 	85 	90 	91 
001969 	274 	85 	90 	91 
001970 	274 	85 	90 	91 
001971 	264 	85 	90 	91 
001972 	264 	75 	90 	91 
001973 	254 	75 	90 	91 
001974 	254 	75 	90 	91 
001975 	254 	75 	90 	91 
001976 	254 	75 	90 	91 
001977 	254 	75 	90 	91 
001978 	254 	75 	90 	91 
001979 	254 	75 	90 	91 
001980 	254 	75 	90 	91 
001981 	254 	75 	90 	91 
001982 	254 	75 	90 	91 
001983 	254 	75 	90 	91 
001984 	254 	75 	90 	91 
001985 	254 	75 	90 	91 
001986 	254 	75 	90 	91 
001987 	254 	75 	90 	91 
001988 	254 	75 	90 	91 
001989 	254 	75 	90 	91 
001990 	254 	75 	90 	91 
001991 	264 	85 	90 	91 
001992 	264 	85 	90 	91 
001993 	264 	85 	90 	91 
001994 	264 	85 	90 	91 
001995 	264 	85 	90 	91 
001996 	264 	85 	90 	91 
001997 	274 	85 	90 	91 
001998 	274 	85 	90 	91 
001999 	274 	85 	90 	91 
002000 	274 	85 	90 	91 
002001 	284 	85 	90 	91 
002002 	294 	75 	90 	91 
002003 	294 	75 	90 	91 
002004 	304 	75 	90 	91 
002005 	304 	75 	90 	91 
002006 	314 	85 	90 	91 
002007 	314 	85 	90 	91 
002008 	314 	85 	90 	91 
002009 	314 	85 	90 	91 
002010 	314 	85 	90 	91 
002011 	314 	85 	90 	91 
002012 	314 	85 	90 	91 
002013 	314 	85 	90 	91 
002014 	314 	85 	90 	91 
002015 	314 	85 	90 	91 
002016 	314 	85 	90 	91 
002017 	314 	95 	90 	91 
002018 	314 	95 	90 	91 
002019 	314 	95 	90 	91 
002020 	314 	95 	90 	91 
