Identity  : 	id10165
Reference : 	4jTZdGSxcvg
Offset    : 	1
FV Conf   : 	13.330
ASD Conf  : 	6.569

FRAME 	X 	Y 	W 	H 
007968 	151 	94 	130 	130 
007969 	151 	94 	130 	130 
007970 	151 	94 	130 	130 
007971 	151 	94 	130 	130 
007972 	151 	94 	130 	130 
007973 	151 	94 	130 	130 
007974 	151 	94 	130 	130 
007975 	151 	94 	130 	130 
007976 	151 	94 	130 	130 
007977 	151 	94 	130 	130 
007978 	151 	94 	130 	130 
007979 	151 	94 	130 	130 
007980 	151 	80 	130 	130 
007981 	151 	80 	130 	130 
007982 	151 	80 	130 	130 
007983 	137 	80 	130 	130 
007984 	137 	80 	130 	130 
007985 	137 	80 	130 	130 
007986 	137 	94 	130 	130 
007987 	137 	94 	130 	130 
007988 	137 	94 	130 	130 
007989 	137 	94 	130 	130 
007990 	137 	94 	130 	130 
007991 	137 	94 	130 	130 
007992 	137 	94 	130 	130 
007993 	137 	94 	130 	130 
007994 	151 	94 	130 	130 
007995 	151 	94 	130 	130 
007996 	151 	94 	130 	130 
007997 	151 	94 	130 	130 
007998 	151 	94 	130 	130 
007999 	151 	94 	130 	130 
008000 	151 	94 	130 	130 
008001 	151 	94 	130 	130 
008002 	151 	94 	130 	130 
008003 	151 	94 	130 	130 
008004 	151 	94 	130 	130 
008005 	151 	94 	130 	130 
008006 	151 	94 	130 	130 
008007 	151 	94 	130 	130 
008008 	151 	94 	130 	130 
008009 	151 	94 	130 	130 
008010 	151 	94 	130 	130 
008011 	151 	94 	130 	130 
008012 	151 	94 	130 	130 
008013 	151 	94 	130 	130 
008014 	151 	94 	130 	130 
008015 	151 	94 	130 	130 
008016 	151 	94 	130 	130 
008017 	151 	94 	130 	130 
008018 	151 	94 	130 	130 
008019 	137 	80 	130 	130 
008020 	137 	80 	130 	130 
008021 	137 	80 	130 	130 
008022 	137 	80 	130 	130 
008023 	137 	80 	130 	130 
008024 	137 	80 	130 	130 
008025 	137 	80 	130 	130 
008026 	137 	80 	130 	130 
008027 	137 	80 	130 	130 
008028 	137 	80 	130 	130 
008029 	137 	80 	130 	130 
008030 	137 	80 	130 	130 
008031 	137 	80 	130 	130 
008032 	137 	80 	130 	130 
008033 	137 	80 	130 	130 
008034 	137 	80 	130 	130 
008035 	137 	80 	130 	130 
008036 	137 	80 	130 	130 
008037 	137 	80 	130 	130 
008038 	137 	80 	130 	130 
008039 	137 	80 	130 	130 
008040 	137 	94 	130 	130 
008041 	137 	80 	130 	130 
008042 	137 	80 	130 	130 
008043 	137 	80 	130 	130 
008044 	137 	80 	130 	130 
008045 	137 	80 	130 	130 
008046 	137 	80 	130 	130 
008047 	137 	80 	130 	130 
008048 	137 	80 	130 	130 
008049 	137 	80 	130 	130 
008050 	137 	80 	130 	130 
008051 	137 	80 	130 	130 
008052 	151 	94 	130 	130 
008053 	151 	94 	130 	130 
008054 	151 	94 	130 	130 
008055 	151 	94 	130 	130 
008056 	151 	94 	130 	130 
008057 	151 	94 	130 	130 
008058 	151 	94 	130 	130 
008059 	151 	94 	130 	130 
008060 	151 	94 	130 	130 
008061 	151 	94 	130 	130 
008062 	151 	94 	130 	130 
008063 	151 	94 	130 	130 
008064 	151 	94 	130 	130 
008065 	151 	94 	130 	130 
008066 	151 	94 	130 	130 
008067 	173 	114 	109 	109 
008068 	173 	114 	109 	109 
008069 	173 	114 	109 	109 
008070 	165 	109 	130 	130 
008071 	165 	109 	130 	130 
008072 	165 	109 	130 	130 
008073 	165 	109 	130 	130 
008074 	165 	94 	130 	130 
008075 	165 	94 	130 	130 
008076 	180 	94 	130 	130 
008077 	185 	90 	109 	109 
008078 	180 	94 	130 	130 
008079 	180 	94 	130 	130 
008080 	180 	94 	130 	130 
008081 	180 	94 	130 	130 
008082 	180 	94 	130 	130 
008083 	180 	94 	130 	130 
008084 	180 	94 	130 	130 
008085 	180 	94 	130 	130 
008086 	180 	94 	130 	130 
008087 	180 	94 	130 	130 
008088 	180 	94 	130 	130 
008089 	185 	90 	109 	109 
008090 	185 	90 	109 	109 
008091 	165 	80 	130 	130 
008092 	173 	90 	109 	109 
008093 	173 	90 	109 	109 
008094 	151 	80 	130 	130 
008095 	151 	80 	130 	130 
008096 	151 	80 	130 	130 
008097 	137 	80 	130 	130 
008098 	137 	80 	130 	130 
008099 	137 	80 	130 	130 
008100 	137 	80 	130 	130 
008101 	137 	80 	130 	130 
008102 	137 	80 	130 	130 
008103 	137 	80 	130 	130 
008104 	137 	80 	130 	130 
008105 	151 	94 	130 	130 
008106 	151 	94 	130 	130 
008107 	151 	94 	130 	130 
008108 	151 	94 	130 	130 
008109 	137 	80 	130 	130 
008110 	137 	80 	130 	130 
008111 	137 	80 	130 	130 
008112 	137 	80 	130 	130 
008113 	137 	80 	130 	130 
008114 	137 	80 	130 	130 
008115 	137 	80 	130 	130 
008116 	137 	80 	130 	130 
