Identity  : 	id10176
Reference : 	14G-SxV__48
Offset    : 	-2
FV Conf   : 	15.129
ASD Conf  : 	7.486

FRAME 	X 	Y 	W 	H 
003225 	304 	55 	90 	91 
003226 	304 	55 	90 	91 
003227 	304 	55 	90 	91 
003228 	304 	55 	90 	91 
003229 	304 	55 	90 	91 
003230 	294 	55 	90 	91 
003231 	294 	55 	90 	91 
003232 	294 	55 	90 	91 
003233 	294 	55 	90 	91 
003234 	294 	55 	90 	91 
003235 	304 	55 	90 	91 
003236 	304 	55 	90 	91 
003237 	304 	55 	90 	91 
003238 	304 	55 	90 	91 
003239 	304 	55 	90 	91 
003240 	304 	55 	90 	91 
003241 	304 	55 	90 	91 
003242 	304 	55 	90 	91 
003243 	304 	55 	90 	91 
003244 	304 	55 	90 	91 
003245 	304 	55 	90 	91 
003246 	304 	55 	90 	91 
003247 	304 	55 	90 	91 
003248 	304 	55 	90 	91 
003249 	304 	55 	90 	91 
003250 	304 	55 	90 	91 
003251 	304 	55 	90 	91 
003252 	304 	55 	90 	91 
003253 	304 	55 	90 	91 
003254 	304 	55 	90 	91 
003255 	304 	55 	90 	91 
003256 	304 	55 	90 	91 
003257 	304 	55 	90 	91 
003258 	304 	55 	90 	91 
003259 	304 	55 	90 	91 
003260 	304 	55 	90 	91 
003261 	304 	55 	90 	91 
003262 	304 	55 	90 	91 
003263 	304 	65 	90 	91 
003264 	304 	65 	90 	91 
003265 	304 	65 	90 	91 
003266 	304 	65 	90 	91 
003267 	304 	65 	90 	91 
003268 	304 	65 	90 	91 
003269 	304 	65 	90 	91 
003270 	304 	65 	90 	91 
003271 	304 	65 	90 	91 
003272 	304 	65 	90 	91 
003273 	304 	65 	90 	91 
003274 	294 	65 	90 	91 
003275 	294 	65 	90 	91 
003276 	294 	65 	90 	91 
003277 	294 	65 	90 	91 
003278 	294 	65 	90 	91 
003279 	294 	55 	90 	91 
003280 	294 	65 	90 	91 
003281 	294 	65 	90 	91 
003282 	304 	65 	90 	91 
003283 	304 	65 	90 	91 
003284 	304 	65 	90 	91 
003285 	304 	65 	90 	91 
003286 	304 	65 	90 	91 
003287 	304 	65 	90 	91 
003288 	304 	65 	90 	91 
003289 	304 	65 	90 	91 
003290 	304 	65 	90 	91 
003291 	294 	65 	90 	91 
003292 	294 	65 	90 	91 
003293 	294 	65 	90 	91 
003294 	294 	71 	76 	75 
003295 	286 	71 	76 	75 
003296 	274 	65 	90 	91 
003297 	274 	65 	90 	91 
003298 	264 	65 	90 	91 
003299 	264 	65 	90 	91 
003300 	264 	65 	90 	91 
003301 	254 	65 	90 	91 
003302 	254 	65 	90 	91 
003303 	254 	65 	90 	91 
003304 	254 	65 	90 	91 
003305 	254 	65 	90 	91 
003306 	254 	65 	90 	91 
003307 	254 	65 	90 	91 
003308 	254 	65 	90 	91 
003309 	254 	65 	90 	91 
003310 	254 	65 	90 	91 
003311 	254 	65 	90 	91 
003312 	254 	65 	90 	91 
003313 	254 	65 	90 	91 
003314 	254 	65 	90 	91 
003315 	254 	65 	90 	91 
003316 	254 	65 	90 	91 
003317 	254 	65 	90 	91 
003318 	254 	65 	90 	91 
003319 	254 	65 	90 	91 
003320 	254 	65 	90 	91 
003321 	254 	65 	90 	91 
003322 	264 	65 	90 	91 
003323 	264 	65 	90 	91 
003324 	264 	65 	90 	91 
003325 	264 	65 	90 	91 
003326 	264 	65 	90 	91 
003327 	264 	65 	90 	91 
003328 	264 	75 	90 	91 
003329 	264 	75 	90 	91 
003330 	264 	75 	90 	91 
003331 	264 	75 	90 	91 
003332 	264 	75 	90 	91 
003333 	264 	75 	90 	91 
003334 	269 	79 	76 	76 
003335 	254 	65 	90 	91 
003336 	254 	65 	90 	91 
003337 	254 	65 	90 	91 
003338 	254 	65 	90 	91 
003339 	254 	65 	90 	91 
003340 	254 	65 	90 	91 
003341 	254 	65 	90 	91 
003342 	264 	65 	90 	91 
003343 	264 	65 	90 	91 
003344 	264 	65 	90 	91 
003345 	264 	65 	90 	91 
003346 	264 	65 	90 	91 
003347 	264 	65 	90 	91 
003348 	264 	55 	90 	91 
003349 	264 	55 	90 	91 
003350 	254 	55 	90 	91 
003351 	254 	55 	90 	91 
003352 	254 	65 	90 	91 
003353 	254 	55 	90 	91 
003354 	254 	55 	90 	91 
003355 	264 	55 	90 	91 
003356 	264 	55 	90 	91 
003357 	278 	71 	75 	75 
003358 	274 	65 	90 	91 
003359 	286 	71 	76 	75 
003360 	294 	71 	76 	75 
003361 	294 	65 	90 	91 
003362 	294 	65 	90 	91 
003363 	294 	65 	90 	91 
003364 	304 	65 	90 	91 
003365 	304 	65 	90 	91 
003366 	304 	65 	90 	91 
003367 	304 	65 	90 	91 
003368 	304 	65 	90 	91 
003369 	304 	65 	90 	91 
003370 	304 	65 	90 	91 
003371 	304 	65 	90 	91 
003372 	304 	65 	90 	91 
003373 	304 	65 	90 	91 
003374 	304 	65 	90 	91 
003375 	304 	65 	90 	91 
