Identity  : 	id10182
Reference : 	3AyhRPq1xwQ
Offset    : 	1
FV Conf   : 	13.248
ASD Conf  : 	7.330

FRAME 	X 	Y 	W 	H 
009047 	221 	102 	109 	109 
009048 	221 	102 	109 	109 
009049 	221 	102 	109 	109 
009050 	221 	102 	109 	109 
009051 	221 	102 	109 	109 
009052 	221 	102 	109 	109 
009053 	234 	105 	90 	91 
009054 	233 	102 	109 	109 
009055 	233 	102 	109 	109 
009056 	244 	105 	90 	91 
009057 	244 	105 	90 	91 
009058 	245 	102 	109 	109 
009059 	254 	105 	90 	91 
009060 	264 	105 	90 	91 
009061 	264 	105 	90 	91 
009062 	264 	105 	90 	91 
009063 	264 	105 	90 	91 
009064 	264 	105 	90 	91 
009065 	257 	90 	109 	109 
009066 	257 	90 	109 	109 
009067 	257 	90 	109 	109 
009068 	274 	105 	90 	91 
009069 	274 	95 	90 	91 
009070 	274 	95 	90 	91 
009071 	274 	95 	90 	91 
009072 	269 	90 	108 	109 
009073 	269 	78 	108 	109 
009074 	274 	95 	90 	91 
009075 	274 	95 	90 	91 
009076 	274 	95 	90 	91 
009077 	274 	95 	90 	91 
009078 	257 	78 	109 	109 
009079 	257 	90 	109 	109 
009080 	264 	95 	90 	91 
009081 	264 	95 	90 	91 
009082 	264 	95 	90 	91 
009083 	264 	95 	90 	91 
009084 	264 	95 	90 	91 
009085 	264 	95 	90 	91 
009086 	264 	95 	90 	91 
009087 	257 	90 	109 	109 
009088 	257 	90 	109 	109 
009089 	257 	90 	109 	109 
009090 	257 	90 	109 	109 
009091 	257 	90 	109 	109 
009092 	257 	90 	109 	109 
009093 	257 	90 	109 	109 
009094 	274 	95 	90 	91 
009095 	274 	95 	90 	91 
009096 	274 	95 	90 	91 
009097 	274 	95 	90 	91 
009098 	274 	95 	90 	91 
009099 	274 	95 	90 	91 
009100 	274 	95 	90 	91 
009101 	269 	90 	108 	109 
009102 	269 	90 	108 	109 
009103 	269 	78 	108 	109 
009104 	284 	95 	90 	91 
009105 	284 	95 	90 	91 
009106 	284 	95 	90 	91 
009107 	269 	78 	108 	109 
009108 	269 	78 	108 	109 
009109 	269 	78 	108 	109 
009110 	269 	78 	108 	109 
009111 	269 	78 	108 	109 
009112 	269 	78 	108 	109 
009113 	269 	78 	108 	109 
009114 	274 	85 	90 	91 
009115 	274 	85 	90 	91 
009116 	274 	85 	90 	91 
009117 	274 	85 	90 	91 
009118 	274 	95 	90 	91 
009119 	274 	95 	90 	91 
009120 	257 	90 	109 	109 
009121 	257 	90 	109 	109 
009122 	257 	90 	109 	109 
009123 	257 	90 	109 	109 
009124 	257 	90 	109 	109 
009125 	257 	90 	109 	109 
009126 	257 	90 	109 	109 
009127 	264 	95 	90 	91 
009128 	264 	95 	90 	91 
009129 	264 	95 	90 	91 
009130 	264 	95 	90 	91 
009131 	257 	90 	109 	109 
009132 	264 	95 	90 	91 
009133 	257 	90 	109 	109 
009134 	257 	90 	109 	109 
009135 	257 	90 	109 	109 
009136 	257 	90 	109 	109 
009137 	257 	90 	109 	109 
009138 	257 	90 	109 	109 
009139 	257 	90 	109 	109 
009140 	257 	90 	109 	109 
009141 	257 	90 	109 	109 
009142 	274 	95 	90 	91 
009143 	274 	95 	90 	91 
009144 	269 	90 	108 	109 
009145 	269 	90 	108 	109 
009146 	269 	90 	108 	109 
009147 	269 	90 	108 	109 
009148 	281 	78 	108 	109 
009149 	281 	78 	108 	109 
009150 	281 	66 	108 	109 
009151 	294 	85 	90 	91 
009152 	281 	78 	108 	109 
009153 	281 	78 	108 	109 
009154 	281 	78 	108 	109 
009155 	281 	66 	108 	109 
009156 	281 	66 	108 	109 
009157 	281 	66 	108 	109 
009158 	281 	66 	108 	109 
009159 	281 	66 	108 	109 
009160 	294 	85 	90 	91 
009161 	281 	66 	108 	109 
009162 	281 	66 	108 	109 
009163 	281 	66 	108 	109 
009164 	281 	66 	108 	109 
009165 	281 	78 	108 	109 
009166 	284 	85 	90 	91 
009167 	284 	85 	90 	91 
009168 	284 	85 	90 	91 
009169 	284 	85 	90 	91 
009170 	269 	78 	108 	109 
009171 	269 	78 	108 	109 
009172 	269 	78 	108 	109 
009173 	269 	90 	108 	109 
009174 	269 	90 	108 	109 
009175 	269 	90 	108 	109 
009176 	269 	78 	108 	109 
009177 	269 	78 	108 	109 
009178 	269 	78 	108 	109 
009179 	269 	78 	108 	109 
009180 	274 	85 	90 	91 
009181 	274 	85 	90 	91 
009182 	274 	85 	90 	91 
009183 	274 	95 	90 	91 
009184 	257 	78 	109 	109 
009185 	257 	78 	109 	109 
009186 	257 	78 	109 	109 
009187 	257 	78 	109 	109 
009188 	257 	78 	109 	109 
009189 	257 	78 	109 	109 
009190 	257 	78 	109 	109 
009191 	257 	78 	109 	109 
009192 	257 	78 	109 	109 
009193 	274 	85 	90 	91 
009194 	274 	85 	90 	91 
009195 	269 	78 	108 	109 
009196 	269 	78 	108 	109 
009197 	269 	78 	108 	109 
009198 	269 	78 	108 	109 
009199 	269 	78 	108 	109 
009200 	269 	78 	108 	109 
009201 	269 	78 	108 	109 
009202 	269 	78 	108 	109 
009203 	269 	78 	108 	109 
