Identity  : 	id10182
Reference : 	7iqVHhMfUxo
Offset    : 	0
FV Conf   : 	13.001
ASD Conf  : 	7.029

FRAME 	X 	Y 	W 	H 
002043 	281 	114 	108 	109 
002044 	281 	114 	108 	109 
002045 	281 	114 	108 	109 
002046 	281 	102 	108 	109 
002047 	280 	94 	130 	130 
002048 	280 	94 	130 	130 
002049 	293 	102 	108 	109 
002050 	293 	114 	108 	109 
002051 	280 	109 	130 	130 
002052 	280 	109 	130 	130 
002053 	293 	102 	108 	109 
002054 	280 	94 	130 	130 
002055 	293 	102 	108 	109 
002056 	280 	94 	130 	130 
002057 	280 	94 	130 	130 
002058 	280 	94 	130 	130 
002059 	280 	94 	130 	130 
002060 	280 	94 	130 	130 
002061 	280 	94 	130 	130 
002062 	280 	94 	130 	130 
002063 	281 	114 	108 	109 
002064 	281 	114 	108 	109 
002065 	281 	102 	108 	109 
002066 	266 	94 	130 	130 
002067 	269 	90 	108 	109 
002068 	257 	90 	109 	109 
002069 	245 	90 	109 	109 
002070 	245 	102 	109 	109 
002071 	223 	94 	130 	130 
002072 	223 	94 	130 	130 
002073 	223 	94 	130 	130 
002074 	223 	94 	130 	130 
002075 	223 	94 	130 	130 
002076 	245 	102 	109 	109 
002077 	245 	102 	109 	109 
002078 	237 	94 	130 	130 
002079 	237 	94 	130 	130 
002080 	257 	102 	109 	109 
002081 	257 	102 	109 	109 
002082 	257 	102 	109 	109 
002083 	257 	90 	109 	109 
002084 	257 	90 	109 	109 
002085 	257 	90 	109 	109 
002086 	257 	90 	109 	109 
002087 	251 	80 	130 	130 
002088 	251 	80 	130 	130 
002089 	251 	80 	130 	130 
002090 	251 	80 	130 	130 
002091 	251 	80 	130 	130 
002092 	257 	102 	109 	109 
002093 	254 	98 	120 	120 
002094 	251 	94 	130 	130 
002095 	251 	94 	130 	130 
002096 	251 	94 	130 	130 
002097 	251 	94 	130 	130 
002098 	251 	94 	130 	130 
002099 	251 	80 	130 	130 
002100 	251 	80 	130 	130 
002101 	269 	78 	108 	109 
002102 	269 	78 	108 	109 
002103 	266 	80 	130 	130 
002104 	266 	80 	130 	130 
002105 	266 	80 	130 	130 
002106 	266 	80 	130 	130 
002107 	266 	80 	130 	130 
002108 	281 	114 	108 	109 
002109 	281 	114 	108 	109 
002110 	266 	94 	130 	130 
002111 	266 	94 	130 	130 
002112 	266 	94 	130 	130 
002113 	266 	94 	130 	130 
002114 	281 	114 	108 	109 
002115 	280 	109 	130 	130 
002116 	280 	116 	130 	130 
002117 	280 	123 	130 	130 
002118 	293 	138 	108 	109 
002119 	293 	144 	108 	109 
002120 	293 	150 	108 	109 
002121 	293 	150 	108 	109 
002122 	293 	138 	108 	109 
002123 	293 	138 	108 	109 
002124 	286 	130 	119 	120 
002125 	280 	123 	130 	130 
002126 	293 	126 	108 	109 
002127 	293 	126 	108 	109 
002128 	280 	109 	130 	130 
002129 	280 	109 	130 	130 
002130 	280 	109 	130 	130 
002131 	293 	114 	108 	109 
002132 	293 	114 	108 	109 
002133 	293 	114 	108 	109 
002134 	293 	114 	108 	109 
002135 	280 	109 	130 	130 
002136 	280 	109 	130 	130 
002137 	293 	114 	108 	109 
002138 	280 	109 	130 	130 
002139 	280 	94 	130 	130 
002140 	280 	109 	130 	130 
002141 	280 	109 	130 	130 
002142 	281 	114 	108 	109 
002143 	281 	114 	108 	109 
002144 	281 	114 	108 	109 
002145 	266 	94 	130 	130 
002146 	266 	80 	130 	130 
002147 	266 	80 	130 	130 
002148 	266 	80 	130 	130 
002149 	266 	80 	130 	130 
002150 	266 	66 	130 	130 
002151 	266 	66 	130 	130 
002152 	266 	66 	130 	130 
002153 	266 	66 	130 	130 
002154 	266 	66 	130 	130 
002155 	266 	80 	130 	130 
002156 	266 	80 	130 	130 
002157 	266 	80 	130 	130 
002158 	266 	94 	130 	130 
002159 	266 	94 	130 	130 
002160 	266 	94 	130 	130 
002161 	266 	94 	130 	130 
002162 	266 	94 	130 	130 
002163 	266 	94 	130 	130 
002164 	281 	114 	108 	109 
002165 	266 	109 	130 	130 
002166 	266 	109 	130 	130 
002167 	266 	109 	130 	130 
