Identity  : 	id10182
Reference : 	Tj3-XSDsjzQ
Offset    : 	-2
FV Conf   : 	13.963
ASD Conf  : 	7.880

FRAME 	X 	Y 	W 	H 
006705 	266 	66 	130 	130 
006706 	266 	66 	130 	130 
006707 	266 	66 	130 	130 
006708 	266 	66 	130 	130 
006709 	280 	66 	130 	130 
006710 	280 	66 	130 	130 
006711 	280 	66 	130 	130 
006712 	280 	66 	130 	130 
006713 	294 	66 	130 	130 
006714 	294 	66 	130 	130 
006715 	294 	66 	130 	130 
006716 	294 	66 	130 	130 
006717 	294 	66 	130 	130 
006718 	294 	66 	130 	130 
006719 	294 	51 	130 	130 
006720 	294 	51 	130 	130 
006721 	294 	51 	130 	130 
006722 	294 	51 	130 	130 
006723 	294 	51 	130 	130 
006724 	317 	66 	108 	109 
006725 	309 	66 	130 	130 
006726 	309 	66 	130 	130 
006727 	309 	51 	130 	130 
006728 	309 	66 	130 	130 
006729 	309 	66 	130 	130 
006730 	317 	78 	108 	109 
006731 	317 	78 	108 	109 
006732 	294 	66 	130 	130 
006733 	294 	66 	130 	130 
006734 	294 	66 	130 	130 
006735 	294 	66 	130 	130 
006736 	294 	66 	130 	130 
006737 	294 	66 	130 	130 
006738 	294 	66 	130 	130 
006739 	294 	66 	130 	130 
006740 	294 	66 	130 	130 
006741 	294 	66 	130 	130 
006742 	294 	66 	130 	130 
006743 	294 	66 	130 	130 
006744 	294 	66 	130 	130 
006745 	294 	66 	130 	130 
006746 	305 	78 	108 	109 
006747 	280 	66 	130 	130 
006748 	280 	66 	130 	130 
006749 	280 	66 	130 	130 
006750 	280 	66 	130 	130 
006751 	280 	66 	130 	130 
006752 	280 	66 	130 	130 
006753 	294 	66 	130 	130 
006754 	294 	66 	130 	130 
006755 	294 	66 	130 	130 
006756 	294 	66 	130 	130 
006757 	294 	66 	130 	130 
006758 	294 	66 	130 	130 
006759 	294 	66 	130 	130 
006760 	294 	66 	130 	130 
006761 	294 	66 	130 	130 
006762 	294 	66 	130 	130 
006763 	294 	66 	130 	130 
006764 	280 	66 	130 	130 
006765 	280 	66 	130 	130 
006766 	280 	66 	130 	130 
006767 	280 	66 	130 	130 
006768 	280 	66 	130 	130 
006769 	280 	66 	130 	130 
006770 	280 	66 	130 	130 
006771 	280 	66 	130 	130 
006772 	280 	66 	130 	130 
006773 	305 	78 	108 	109 
006774 	305 	78 	108 	109 
006775 	305 	78 	108 	109 
006776 	305 	78 	108 	109 
006777 	305 	78 	108 	109 
006778 	305 	78 	108 	109 
006779 	294 	80 	130 	130 
006780 	294 	80 	130 	130 
006781 	305 	90 	108 	109 
006782 	305 	90 	108 	109 
006783 	305 	90 	108 	109 
006784 	305 	90 	108 	109 
006785 	305 	90 	108 	109 
006786 	305 	90 	108 	109 
006787 	305 	90 	108 	109 
006788 	305 	90 	108 	109 
006789 	305 	90 	108 	109 
006790 	305 	90 	108 	109 
006791 	305 	90 	108 	109 
006792 	305 	90 	108 	109 
006793 	305 	90 	108 	109 
006794 	305 	90 	108 	109 
006795 	305 	90 	108 	109 
006796 	305 	90 	108 	109 
006797 	305 	102 	108 	109 
006798 	305 	102 	108 	109 
006799 	305 	102 	108 	109 
006800 	305 	102 	108 	109 
006801 	305 	90 	108 	109 
006802 	305 	90 	108 	109 
006803 	305 	90 	108 	109 
006804 	305 	90 	108 	109 
006805 	305 	90 	108 	109 
006806 	280 	80 	130 	130 
006807 	280 	80 	130 	130 
006808 	280 	80 	130 	130 
006809 	280 	80 	130 	130 
006810 	280 	80 	130 	130 
006811 	280 	80 	130 	130 
006812 	280 	80 	130 	130 
006813 	280 	80 	130 	130 
006814 	280 	80 	130 	130 
006815 	280 	80 	130 	130 
006816 	280 	80 	130 	130 
006817 	280 	80 	130 	130 
006818 	305 	102 	108 	109 
006819 	305 	102 	108 	109 
006820 	294 	80 	130 	130 
006821 	305 	102 	108 	109 
006822 	294 	80 	130 	130 
006823 	305 	102 	108 	109 
