Identity  : 	id10182
Reference : 	Yp-fdQ7TgN0
Offset    : 	-2
FV Conf   : 	15.158
ASD Conf  : 	9.647

FRAME 	X 	Y 	W 	H 
005663 	197 	90 	109 	109 
005664 	197 	90 	109 	109 
005665 	194 	80 	130 	130 
005666 	194 	80 	130 	130 
005667 	194 	80 	130 	130 
005668 	194 	80 	130 	130 
005669 	194 	80 	130 	130 
005670 	209 	90 	109 	109 
005671 	209 	90 	109 	109 
005672 	209 	90 	109 	109 
005673 	209 	90 	109 	109 
005674 	194 	80 	130 	130 
005675 	194 	80 	130 	130 
005676 	194 	80 	130 	130 
005677 	194 	94 	130 	130 
005678 	197 	102 	109 	109 
005679 	197 	102 	109 	109 
005680 	180 	94 	130 	130 
005681 	180 	94 	130 	130 
005682 	180 	94 	130 	130 
005683 	180 	94 	130 	130 
005684 	180 	94 	130 	130 
005685 	180 	94 	130 	130 
005686 	180 	94 	130 	130 
005687 	180 	94 	130 	130 
005688 	180 	94 	130 	130 
005689 	185 	102 	109 	109 
005690 	185 	102 	109 	109 
005691 	185 	102 	109 	109 
005692 	185 	102 	109 	109 
005693 	185 	102 	109 	109 
005694 	165 	94 	130 	130 
005695 	165 	94 	130 	130 
005696 	173 	114 	109 	109 
005697 	151 	109 	130 	130 
005698 	151 	109 	130 	130 
005699 	151 	94 	130 	130 
005700 	151 	94 	130 	130 
005701 	151 	94 	130 	130 
005702 	151 	94 	130 	130 
005703 	151 	94 	130 	130 
005704 	151 	94 	130 	130 
005705 	151 	94 	130 	130 
005706 	151 	94 	130 	130 
005707 	151 	94 	130 	130 
005708 	151 	94 	130 	130 
005709 	151 	80 	130 	130 
005710 	151 	80 	130 	130 
005711 	151 	80 	130 	130 
005712 	151 	80 	130 	130 
005713 	151 	80 	130 	130 
005714 	151 	80 	130 	130 
005715 	151 	80 	130 	130 
005716 	151 	80 	130 	130 
005717 	151 	80 	130 	130 
005718 	151 	80 	130 	130 
005719 	151 	80 	130 	130 
005720 	165 	94 	130 	130 
005721 	173 	90 	109 	109 
005722 	180 	80 	130 	130 
005723 	197 	90 	109 	109 
005724 	194 	66 	130 	130 
005725 	194 	66 	130 	130 
005726 	208 	66 	130 	130 
005727 	208 	66 	130 	130 
005728 	208 	66 	130 	130 
005729 	208 	66 	130 	130 
005730 	208 	66 	130 	130 
005731 	223 	66 	130 	130 
005732 	223 	66 	130 	130 
005733 	223 	66 	130 	130 
005734 	208 	66 	130 	130 
005735 	208 	66 	130 	130 
