Identity  : 	id10182
Reference : 	bx0GEthRTgQ
Offset    : 	2
FV Conf   : 	11.798
ASD Conf  : 	6.796

FRAME 	X 	Y 	W 	H 
001393 	281 	78 	108 	109 
001394 	281 	78 	108 	109 
001395 	266 	66 	130 	130 
001396 	266 	66 	130 	130 
001397 	266 	66 	130 	130 
001398 	266 	66 	130 	130 
001399 	266 	66 	130 	130 
001400 	266 	66 	130 	130 
001401 	266 	66 	130 	130 
001402 	266 	66 	130 	130 
001403 	266 	66 	130 	130 
001404 	266 	66 	130 	130 
001405 	266 	66 	130 	130 
001406 	266 	66 	130 	130 
001407 	266 	66 	130 	130 
001408 	266 	66 	130 	130 
001409 	266 	66 	130 	130 
001410 	266 	66 	130 	130 
001411 	266 	66 	130 	130 
001412 	280 	66 	130 	130 
001413 	280 	66 	130 	130 
001414 	280 	66 	130 	130 
001415 	280 	66 	130 	130 
001416 	280 	66 	130 	130 
001417 	293 	66 	108 	109 
001418 	293 	66 	108 	109 
001419 	293 	66 	108 	109 
001420 	281 	66 	108 	109 
001421 	281 	66 	108 	109 
001422 	281 	66 	108 	109 
001423 	281 	66 	108 	109 
001424 	281 	66 	108 	109 
001425 	281 	66 	108 	109 
001426 	281 	66 	108 	109 
001427 	281 	66 	108 	109 
001428 	281 	66 	108 	109 
001429 	293 	66 	108 	109 
001430 	293 	66 	108 	109 
001431 	280 	66 	130 	130 
001432 	280 	66 	130 	130 
001433 	280 	66 	130 	130 
001434 	293 	66 	108 	109 
001435 	280 	66 	130 	130 
001436 	293 	66 	108 	109 
001437 	293 	78 	108 	109 
001438 	280 	66 	130 	130 
001439 	280 	66 	130 	130 
001440 	293 	78 	108 	109 
001441 	280 	66 	130 	130 
001442 	280 	66 	130 	130 
001443 	280 	66 	130 	130 
001444 	293 	66 	108 	109 
001445 	293 	66 	108 	109 
001446 	293 	78 	108 	109 
001447 	293 	78 	108 	109 
001448 	293 	66 	108 	109 
001449 	293 	66 	108 	109 
001450 	280 	66 	130 	130 
001451 	280 	66 	130 	130 
001452 	280 	66 	130 	130 
001453 	280 	66 	130 	130 
001454 	293 	66 	108 	109 
001455 	280 	66 	130 	130 
001456 	293 	66 	108 	109 
001457 	281 	66 	108 	109 
001458 	281 	66 	108 	109 
001459 	266 	66 	130 	130 
001460 	251 	66 	130 	130 
001461 	251 	66 	130 	130 
001462 	269 	78 	108 	109 
001463 	266 	80 	130 	130 
001464 	266 	80 	130 	130 
001465 	266 	80 	130 	130 
001466 	266 	80 	130 	130 
001467 	266 	80 	130 	130 
001468 	266 	80 	130 	130 
001469 	266 	80 	130 	130 
001470 	266 	80 	130 	130 
001471 	266 	80 	130 	130 
001472 	266 	80 	130 	130 
001473 	266 	80 	130 	130 
001474 	266 	80 	130 	130 
001475 	266 	80 	130 	130 
001476 	281 	78 	108 	109 
001477 	266 	66 	130 	130 
001478 	266 	66 	130 	130 
001479 	266 	66 	130 	130 
001480 	281 	78 	108 	109 
001481 	281 	78 	108 	109 
001482 	281 	78 	108 	109 
001483 	280 	66 	130 	130 
001484 	280 	66 	130 	130 
001485 	293 	78 	108 	109 
001486 	293 	78 	108 	109 
001487 	293 	78 	108 	109 
001488 	293 	78 	108 	109 
