Identity  : 	id10189
Reference : 	zwiZmYuAOYY
Offset    : 	-1
FV Conf   : 	15.864
ASD Conf  : 	7.563

FRAME 	X 	Y 	W 	H 
003016 	195 	71 	75 	75 
003017 	184 	65 	91 	91 
003018 	195 	71 	75 	75 
003019 	195 	71 	75 	75 
003020 	195 	71 	75 	75 
003021 	184 	65 	91 	91 
003022 	184 	65 	91 	91 
003023 	184 	65 	91 	91 
003024 	184 	65 	91 	91 
003025 	184 	65 	91 	91 
003026 	184 	65 	91 	91 
003027 	184 	65 	91 	91 
003028 	184 	75 	91 	91 
003029 	184 	75 	91 	91 
003030 	184 	75 	91 	91 
003031 	184 	75 	91 	91 
003032 	184 	75 	91 	91 
003033 	184 	65 	91 	91 
003034 	184 	65 	91 	91 
003035 	184 	65 	91 	91 
003036 	184 	65 	91 	91 
003037 	184 	65 	91 	91 
003038 	184 	75 	91 	91 
003039 	184 	75 	91 	91 
003040 	184 	75 	91 	91 
003041 	184 	75 	91 	91 
003042 	184 	75 	91 	91 
003043 	184 	75 	91 	91 
003044 	173 	66 	109 	109 
003045 	173 	66 	109 	109 
003046 	174 	75 	91 	91 
003047 	174 	75 	91 	91 
003048 	173 	66 	109 	109 
003049 	174 	75 	91 	91 
003050 	174 	75 	91 	91 
003051 	174 	75 	91 	91 
003052 	174 	75 	91 	91 
003053 	174 	75 	91 	91 
003054 	174 	75 	91 	91 
003055 	174 	75 	91 	91 
003056 	174 	75 	91 	91 
003057 	174 	75 	91 	91 
003058 	174 	75 	91 	91 
003059 	174 	75 	91 	91 
003060 	174 	75 	91 	91 
003061 	174 	85 	91 	91 
003062 	174 	85 	91 	91 
003063 	174 	85 	91 	91 
003064 	174 	85 	91 	91 
003065 	174 	85 	91 	91 
003066 	174 	85 	91 	91 
003067 	174 	75 	91 	91 
003068 	174 	85 	91 	91 
003069 	174 	85 	91 	91 
003070 	174 	85 	91 	91 
003071 	174 	85 	91 	91 
003072 	174 	75 	91 	91 
003073 	174 	75 	91 	91 
003074 	174 	75 	91 	91 
003075 	174 	75 	91 	91 
003076 	173 	66 	109 	109 
003077 	184 	75 	91 	91 
003078 	173 	66 	109 	109 
003079 	184 	75 	91 	91 
003080 	184 	75 	91 	91 
003081 	184 	75 	91 	91 
003082 	173 	66 	109 	109 
003083 	173 	66 	109 	109 
003084 	173 	66 	109 	109 
003085 	173 	66 	109 	109 
003086 	173 	66 	109 	109 
003087 	173 	66 	109 	109 
003088 	184 	75 	91 	91 
003089 	184 	75 	91 	91 
003090 	184 	75 	91 	91 
003091 	174 	75 	91 	91 
003092 	174 	75 	91 	91 
003093 	174 	75 	91 	91 
003094 	174 	75 	91 	91 
003095 	174 	75 	91 	91 
003096 	174 	75 	91 	91 
003097 	174 	75 	91 	91 
003098 	174 	85 	91 	91 
003099 	174 	75 	91 	91 
003100 	174 	85 	91 	91 
003101 	174 	85 	91 	91 
003102 	174 	75 	91 	91 
003103 	174 	85 	91 	91 
003104 	174 	85 	91 	91 
003105 	174 	85 	91 	91 
003106 	174 	85 	91 	91 
003107 	174 	85 	91 	91 
003108 	186 	96 	76 	75 
003109 	186 	96 	76 	75 
003110 	186 	96 	76 	75 
003111 	186 	96 	76 	75 
003112 	184 	85 	91 	91 
003113 	184 	85 	91 	91 
003114 	184 	85 	91 	91 
003115 	184 	85 	91 	91 
003116 	184 	85 	91 	91 
003117 	184 	85 	91 	91 
003118 	184 	85 	91 	91 
003119 	184 	85 	91 	91 
003120 	184 	85 	91 	91 
003121 	184 	85 	91 	91 
003122 	184 	75 	91 	91 
003123 	184 	75 	91 	91 
003124 	173 	66 	109 	109 
003125 	184 	75 	91 	91 
003126 	173 	66 	109 	109 
003127 	186 	79 	76 	76 
003128 	186 	79 	76 	76 
003129 	186 	79 	76 	76 
003130 	186 	79 	76 	76 
003131 	174 	75 	91 	91 
003132 	174 	75 	91 	91 
003133 	174 	75 	91 	91 
003134 	174 	75 	91 	91 
003135 	174 	75 	91 	91 
003136 	174 	75 	91 	91 
003137 	174 	75 	91 	91 
003138 	184 	75 	91 	91 
003139 	184 	65 	91 	91 
003140 	184 	65 	91 	91 
003141 	184 	65 	91 	91 
003142 	184 	65 	91 	91 
003143 	185 	66 	109 	109 
003144 	185 	66 	109 	109 
003145 	185 	66 	109 	109 
003146 	194 	75 	91 	91 
003147 	185 	66 	109 	109 
003148 	185 	66 	109 	109 
003149 	194 	75 	91 	91 
003150 	194 	75 	91 	91 
003151 	194 	75 	91 	91 
003152 	194 	75 	91 	91 
003153 	185 	66 	109 	109 
003154 	184 	75 	91 	91 
003155 	184 	75 	91 	91 
003156 	184 	75 	91 	91 
003157 	184 	75 	91 	91 
003158 	184 	75 	91 	91 
003159 	184 	75 	91 	91 
003160 	184 	75 	91 	91 
003161 	184 	75 	91 	91 
003162 	184 	75 	91 	91 
003163 	184 	75 	91 	91 
003164 	184 	75 	91 	91 
003165 	184 	75 	91 	91 
003166 	184 	75 	91 	91 
003167 	184 	75 	91 	91 
003168 	184 	75 	91 	91 
003169 	184 	75 	91 	91 
003170 	184 	75 	91 	91 
003171 	184 	75 	91 	91 
003172 	184 	75 	91 	91 
003173 	184 	75 	91 	91 
003174 	184 	75 	91 	91 
003175 	184 	75 	91 	91 
003176 	184 	75 	91 	91 
003177 	184 	75 	91 	91 
003178 	184 	75 	91 	91 
003179 	184 	75 	91 	91 
003180 	184 	75 	91 	91 
003181 	184 	75 	91 	91 
003182 	184 	75 	91 	91 
003183 	184 	75 	91 	91 
003184 	173 	66 	109 	109 
003185 	173 	66 	109 	109 
003186 	173 	66 	109 	109 
003187 	184 	65 	91 	91 
003188 	186 	79 	76 	76 
003189 	186 	79 	76 	76 
003190 	186 	79 	76 	76 
003191 	186 	79 	76 	76 
003192 	186 	79 	76 	76 
003193 	186 	79 	76 	76 
003194 	173 	66 	109 	109 
003195 	173 	66 	109 	109 
003196 	173 	66 	109 	109 
003197 	173 	66 	109 	109 
003198 	186 	87 	76 	76 
003199 	184 	75 	91 	91 
003200 	184 	75 	91 	91 
003201 	184 	65 	91 	91 
003202 	184 	65 	91 	91 
003203 	203 	79 	76 	76 
003204 	184 	65 	91 	91 
003205 	184 	65 	91 	91 
003206 	184 	65 	91 	91 
003207 	184 	65 	91 	91 
003208 	184 	65 	91 	91 
003209 	184 	65 	91 	91 
003210 	184 	65 	91 	91 
003211 	174 	65 	91 	91 
003212 	174 	65 	91 	91 
003213 	174 	65 	91 	91 
003214 	174 	65 	91 	91 
003215 	174 	65 	91 	91 
003216 	174 	65 	91 	91 
003217 	174 	65 	91 	91 
003218 	184 	65 	91 	91 
