Identity  : 	id10190
Reference : 	xOabYQHvrtY
Offset    : 	-6
FV Conf   : 	31.061
ASD Conf  : 	7.183

FRAME 	X 	Y 	W 	H 
004130 	237 	80 	130 	130 
004131 	237 	80 	130 	130 
004132 	237 	80 	130 	130 
004133 	237 	80 	130 	130 
004134 	237 	80 	130 	130 
004135 	237 	94 	130 	130 
004136 	237 	94 	130 	130 
004137 	237 	94 	130 	130 
004138 	237 	94 	130 	130 
004139 	237 	94 	130 	130 
004140 	237 	94 	130 	130 
004141 	237 	94 	130 	130 
004142 	237 	94 	130 	130 
004143 	237 	94 	130 	130 
004144 	237 	94 	130 	130 
004145 	237 	94 	130 	130 
004146 	237 	94 	130 	130 
004147 	237 	94 	130 	130 
004148 	237 	94 	130 	130 
004149 	237 	94 	130 	130 
004150 	237 	94 	130 	130 
004151 	237 	94 	130 	130 
004152 	237 	94 	130 	130 
004153 	237 	94 	130 	130 
004154 	237 	94 	130 	130 
004155 	223 	94 	130 	130 
004156 	223 	94 	130 	130 
004157 	223 	94 	130 	130 
004158 	208 	94 	130 	130 
004159 	208 	94 	130 	130 
004160 	194 	94 	130 	130 
004161 	194 	94 	130 	130 
004162 	194 	94 	130 	130 
004163 	194 	94 	130 	130 
004164 	194 	94 	130 	130 
004165 	194 	94 	130 	130 
004166 	194 	94 	130 	130 
004167 	194 	94 	130 	130 
004168 	194 	94 	130 	130 
004169 	208 	94 	130 	130 
004170 	208 	94 	130 	130 
004171 	223 	94 	130 	130 
004172 	223 	80 	130 	130 
004173 	237 	80 	130 	130 
004174 	237 	80 	130 	130 
004175 	237 	66 	130 	130 
004176 	237 	66 	130 	130 
004177 	237 	66 	130 	130 
004178 	237 	66 	130 	130 
004179 	237 	66 	130 	130 
004180 	237 	66 	130 	130 
004181 	237 	66 	130 	130 
004182 	237 	66 	130 	130 
004183 	237 	66 	130 	130 
004184 	237 	66 	130 	130 
004185 	237 	66 	130 	130 
004186 	237 	66 	130 	130 
004187 	237 	66 	130 	130 
004188 	237 	66 	130 	130 
004189 	237 	66 	130 	130 
004190 	237 	66 	130 	130 
004191 	237 	66 	130 	130 
004192 	237 	66 	130 	130 
004193 	237 	66 	130 	130 
004194 	237 	66 	130 	130 
004195 	251 	66 	130 	130 
004196 	251 	66 	130 	130 
004197 	251 	66 	130 	130 
004198 	251 	66 	130 	130 
004199 	251 	66 	130 	130 
004200 	251 	80 	130 	130 
004201 	251 	66 	130 	130 
004202 	251 	66 	130 	130 
004203 	251 	66 	130 	130 
004204 	237 	66 	130 	130 
004205 	237 	66 	130 	130 
004206 	237 	66 	130 	130 
004207 	223 	66 	130 	130 
004208 	223 	66 	130 	130 
004209 	223 	80 	130 	130 
004210 	208 	80 	130 	130 
004211 	208 	80 	130 	130 
004212 	208 	80 	130 	130 
004213 	208 	80 	130 	130 
004214 	208 	80 	130 	130 
004215 	208 	80 	130 	130 
004216 	208 	80 	130 	130 
004217 	208 	80 	130 	130 
004218 	223 	80 	130 	130 
004219 	223 	80 	130 	130 
004220 	223 	80 	130 	130 
004221 	223 	80 	130 	130 
004222 	223 	80 	130 	130 
004223 	223 	94 	130 	130 
004224 	223 	94 	130 	130 
004225 	223 	94 	130 	130 
004226 	223 	94 	130 	130 
004227 	226 	94 	130 	130 
004228 	230 	94 	130 	130 
004229 	234 	94 	130 	130 
