Identity  : 	id10195
Reference : 	4EhAfqcBJF0
Offset    : 	1
FV Conf   : 	25.916
ASD Conf  : 	6.089

FRAME 	X 	Y 	W 	H 
001828 	317 	78 	108 	109 
001829 	317 	78 	108 	109 
001830 	317 	78 	108 	109 
001831 	317 	78 	108 	109 
001832 	317 	78 	108 	109 
001833 	317 	78 	108 	109 
001834 	317 	78 	108 	109 
001835 	317 	78 	108 	109 
001836 	305 	78 	108 	109 
001837 	305 	78 	108 	109 
001838 	305 	78 	108 	109 
001839 	305 	78 	108 	109 
001840 	317 	78 	108 	109 
001841 	317 	66 	108 	109 
001842 	317 	66 	108 	109 
001843 	317 	66 	108 	109 
001844 	317 	66 	108 	109 
001845 	317 	66 	108 	109 
001846 	317 	54 	108 	109 
001847 	317 	54 	108 	109 
001848 	317 	54 	108 	109 
001849 	314 	55 	90 	91 
001850 	314 	55 	90 	91 
001851 	305 	43 	108 	108 
001852 	305 	43 	108 	108 
001853 	305 	43 	108 	108 
001854 	305 	54 	108 	109 
001855 	305 	54 	108 	109 
001856 	323 	65 	91 	91 
001857 	323 	55 	91 	91 
001858 	333 	55 	91 	91 
001859 	329 	43 	108 	108 
001860 	343 	55 	91 	91 
001861 	329 	43 	108 	108 
001862 	333 	45 	91 	91 
001863 	317 	31 	108 	108 
001864 	323 	45 	91 	91 
001865 	305 	31 	108 	108 
001866 	305 	43 	108 	108 
001867 	305 	43 	108 	108 
001868 	323 	55 	91 	91 
001869 	317 	54 	108 	109 
001870 	305 	54 	108 	109 
001871 	317 	66 	108 	109 
001872 	305 	54 	108 	109 
001873 	305 	54 	108 	109 
001874 	314 	65 	90 	91 
001875 	305 	54 	108 	109 
001876 	305 	54 	108 	109 
001877 	314 	55 	90 	91 
001878 	314 	55 	90 	91 
001879 	314 	55 	90 	91 
001880 	314 	55 	90 	91 
001881 	314 	55 	90 	91 
001882 	314 	45 	90 	91 
001883 	314 	45 	90 	91 
001884 	314 	45 	90 	91 
001885 	314 	45 	90 	91 
001886 	314 	45 	90 	91 
001887 	314 	45 	90 	91 
001888 	314 	45 	90 	91 
001889 	314 	45 	90 	91 
001890 	323 	55 	91 	91 
001891 	323 	55 	91 	91 
001892 	317 	54 	108 	109 
001893 	333 	65 	91 	91 
001894 	333 	75 	91 	91 
001895 	333 	75 	91 	91 
001896 	329 	66 	108 	109 
001897 	343 	75 	91 	91 
001898 	343 	75 	91 	91 
001899 	329 	66 	108 	109 
001900 	329 	66 	108 	109 
001901 	329 	66 	108 	109 
001902 	329 	66 	108 	109 
001903 	329 	66 	108 	109 
001904 	329 	66 	108 	109 
001905 	333 	75 	91 	91 
001906 	333 	75 	91 	91 
001907 	329 	78 	108 	109 
001908 	329 	78 	108 	109 
001909 	329 	78 	108 	109 
001910 	329 	78 	108 	109 
001911 	333 	85 	91 	91 
001912 	317 	66 	108 	109 
001913 	317 	66 	108 	109 
001914 	317 	66 	108 	109 
001915 	317 	66 	108 	109 
001916 	317 	66 	108 	109 
001917 	317 	66 	108 	109 
001918 	317 	66 	108 	109 
001919 	317 	66 	108 	109 
001920 	317 	66 	108 	109 
001921 	317 	66 	108 	109 
001922 	317 	66 	108 	109 
001923 	317 	66 	108 	109 
001924 	317 	66 	108 	109 
001925 	317 	66 	108 	109 
001926 	317 	66 	108 	109 
001927 	317 	66 	108 	109 
001928 	317 	66 	108 	109 
001929 	317 	66 	108 	109 
001930 	317 	54 	108 	109 
001931 	317 	54 	108 	109 
001932 	317 	54 	108 	109 
001933 	317 	54 	108 	109 
001934 	317 	54 	108 	109 
001935 	317 	54 	108 	109 
001936 	329 	66 	108 	109 
001937 	329 	66 	108 	109 
001938 	329 	66 	108 	109 
001939 	317 	54 	108 	109 
001940 	317 	54 	108 	109 
001941 	317 	54 	108 	109 
001942 	317 	54 	108 	109 
001943 	333 	65 	91 	91 
001944 	329 	66 	108 	109 
001945 	329 	66 	108 	109 
001946 	329 	66 	108 	109 
001947 	329 	54 	108 	109 
001948 	329 	54 	108 	109 
001949 	329 	54 	108 	109 
001950 	329 	54 	108 	109 
001951 	329 	54 	108 	109 
001952 	343 	75 	91 	91 
001953 	343 	75 	91 	91 
001954 	343 	75 	91 	91 
001955 	343 	75 	91 	91 
001956 	343 	75 	91 	91 
001957 	343 	75 	91 	91 
001958 	343 	75 	91 	91 
001959 	343 	75 	91 	91 
001960 	343 	75 	91 	91 
001961 	343 	75 	91 	91 
001962 	343 	75 	91 	91 
001963 	343 	75 	91 	91 
001964 	343 	75 	91 	91 
001965 	343 	75 	91 	91 
001966 	343 	75 	91 	91 
001967 	343 	75 	91 	91 
001968 	343 	75 	91 	91 
001969 	343 	75 	91 	91 
001970 	329 	66 	108 	109 
001971 	329 	66 	108 	109 
001972 	329 	66 	108 	109 
001973 	329 	66 	108 	109 
001974 	329 	66 	108 	109 
001975 	329 	66 	108 	109 
001976 	329 	66 	108 	109 
001977 	333 	65 	91 	91 
001978 	333 	65 	91 	91 
001979 	333 	65 	91 	91 
001980 	333 	65 	91 	91 
001981 	333 	65 	91 	91 
001982 	333 	75 	91 	91 
001983 	317 	66 	108 	109 
001984 	317 	66 	108 	109 
001985 	317 	66 	108 	109 
001986 	317 	66 	108 	109 
001987 	317 	66 	108 	109 
001988 	317 	66 	108 	109 
001989 	317 	66 	108 	109 
001990 	317 	66 	108 	109 
001991 	323 	65 	91 	91 
001992 	317 	66 	108 	109 
001993 	317 	66 	108 	109 
001994 	317 	66 	108 	109 
001995 	317 	66 	108 	109 
001996 	317 	66 	108 	109 
001997 	317 	66 	108 	109 
001998 	317 	66 	108 	109 
001999 	317 	66 	108 	109 
002000 	317 	66 	108 	109 
002001 	317 	66 	108 	109 
002002 	317 	66 	108 	109 
