Identity  : 	id10204
Reference : 	EKIF0zKoyss
Offset    : 	-1
FV Conf   : 	17.001
ASD Conf  : 	8.056

FRAME 	X 	Y 	W 	H 
010033 	250 	44 	156 	156 
010034 	250 	44 	156 	156 
010035 	250 	44 	156 	156 
010036 	250 	44 	156 	156 
010037 	250 	44 	156 	156 
010038 	250 	44 	156 	156 
010039 	250 	44 	156 	156 
010040 	251 	66 	130 	130 
010041 	251 	66 	130 	130 
010042 	251 	66 	130 	130 
010043 	251 	66 	130 	130 
010044 	251 	66 	130 	130 
010045 	251 	66 	130 	130 
010046 	251 	66 	130 	130 
010047 	251 	66 	130 	130 
010048 	251 	66 	130 	130 
010049 	251 	66 	130 	130 
010050 	251 	51 	130 	130 
010051 	251 	51 	130 	130 
010052 	251 	51 	130 	130 
010053 	251 	51 	130 	130 
010054 	251 	51 	130 	130 
010055 	251 	66 	130 	130 
010056 	251 	66 	130 	130 
010057 	251 	66 	130 	130 
010058 	251 	51 	130 	130 
010059 	251 	51 	130 	130 
010060 	251 	66 	130 	130 
010061 	251 	66 	130 	130 
010062 	251 	66 	130 	130 
010063 	251 	66 	130 	130 
010064 	251 	66 	130 	130 
010065 	251 	51 	130 	130 
010066 	251 	51 	130 	130 
010067 	251 	51 	130 	130 
010068 	251 	51 	130 	130 
010069 	251 	51 	130 	130 
010070 	251 	51 	130 	130 
010071 	251 	51 	130 	130 
010072 	251 	51 	130 	130 
010073 	251 	51 	130 	130 
010074 	251 	66 	130 	130 
010075 	251 	66 	130 	130 
010076 	251 	66 	130 	130 
010077 	251 	66 	130 	130 
010078 	251 	66 	130 	130 
010079 	251 	66 	130 	130 
010080 	251 	66 	130 	130 
010081 	251 	66 	130 	130 
010082 	251 	66 	130 	130 
010083 	251 	66 	130 	130 
010084 	251 	66 	130 	130 
010085 	251 	66 	130 	130 
010086 	251 	66 	130 	130 
010087 	251 	66 	130 	130 
010088 	251 	66 	130 	130 
010089 	251 	66 	130 	130 
010090 	251 	66 	130 	130 
010091 	251 	66 	130 	130 
010092 	251 	51 	130 	130 
010093 	251 	51 	130 	130 
010094 	251 	51 	130 	130 
010095 	251 	51 	130 	130 
010096 	251 	51 	130 	130 
010097 	251 	51 	130 	130 
010098 	251 	51 	130 	130 
010099 	251 	51 	130 	130 
010100 	251 	51 	130 	130 
010101 	251 	51 	130 	130 
010102 	251 	51 	130 	130 
010103 	251 	51 	130 	130 
010104 	251 	51 	130 	130 
010105 	251 	51 	130 	130 
010106 	251 	51 	130 	130 
010107 	251 	51 	130 	130 
010108 	251 	66 	130 	130 
010109 	251 	66 	130 	130 
010110 	251 	66 	130 	130 
010111 	251 	51 	130 	130 
010112 	251 	51 	130 	130 
010113 	251 	51 	130 	130 
010114 	251 	51 	130 	130 
010115 	251 	51 	130 	130 
010116 	251 	51 	130 	130 
010117 	251 	51 	130 	130 
010118 	251 	51 	130 	130 
010119 	251 	51 	130 	130 
010120 	251 	51 	130 	130 
010121 	251 	51 	130 	130 
010122 	251 	51 	130 	130 
010123 	251 	51 	130 	130 
010124 	251 	51 	130 	130 
010125 	251 	51 	130 	130 
010126 	251 	51 	130 	130 
010127 	251 	51 	130 	130 
010128 	251 	51 	130 	130 
010129 	251 	51 	130 	130 
010130 	251 	51 	130 	130 
010131 	251 	51 	130 	130 
010132 	251 	51 	130 	130 
