Identity  : 	id10204
Reference : 	zKlKNpu7jhs
Offset    : 	-2
FV Conf   : 	21.568
ASD Conf  : 	6.728

FRAME 	X 	Y 	W 	H 
008451 	151 	80 	130 	130 
008452 	151 	80 	130 	130 
008453 	151 	80 	130 	130 
008454 	151 	80 	130 	130 
008455 	151 	80 	130 	130 
008456 	151 	80 	130 	130 
008457 	151 	80 	130 	130 
008458 	151 	80 	130 	130 
008459 	151 	80 	130 	130 
008460 	151 	80 	130 	130 
008461 	151 	80 	130 	130 
008462 	151 	80 	130 	130 
008463 	151 	80 	130 	130 
008464 	151 	80 	130 	130 
008465 	151 	80 	130 	130 
008466 	151 	80 	130 	130 
008467 	151 	80 	130 	130 
008468 	151 	80 	130 	130 
008469 	151 	80 	130 	130 
008470 	151 	80 	130 	130 
008471 	151 	80 	130 	130 
008472 	151 	80 	130 	130 
008473 	151 	94 	130 	130 
008474 	151 	94 	130 	130 
008475 	151 	94 	130 	130 
008476 	151 	94 	130 	130 
008477 	165 	94 	130 	130 
008478 	165 	94 	130 	130 
008479 	165 	94 	130 	130 
008480 	165 	94 	130 	130 
008481 	151 	80 	130 	130 
008482 	151 	80 	130 	130 
008483 	137 	80 	130 	130 
008484 	137 	80 	130 	130 
008485 	137 	80 	130 	130 
008486 	137 	80 	130 	130 
008487 	137 	80 	130 	130 
008488 	137 	80 	130 	130 
008489 	151 	80 	130 	130 
008490 	151 	80 	130 	130 
008491 	151 	80 	130 	130 
008492 	151 	80 	130 	130 
008493 	151 	80 	130 	130 
008494 	165 	94 	130 	130 
008495 	151 	80 	130 	130 
008496 	151 	80 	130 	130 
008497 	151 	80 	130 	130 
008498 	151 	80 	130 	130 
008499 	151 	80 	130 	130 
008500 	151 	80 	130 	130 
008501 	151 	94 	130 	130 
008502 	151 	94 	130 	130 
008503 	151 	94 	130 	130 
008504 	151 	94 	130 	130 
008505 	151 	94 	130 	130 
008506 	151 	94 	130 	130 
008507 	151 	80 	130 	130 
008508 	151 	94 	130 	130 
008509 	151 	94 	130 	130 
008510 	151 	94 	130 	130 
008511 	151 	94 	130 	130 
008512 	151 	94 	130 	130 
008513 	151 	94 	130 	130 
008514 	151 	94 	130 	130 
008515 	151 	94 	130 	130 
008516 	151 	94 	130 	130 
008517 	151 	94 	130 	130 
008518 	151 	94 	130 	130 
008519 	151 	94 	130 	130 
008520 	151 	94 	130 	130 
008521 	151 	94 	130 	130 
008522 	151 	94 	130 	130 
008523 	151 	94 	130 	130 
008524 	151 	94 	130 	130 
008525 	151 	94 	130 	130 
008526 	151 	94 	130 	130 
008527 	165 	80 	130 	130 
008528 	165 	80 	130 	130 
008529 	165 	80 	130 	130 
008530 	165 	80 	130 	130 
008531 	151 	94 	130 	130 
008532 	151 	94 	130 	130 
008533 	151 	94 	130 	130 
008534 	151 	94 	130 	130 
008535 	151 	94 	130 	130 
008536 	151 	94 	130 	130 
008537 	165 	94 	130 	130 
008538 	165 	94 	130 	130 
008539 	165 	94 	130 	130 
008540 	165 	94 	130 	130 
008541 	165 	94 	130 	130 
008542 	165 	94 	130 	130 
008543 	165 	94 	130 	130 
008544 	165 	94 	130 	130 
008545 	165 	94 	130 	130 
008546 	165 	94 	130 	130 
008547 	180 	94 	130 	130 
008548 	180 	94 	130 	130 
008549 	180 	94 	130 	130 
008550 	180 	94 	130 	130 
008551 	180 	94 	130 	130 
008552 	180 	80 	130 	130 
008553 	180 	80 	130 	130 
008554 	165 	94 	130 	130 
008555 	185 	102 	109 	109 
008556 	185 	102 	109 	109 
008557 	180 	94 	130 	130 
008558 	180 	94 	130 	130 
008559 	180 	94 	130 	130 
008560 	180 	94 	130 	130 
008561 	180 	94 	130 	130 
008562 	180 	94 	130 	130 
008563 	165 	94 	130 	130 
008564 	180 	94 	130 	130 
008565 	180 	94 	130 	130 
008566 	180 	94 	130 	130 
008567 	180 	94 	130 	130 
008568 	180 	94 	130 	130 
008569 	180 	94 	130 	130 
008570 	180 	94 	130 	130 
008571 	180 	94 	130 	130 
008572 	180 	94 	130 	130 
008573 	180 	94 	130 	130 
008574 	180 	94 	130 	130 
008575 	180 	94 	130 	130 
008576 	180 	94 	130 	130 
008577 	180 	94 	130 	130 
008578 	180 	94 	130 	130 
008579 	180 	80 	130 	130 
008580 	180 	80 	130 	130 
008581 	180 	94 	130 	130 
008582 	180 	94 	130 	130 
008583 	180 	94 	130 	130 
008584 	180 	94 	130 	130 
008585 	180 	94 	130 	130 
008586 	165 	94 	130 	130 
008587 	180 	94 	130 	130 
008588 	197 	102 	109 	109 
008589 	194 	94 	130 	130 
008590 	208 	94 	130 	130 
008591 	223 	94 	130 	130 
008592 	223 	80 	130 	130 
008593 	223 	80 	130 	130 
008594 	223 	80 	130 	130 
008595 	223 	80 	130 	130 
008596 	237 	80 	130 	130 
008597 	237 	80 	130 	130 
008598 	237 	94 	130 	130 
008599 	237 	94 	130 	130 
008600 	237 	94 	130 	130 
008601 	237 	94 	130 	130 
008602 	237 	94 	130 	130 
008603 	223 	94 	130 	130 
008604 	223 	94 	130 	130 
008605 	223 	80 	130 	130 
008606 	223 	80 	130 	130 
008607 	223 	94 	130 	130 
008608 	223 	94 	130 	130 
008609 	223 	94 	130 	130 
008610 	223 	94 	130 	130 
008611 	223 	94 	130 	130 
008612 	223 	94 	130 	130 
008613 	223 	94 	130 	130 
008614 	223 	94 	130 	130 
008615 	221 	102 	109 	109 
008616 	221 	102 	109 	109 
008617 	208 	94 	130 	130 
008618 	208 	94 	130 	130 
008619 	208 	94 	130 	130 
008620 	208 	94 	130 	130 
008621 	208 	94 	130 	130 
008622 	208 	94 	130 	130 
008623 	208 	94 	130 	130 
008624 	208 	94 	130 	130 
008625 	209 	102 	109 	109 
008626 	209 	102 	109 	109 
008627 	194 	94 	130 	130 
008628 	194 	94 	130 	130 
008629 	194 	94 	130 	130 
008630 	194 	94 	130 	130 
008631 	194 	94 	130 	130 
008632 	194 	94 	130 	130 
008633 	194 	94 	130 	130 
008634 	194 	94 	130 	130 
008635 	194 	94 	130 	130 
008636 	194 	94 	130 	130 
008637 	194 	94 	130 	130 
008638 	194 	94 	130 	130 
008639 	194 	94 	130 	130 
008640 	194 	94 	130 	130 
008641 	194 	94 	130 	130 
008642 	194 	94 	130 	130 
008643 	194 	94 	130 	130 
008644 	197 	102 	109 	109 
008645 	194 	94 	130 	130 
008646 	197 	102 	109 	109 
008647 	197 	102 	109 	109 
008648 	197 	102 	109 	109 
008649 	197 	102 	109 	109 
008650 	197 	102 	109 	109 
008651 	197 	102 	109 	109 
008652 	197 	102 	109 	109 
008653 	197 	102 	109 	109 
008654 	197 	102 	109 	109 
008655 	180 	94 	130 	130 
008656 	180 	94 	130 	130 
008657 	180 	94 	130 	130 
008658 	180 	94 	130 	130 
008659 	180 	94 	130 	130 
008660 	180 	94 	130 	130 
008661 	180 	109 	130 	130 
008662 	180 	109 	130 	130 
008663 	180 	109 	130 	130 
008664 	180 	109 	130 	130 
008665 	180 	109 	130 	130 
008666 	180 	109 	130 	130 
008667 	180 	109 	130 	130 
008668 	180 	109 	130 	130 
008669 	180 	109 	130 	130 
008670 	180 	94 	130 	130 
008671 	180 	94 	130 	130 
008672 	180 	94 	130 	130 
008673 	180 	94 	130 	130 
008674 	180 	94 	130 	130 
008675 	180 	94 	130 	130 
008676 	180 	94 	130 	130 
