Identity  : 	id10216
Reference : 	kS_wwGil9B8
Offset    : 	-1
FV Conf   : 	14.191
ASD Conf  : 	8.582

FRAME 	X 	Y 	W 	H 
000215 	293 	78 	108 	109 
000216 	293 	78 	108 	109 
000217 	293 	78 	108 	109 
000218 	293 	78 	108 	109 
000219 	293 	78 	108 	109 
000220 	305 	78 	108 	109 
000221 	305 	78 	108 	109 
000222 	305 	78 	108 	109 
000223 	305 	78 	108 	109 
000224 	317 	78 	108 	109 
000225 	317 	66 	108 	109 
000226 	309 	66 	130 	130 
000227 	323 	66 	130 	130 
000228 	323 	66 	130 	130 
000229 	323 	66 	130 	130 
000230 	323 	66 	130 	130 
000231 	329 	78 	108 	109 
000232 	329 	78 	108 	109 
000233 	323 	66 	130 	130 
000234 	323 	66 	130 	130 
000235 	329 	78 	108 	109 
000236 	329 	78 	108 	109 
000237 	329 	78 	108 	109 
000238 	329 	78 	108 	109 
000239 	329 	78 	108 	109 
000240 	329 	78 	108 	109 
000241 	329 	78 	108 	109 
000242 	329 	78 	108 	109 
000243 	329 	78 	108 	109 
000244 	329 	78 	108 	109 
000245 	329 	78 	108 	109 
000246 	329 	78 	108 	109 
000247 	329 	78 	108 	109 
000248 	329 	78 	108 	109 
000249 	329 	78 	108 	109 
000250 	329 	78 	108 	109 
000251 	329 	78 	108 	109 
000252 	329 	78 	108 	109 
000253 	329 	78 	108 	109 
000254 	329 	78 	108 	109 
000255 	329 	78 	108 	109 
000256 	329 	78 	108 	109 
000257 	309 	66 	130 	130 
000258 	309 	66 	130 	130 
000259 	317 	78 	108 	109 
000260 	317 	78 	108 	109 
000261 	317 	78 	108 	109 
000262 	317 	78 	108 	109 
000263 	305 	78 	108 	109 
000264 	305 	78 	108 	109 
000265 	305 	78 	108 	109 
000266 	305 	78 	108 	109 
000267 	305 	78 	108 	109 
000268 	293 	78 	108 	109 
000269 	293 	78 	108 	109 
000270 	293 	78 	108 	109 
000271 	293 	78 	108 	109 
000272 	281 	78 	108 	109 
000273 	281 	78 	108 	109 
000274 	281 	78 	108 	109 
000275 	266 	66 	130 	130 
000276 	269 	78 	108 	109 
000277 	269 	78 	108 	109 
000278 	251 	66 	130 	130 
000279 	251 	66 	130 	130 
000280 	251 	66 	130 	130 
000281 	269 	78 	108 	109 
000282 	269 	78 	108 	109 
000283 	251 	66 	130 	130 
000284 	251 	66 	130 	130 
000285 	251 	66 	130 	130 
000286 	251 	66 	130 	130 
000287 	251 	66 	130 	130 
000288 	251 	66 	130 	130 
000289 	257 	78 	109 	109 
000290 	257 	78 	109 	109 
000291 	257 	78 	109 	109 
000292 	257 	78 	109 	109 
000293 	237 	80 	130 	130 
000294 	237 	80 	130 	130 
000295 	237 	80 	130 	130 
000296 	237 	80 	130 	130 
000297 	237 	80 	130 	130 
000298 	237 	80 	130 	130 
000299 	251 	80 	130 	130 
000300 	251 	80 	130 	130 
000301 	251 	80 	130 	130 
000302 	251 	80 	130 	130 
000303 	251 	80 	130 	130 
000304 	237 	80 	130 	130 
000305 	237 	80 	130 	130 
000306 	237 	80 	130 	130 
000307 	237 	80 	130 	130 
000308 	237 	80 	130 	130 
000309 	237 	80 	130 	130 
000310 	237 	80 	130 	130 
000311 	237 	80 	130 	130 
000312 	237 	80 	130 	130 
000313 	237 	80 	130 	130 
000314 	237 	80 	130 	130 
000315 	237 	66 	130 	130 
000316 	237 	66 	130 	130 
000317 	257 	66 	109 	109 
000318 	257 	66 	109 	109 
000319 	251 	51 	130 	130 
000320 	269 	54 	108 	109 
000321 	269 	66 	108 	109 
000322 	269 	66 	108 	109 
000323 	281 	54 	108 	109 
000324 	269 	54 	108 	109 
000325 	281 	54 	108 	109 
000326 	281 	54 	108 	109 
000327 	281 	54 	108 	109 
