Identity  : 	id10216
Reference : 	kXv2ev_gPkI
Offset    : 	-2
FV Conf   : 	15.566
ASD Conf  : 	7.976

FRAME 	X 	Y 	W 	H 
000980 	233 	96 	156 	156 
000981 	233 	79 	156 	156 
000982 	233 	96 	156 	156 
000983 	233 	96 	156 	156 
000984 	233 	96 	156 	156 
000985 	233 	96 	156 	156 
000986 	233 	96 	156 	156 
000987 	233 	96 	156 	156 
000988 	233 	96 	156 	156 
000989 	233 	96 	156 	156 
000990 	233 	113 	156 	156 
000991 	233 	113 	156 	156 
000992 	233 	113 	156 	156 
000993 	216 	113 	156 	156 
000994 	216 	113 	156 	156 
000995 	216 	113 	156 	156 
000996 	216 	113 	156 	156 
000997 	216 	113 	156 	156 
000998 	216 	113 	156 	156 
000999 	216 	113 	156 	156 
001000 	216 	113 	156 	156 
001001 	216 	113 	156 	156 
001002 	199 	113 	155 	156 
001003 	199 	113 	155 	156 
001004 	199 	113 	155 	156 
001005 	199 	113 	155 	156 
001006 	199 	113 	155 	156 
001007 	199 	113 	155 	156 
001008 	199 	113 	155 	156 
001009 	199 	113 	155 	156 
001010 	199 	113 	155 	156 
001011 	199 	113 	155 	156 
001012 	199 	113 	155 	156 
001013 	199 	113 	155 	156 
001014 	199 	113 	155 	156 
001015 	199 	113 	155 	156 
001016 	199 	113 	155 	156 
001017 	199 	113 	155 	156 
001018 	199 	113 	155 	156 
001019 	199 	96 	155 	156 
001020 	199 	113 	155 	156 
001021 	199 	113 	155 	156 
001022 	199 	113 	155 	156 
001023 	199 	113 	155 	156 
001024 	199 	113 	155 	156 
001025 	199 	113 	155 	156 
001026 	199 	113 	155 	156 
001027 	199 	113 	155 	156 
001028 	199 	113 	155 	156 
001029 	199 	113 	155 	156 
001030 	216 	113 	156 	156 
001031 	216 	113 	156 	156 
001032 	216 	113 	156 	156 
001033 	216 	113 	156 	156 
001034 	216 	113 	156 	156 
001035 	216 	113 	156 	156 
001036 	216 	113 	156 	156 
001037 	223 	123 	130 	130 
001038 	216 	113 	156 	156 
001039 	223 	123 	130 	130 
001040 	223 	123 	130 	130 
001041 	216 	113 	156 	156 
001042 	216 	113 	156 	156 
001043 	216 	113 	156 	156 
001044 	216 	113 	156 	156 
001045 	216 	113 	156 	156 
001046 	216 	113 	156 	156 
001047 	216 	113 	156 	156 
001048 	216 	113 	156 	156 
001049 	216 	113 	156 	156 
001050 	216 	113 	156 	156 
001051 	216 	113 	156 	156 
001052 	216 	113 	156 	156 
001053 	216 	113 	156 	156 
001054 	216 	113 	156 	156 
001055 	216 	113 	156 	156 
001056 	216 	113 	156 	156 
001057 	216 	113 	156 	156 
001058 	216 	113 	156 	156 
001059 	216 	113 	156 	156 
001060 	216 	113 	156 	156 
001061 	216 	113 	156 	156 
001062 	216 	113 	156 	156 
001063 	216 	113 	156 	156 
001064 	216 	113 	156 	156 
001065 	216 	113 	156 	156 
001066 	216 	113 	156 	156 
001067 	216 	113 	156 	156 
001068 	216 	113 	156 	156 
001069 	216 	113 	156 	156 
001070 	216 	113 	156 	156 
001071 	216 	113 	156 	156 
001072 	216 	113 	156 	156 
001073 	216 	113 	156 	156 
001074 	216 	113 	156 	156 
001075 	216 	113 	156 	156 
001076 	216 	113 	156 	156 
001077 	216 	113 	156 	156 
001078 	216 	113 	156 	156 
