Identity  : 	id10216
Reference : 	wGmvwR67Uag
Offset    : 	-3
FV Conf   : 	12.799
ASD Conf  : 	6.563

FRAME 	X 	Y 	W 	H 
016181 	195 	105 	75 	76 
016182 	195 	105 	75 	76 
016183 	195 	105 	75 	76 
016184 	195 	105 	75 	76 
016185 	195 	105 	75 	76 
016186 	195 	105 	75 	76 
016187 	195 	105 	75 	76 
016188 	195 	105 	75 	76 
016189 	195 	105 	75 	76 
016190 	195 	104 	75 	76 
016191 	195 	104 	75 	76 
016192 	195 	104 	75 	76 
016193 	195 	104 	75 	76 
016194 	195 	104 	75 	76 
016195 	195 	104 	75 	76 
016196 	195 	104 	75 	76 
016197 	195 	104 	75 	76 
016198 	195 	104 	75 	76 
016199 	195 	104 	75 	76 
016200 	195 	104 	75 	76 
016201 	194 	95 	91 	91 
016202 	194 	95 	91 	91 
016203 	194 	95 	91 	91 
016204 	194 	95 	91 	91 
016205 	194 	95 	91 	91 
016206 	194 	95 	91 	91 
016207 	194 	95 	91 	91 
016208 	194 	95 	91 	91 
016209 	194 	95 	91 	91 
016210 	194 	95 	91 	91 
016211 	194 	95 	91 	91 
016212 	203 	104 	76 	76 
016213 	203 	104 	76 	76 
016214 	194 	105 	91 	91 
016215 	203 	104 	76 	76 
016216 	194 	105 	91 	91 
016217 	203 	104 	76 	76 
016218 	204 	105 	91 	91 
016219 	204 	105 	91 	91 
016220 	204 	105 	91 	91 
016221 	204 	105 	91 	91 
016222 	204 	105 	91 	91 
016223 	204 	105 	91 	91 
016224 	204 	105 	91 	91 
016225 	204 	105 	91 	91 
016226 	204 	105 	91 	91 
016227 	204 	105 	91 	91 
016228 	204 	105 	91 	91 
016229 	203 	112 	76 	76 
016230 	194 	105 	91 	91 
016231 	194 	105 	91 	91 
016232 	194 	105 	91 	91 
016233 	194 	105 	91 	91 
016234 	194 	105 	91 	91 
016235 	194 	105 	91 	91 
016236 	194 	105 	91 	91 
016237 	194 	105 	91 	91 
016238 	194 	105 	91 	91 
016239 	194 	105 	91 	91 
016240 	194 	105 	91 	91 
016241 	194 	105 	91 	91 
016242 	194 	105 	91 	91 
016243 	194 	105 	91 	91 
016244 	194 	105 	91 	91 
016245 	194 	105 	91 	91 
016246 	194 	105 	91 	91 
016247 	194 	105 	91 	91 
016248 	194 	105 	91 	91 
016249 	194 	105 	91 	91 
016250 	194 	105 	91 	91 
016251 	194 	105 	91 	91 
016252 	194 	105 	91 	91 
016253 	203 	104 	76 	76 
016254 	203 	104 	76 	76 
016255 	194 	105 	91 	91 
016256 	194 	105 	91 	91 
016257 	203 	112 	76 	76 
016258 	203 	112 	76 	76 
016259 	203 	112 	76 	76 
016260 	204 	105 	91 	91 
016261 	204 	105 	91 	91 
016262 	204 	105 	91 	91 
016263 	204 	105 	91 	91 
016264 	204 	105 	91 	91 
016265 	204 	105 	91 	91 
016266 	204 	105 	91 	91 
016267 	204 	105 	91 	91 
016268 	204 	105 	91 	91 
016269 	203 	112 	76 	76 
016270 	194 	115 	91 	91 
016271 	203 	112 	76 	76 
016272 	204 	115 	91 	91 
016273 	203 	112 	76 	76 
016274 	204 	115 	91 	91 
016275 	204 	115 	91 	91 
016276 	204 	115 	91 	91 
016277 	204 	115 	91 	91 
016278 	204 	115 	91 	91 
016279 	204 	115 	91 	91 
016280 	204 	115 	91 	91 
016281 	204 	115 	91 	91 
016282 	204 	115 	91 	91 
016283 	204 	115 	91 	91 
016284 	204 	115 	91 	91 
016285 	204 	115 	91 	91 
016286 	204 	115 	91 	91 
016287 	204 	115 	91 	91 
016288 	204 	115 	91 	91 
016289 	204 	115 	91 	91 
016290 	204 	115 	91 	91 
016291 	204 	105 	91 	91 
016292 	204 	105 	91 	91 
016293 	204 	105 	91 	91 
016294 	204 	105 	91 	91 
016295 	204 	105 	91 	91 
016296 	204 	105 	91 	91 
016297 	204 	105 	91 	91 
016298 	204 	105 	91 	91 
016299 	204 	105 	91 	91 
016300 	204 	105 	91 	91 
016301 	204 	105 	91 	91 
016302 	204 	105 	91 	91 
016303 	204 	105 	91 	91 
016304 	204 	105 	91 	91 
016305 	204 	105 	91 	91 
016306 	204 	105 	91 	91 
016307 	204 	105 	91 	91 
016308 	204 	105 	91 	91 
016309 	204 	105 	91 	91 
016310 	204 	105 	91 	91 
016311 	204 	105 	91 	91 
016312 	204 	105 	91 	91 
016313 	204 	105 	91 	91 
016314 	204 	105 	91 	91 
016315 	204 	105 	91 	91 
016316 	204 	105 	91 	91 
016317 	204 	105 	91 	91 
016318 	204 	105 	91 	91 
016319 	204 	105 	91 	91 
016320 	204 	105 	91 	91 
016321 	204 	115 	91 	91 
016322 	204 	115 	91 	91 
016323 	204 	115 	91 	91 
016324 	204 	105 	91 	91 
016325 	204 	115 	91 	91 
016326 	204 	105 	91 	91 
016327 	204 	115 	91 	91 
016328 	204 	115 	91 	91 
016329 	204 	115 	91 	91 
016330 	204 	115 	91 	91 
016331 	204 	115 	91 	91 
016332 	204 	115 	91 	91 
016333 	204 	115 	91 	91 
016334 	204 	115 	91 	91 
016335 	204 	115 	91 	91 
016336 	194 	115 	91 	91 
016337 	194 	115 	91 	91 
016338 	194 	115 	91 	91 
016339 	194 	115 	91 	91 
016340 	194 	105 	91 	91 
016341 	194 	105 	91 	91 
016342 	194 	115 	91 	91 
016343 	194 	115 	91 	91 
016344 	194 	105 	91 	91 
016345 	194 	105 	91 	91 
016346 	194 	105 	91 	91 
016347 	194 	105 	91 	91 
016348 	194 	105 	91 	91 
016349 	194 	105 	91 	91 
016350 	194 	105 	91 	91 
016351 	194 	105 	91 	91 
016352 	194 	105 	91 	91 
016353 	194 	105 	91 	91 
016354 	194 	105 	91 	91 
016355 	194 	105 	91 	91 
016356 	194 	105 	91 	91 
016357 	194 	105 	91 	91 
016358 	194 	105 	91 	91 
016359 	194 	105 	91 	91 
016360 	194 	105 	91 	91 
016361 	194 	105 	91 	91 
016362 	194 	105 	91 	91 
016363 	194 	105 	91 	91 
016364 	194 	105 	91 	91 
016365 	194 	105 	91 	91 
016366 	194 	105 	91 	91 
016367 	194 	105 	91 	91 
016368 	194 	105 	91 	91 
016369 	194 	105 	91 	91 
016370 	194 	105 	91 	91 
016371 	194 	105 	91 	91 
016372 	204 	105 	91 	91 
016373 	204 	105 	91 	91 
016374 	204 	105 	91 	91 
016375 	204 	105 	91 	91 
016376 	204 	105 	91 	91 
016377 	204 	105 	91 	91 
016378 	203 	112 	76 	76 
016379 	203 	112 	76 	76 
016380 	194 	105 	91 	91 
016381 	194 	105 	91 	91 
016382 	194 	105 	91 	91 
016383 	194 	105 	91 	91 
016384 	194 	105 	91 	91 
016385 	194 	105 	91 	91 
016386 	194 	105 	91 	91 
016387 	204 	105 	91 	91 
016388 	204 	105 	91 	91 
016389 	204 	105 	91 	91 
016390 	204 	105 	91 	91 
016391 	204 	105 	91 	91 
016392 	204 	105 	91 	91 
016393 	204 	105 	91 	91 
016394 	204 	105 	91 	91 
016395 	204 	105 	91 	91 
016396 	204 	105 	91 	91 
016397 	204 	105 	91 	91 
016398 	204 	105 	91 	91 
016399 	204 	105 	91 	91 
016400 	204 	105 	91 	91 
016401 	194 	105 	91 	91 
016402 	194 	105 	91 	91 
016403 	194 	105 	91 	91 
016404 	194 	105 	91 	91 
016405 	194 	105 	91 	91 
016406 	194 	105 	91 	91 
016407 	194 	105 	91 	91 
016408 	194 	105 	91 	91 
016409 	194 	105 	91 	91 
016410 	194 	105 	91 	91 
016411 	194 	105 	91 	91 
016412 	194 	105 	91 	91 
016413 	204 	105 	91 	91 
016414 	203 	104 	76 	76 
016415 	203 	104 	76 	76 
016416 	204 	95 	91 	91 
016417 	204 	95 	91 	91 
016418 	204 	105 	91 	91 
016419 	204 	105 	91 	91 
016420 	204 	105 	91 	91 
016421 	204 	105 	91 	91 
016422 	204 	105 	91 	91 
016423 	204 	105 	91 	91 
016424 	204 	105 	91 	91 
016425 	203 	104 	76 	76 
016426 	203 	104 	76 	76 
016427 	204 	105 	91 	91 
016428 	204 	105 	91 	91 
016429 	204 	105 	91 	91 
016430 	204 	105 	91 	91 
016431 	204 	105 	91 	91 
016432 	204 	105 	91 	91 
016433 	204 	105 	91 	91 
016434 	204 	105 	91 	91 
016435 	204 	105 	91 	91 
016436 	204 	105 	91 	91 
016437 	204 	105 	91 	91 
016438 	204 	105 	91 	91 
016439 	204 	105 	91 	91 
016440 	204 	105 	91 	91 
016441 	204 	105 	91 	91 
016442 	204 	105 	91 	91 
016443 	204 	105 	91 	91 
016444 	204 	105 	91 	91 
016445 	204 	105 	91 	91 
016446 	204 	105 	91 	91 
016447 	204 	105 	91 	91 
016448 	204 	105 	91 	91 
016449 	204 	105 	91 	91 
016450 	204 	105 	91 	91 
016451 	204 	105 	91 	91 
016452 	204 	105 	91 	91 
016453 	204 	105 	91 	91 
016454 	204 	105 	91 	91 
016455 	204 	105 	91 	91 
016456 	204 	105 	91 	91 
016457 	204 	105 	91 	91 
016458 	204 	105 	91 	91 
016459 	204 	105 	91 	91 
016460 	204 	105 	91 	91 
016461 	204 	105 	91 	91 
016462 	204 	105 	91 	91 
016463 	204 	105 	91 	91 
016464 	204 	105 	91 	91 
016465 	204 	105 	91 	91 
016466 	204 	105 	91 	91 
016467 	204 	105 	91 	91 
016468 	204 	105 	91 	91 
016469 	204 	105 	91 	91 
016470 	204 	105 	91 	91 
016471 	204 	105 	91 	91 
016472 	204 	105 	91 	91 
016473 	204 	105 	91 	91 
016474 	204 	105 	91 	91 
016475 	204 	105 	91 	91 
016476 	204 	105 	91 	91 
016477 	204 	105 	91 	91 
016478 	204 	105 	91 	91 
016479 	204 	105 	91 	91 
016480 	204 	105 	91 	91 
016481 	204 	105 	91 	91 
016482 	204 	105 	91 	91 
016483 	204 	105 	91 	91 
016484 	204 	105 	91 	91 
016485 	204 	105 	91 	91 
016486 	204 	105 	91 	91 
016487 	204 	105 	91 	91 
016488 	204 	105 	91 	91 
016489 	204 	105 	91 	91 
016490 	204 	105 	91 	91 
016491 	204 	105 	91 	91 
016492 	204 	105 	91 	91 
016493 	204 	105 	91 	91 
016494 	204 	105 	91 	91 
016495 	194 	105 	91 	91 
016496 	194 	105 	91 	91 
016497 	194 	105 	91 	91 
016498 	194 	105 	91 	91 
016499 	194 	105 	91 	91 
016500 	194 	105 	91 	91 
016501 	195 	104 	75 	76 
016502 	195 	104 	75 	76 
016503 	184 	95 	91 	91 
016504 	184 	95 	91 	91 
016505 	184 	95 	91 	91 
016506 	184 	95 	91 	91 
016507 	184 	95 	91 	91 
016508 	184 	95 	91 	91 
016509 	184 	95 	91 	91 
016510 	184 	95 	91 	91 
016511 	184 	95 	91 	91 
016512 	184 	105 	91 	91 
016513 	184 	105 	91 	91 
016514 	184 	105 	91 	91 
016515 	184 	105 	91 	91 
016516 	184 	105 	91 	91 
016517 	184 	105 	91 	91 
016518 	184 	95 	91 	91 
016519 	184 	95 	91 	91 
016520 	184 	95 	91 	91 
016521 	184 	95 	91 	91 
016522 	184 	95 	91 	91 
016523 	184 	95 	91 	91 
016524 	184 	95 	91 	91 
016525 	184 	95 	91 	91 
016526 	184 	95 	91 	91 
016527 	184 	95 	91 	91 
016528 	186 	104 	76 	76 
016529 	186 	104 	76 	76 
016530 	186 	104 	76 	76 
016531 	186 	104 	76 	76 
016532 	186 	104 	76 	76 
016533 	186 	104 	76 	76 
016534 	186 	104 	76 	76 
016535 	184 	105 	91 	91 
016536 	184 	105 	91 	91 
016537 	184 	105 	91 	91 
016538 	184 	105 	91 	91 
016539 	184 	105 	91 	91 
016540 	184 	105 	91 	91 
016541 	184 	105 	91 	91 
016542 	184 	105 	91 	91 
016543 	195 	112 	75 	76 
016544 	195 	112 	75 	76 
016545 	195 	112 	75 	76 
016546 	194 	105 	91 	91 
016547 	194 	105 	91 	91 
016548 	194 	105 	91 	91 
016549 	194 	105 	91 	91 
016550 	194 	105 	91 	91 
016551 	194 	105 	91 	91 
016552 	194 	105 	91 	91 
016553 	194 	115 	91 	91 
016554 	194 	115 	91 	91 
016555 	194 	105 	91 	91 
016556 	194 	105 	91 	91 
016557 	194 	105 	91 	91 
016558 	194 	115 	91 	91 
016559 	194 	115 	91 	91 
016560 	194 	115 	91 	91 
016561 	194 	115 	91 	91 
016562 	194 	115 	91 	91 
016563 	194 	105 	91 	91 
016564 	194 	115 	91 	91 
016565 	194 	105 	91 	91 
016566 	194 	105 	91 	91 
016567 	194 	105 	91 	91 
016568 	194 	105 	91 	91 
016569 	194 	105 	91 	91 
016570 	194 	105 	91 	91 
016571 	194 	105 	91 	91 
016572 	194 	105 	91 	91 
016573 	194 	105 	91 	91 
016574 	194 	105 	91 	91 
016575 	194 	105 	91 	91 
016576 	194 	105 	91 	91 
016577 	194 	105 	91 	91 
016578 	194 	105 	91 	91 
016579 	194 	105 	91 	91 
016580 	194 	105 	91 	91 
016581 	194 	105 	91 	91 
016582 	194 	105 	91 	91 
016583 	194 	105 	91 	91 
016584 	194 	105 	91 	91 
016585 	194 	105 	91 	91 
016586 	194 	105 	91 	91 
016587 	194 	105 	91 	91 
016588 	194 	105 	91 	91 
016589 	194 	105 	91 	91 
016590 	194 	105 	91 	91 
016591 	194 	105 	91 	91 
016592 	184 	105 	91 	91 
016593 	184 	105 	91 	91 
016594 	184 	105 	91 	91 
016595 	184 	105 	91 	91 
016596 	184 	105 	91 	91 
016597 	184 	105 	91 	91 
016598 	195 	112 	75 	76 
016599 	195 	112 	75 	76 
016600 	195 	112 	75 	76 
016601 	184 	105 	91 	91 
016602 	184 	105 	91 	91 
016603 	195 	104 	75 	76 
016604 	184 	95 	91 	91 
016605 	184 	95 	91 	91 
016606 	184 	95 	91 	91 
016607 	184 	95 	91 	91 
016608 	184 	95 	91 	91 
016609 	195 	104 	75 	76 
016610 	195 	104 	75 	76 
016611 	195 	104 	75 	76 
016612 	195 	104 	75 	76 
016613 	184 	95 	91 	91 
016614 	184 	95 	91 	91 
016615 	184 	95 	91 	91 
016616 	184 	95 	91 	91 
016617 	184 	95 	91 	91 
016618 	184 	95 	91 	91 
016619 	184 	95 	91 	91 
016620 	184 	95 	91 	91 
016621 	184 	95 	91 	91 
016622 	184 	95 	91 	91 
016623 	184 	95 	91 	91 
016624 	184 	105 	91 	91 
016625 	184 	105 	91 	91 
016626 	184 	105 	91 	91 
016627 	173 	90 	109 	109 
016628 	186 	104 	76 	76 
016629 	186 	104 	76 	76 
016630 	186 	104 	76 	76 
016631 	186 	104 	76 	76 
016632 	173 	90 	109 	109 
016633 	184 	105 	91 	91 
016634 	184 	105 	91 	91 
016635 	184 	105 	91 	91 
016636 	184 	105 	91 	91 
016637 	184 	105 	91 	91 
016638 	184 	105 	91 	91 
016639 	184 	105 	91 	91 
016640 	184 	105 	91 	91 
016641 	184 	105 	91 	91 
016642 	184 	105 	91 	91 
016643 	184 	105 	91 	91 
016644 	184 	105 	91 	91 
016645 	184 	105 	91 	91 
016646 	195 	112 	75 	76 
016647 	194 	105 	91 	91 
016648 	194 	105 	91 	91 
016649 	194 	105 	91 	91 
016650 	194 	105 	91 	91 
