Identity  : 	id10226
Reference : 	TgYCsqE9WWY
Offset    : 	-2
FV Conf   : 	16.637
ASD Conf  : 	7.126

FRAME 	X 	Y 	W 	H 
000114 	305 	90 	108 	109 
000115 	305 	102 	108 	109 
000116 	305 	102 	108 	109 
000117 	305 	102 	108 	109 
000118 	309 	94 	130 	130 
000119 	309 	94 	130 	130 
000120 	309 	94 	130 	130 
000121 	309 	94 	130 	130 
000122 	294 	80 	130 	130 
000123 	294 	80 	130 	130 
000124 	294 	80 	130 	130 
000125 	294 	80 	130 	130 
000126 	309 	94 	130 	130 
000127 	309 	94 	130 	130 
000128 	309 	94 	130 	130 
000129 	309 	80 	130 	130 
000130 	305 	90 	108 	109 
000131 	309 	94 	130 	130 
000132 	309 	94 	130 	130 
000133 	309 	94 	130 	130 
000134 	309 	94 	130 	130 
000135 	309 	94 	130 	130 
000136 	309 	94 	130 	130 
000137 	309 	94 	130 	130 
000138 	309 	94 	130 	130 
000139 	309 	94 	130 	130 
000140 	309 	94 	130 	130 
000141 	317 	102 	108 	109 
000142 	309 	94 	130 	130 
000143 	309 	94 	130 	130 
000144 	317 	102 	108 	109 
000145 	317 	102 	108 	109 
000146 	305 	102 	108 	109 
000147 	305 	102 	108 	109 
000148 	305 	102 	108 	109 
000149 	305 	102 	108 	109 
000150 	294 	94 	130 	130 
000151 	309 	94 	130 	130 
000152 	305 	102 	108 	109 
000153 	305 	102 	108 	109 
000154 	305 	102 	108 	109 
000155 	305 	90 	108 	109 
000156 	305 	90 	108 	109 
000157 	305 	90 	108 	109 
000158 	305 	90 	108 	109 
000159 	309 	94 	130 	130 
000160 	294 	80 	130 	130 
000161 	294 	80 	130 	130 
000162 	294 	80 	130 	130 
000163 	294 	94 	130 	130 
000164 	294 	94 	130 	130 
000165 	294 	94 	130 	130 
000166 	294 	94 	130 	130 
000167 	294 	94 	130 	130 
000168 	294 	94 	130 	130 
000169 	294 	94 	130 	130 
000170 	294 	94 	130 	130 
000171 	294 	94 	130 	130 
000172 	294 	94 	130 	130 
000173 	294 	94 	130 	130 
000174 	294 	94 	130 	130 
000175 	294 	94 	130 	130 
000176 	294 	94 	130 	130 
000177 	294 	94 	130 	130 
000178 	294 	94 	130 	130 
