Identity  : 	id10244
Reference : 	QR7Z4KSuZJY
Offset    : 	-2
FV Conf   : 	19.686
ASD Conf  : 	6.731

FRAME 	X 	Y 	W 	H 
001364 	137 	80 	130 	130 
001365 	137 	80 	130 	130 
001366 	151 	80 	130 	130 
001367 	151 	80 	130 	130 
001368 	151 	80 	130 	130 
001369 	151 	80 	130 	130 
001370 	151 	80 	130 	130 
001371 	147 	79 	156 	156 
001372 	165 	94 	130 	130 
001373 	180 	94 	130 	130 
001374 	180 	94 	130 	130 
001375 	180 	109 	130 	130 
001376 	194 	109 	130 	130 
001377 	194 	109 	130 	130 
001378 	181 	96 	156 	156 
001379 	181 	96 	156 	156 
001380 	208 	123 	130 	130 
001381 	208 	123 	130 	130 
001382 	208 	123 	130 	130 
001383 	208 	123 	130 	130 
001384 	208 	123 	130 	130 
001385 	199 	96 	155 	156 
001386 	199 	96 	155 	156 
001387 	199 	96 	155 	156 
001388 	223 	109 	130 	130 
001389 	223 	109 	130 	130 
001390 	223 	109 	130 	130 
001391 	223 	109 	130 	130 
001392 	223 	109 	130 	130 
001393 	223 	109 	130 	130 
001394 	223 	109 	130 	130 
001395 	223 	109 	130 	130 
001396 	223 	109 	130 	130 
001397 	223 	109 	130 	130 
001398 	223 	109 	130 	130 
001399 	223 	109 	130 	130 
001400 	223 	109 	130 	130 
001401 	223 	109 	130 	130 
001402 	223 	109 	130 	130 
001403 	223 	109 	130 	130 
001404 	223 	109 	130 	130 
001405 	223 	109 	130 	130 
001406 	223 	109 	130 	130 
001407 	223 	109 	130 	130 
001408 	223 	109 	130 	130 
001409 	223 	109 	130 	130 
001410 	223 	109 	130 	130 
001411 	223 	109 	130 	130 
001412 	223 	109 	130 	130 
001413 	223 	109 	130 	130 
001414 	223 	109 	130 	130 
001415 	216 	96 	156 	156 
001416 	237 	94 	130 	130 
001417 	237 	94 	130 	130 
001418 	237 	94 	130 	130 
001419 	237 	109 	130 	130 
001420 	237 	109 	130 	130 
001421 	237 	109 	130 	130 
001422 	237 	109 	130 	130 
001423 	237 	109 	130 	130 
001424 	237 	94 	130 	130 
001425 	216 	79 	156 	156 
001426 	223 	94 	130 	130 
001427 	223 	94 	130 	130 
001428 	223 	94 	130 	130 
001429 	223 	94 	130 	130 
001430 	223 	94 	130 	130 
001431 	223 	94 	130 	130 
001432 	223 	94 	130 	130 
001433 	208 	94 	130 	130 
001434 	208 	109 	130 	130 
001435 	208 	109 	130 	130 
001436 	208 	109 	130 	130 
001437 	194 	94 	130 	130 
001438 	194 	94 	130 	130 
001439 	194 	94 	130 	130 
001440 	194 	94 	130 	130 
001441 	194 	94 	130 	130 
001442 	194 	94 	130 	130 
001443 	194 	94 	130 	130 
001444 	194 	94 	130 	130 
001445 	194 	94 	130 	130 
001446 	194 	109 	130 	130 
001447 	194 	109 	130 	130 
001448 	194 	109 	130 	130 
001449 	194 	109 	130 	130 
001450 	194 	109 	130 	130 
001451 	194 	94 	130 	130 
001452 	194 	94 	130 	130 
001453 	194 	94 	130 	130 
001454 	194 	94 	130 	130 
001455 	194 	94 	130 	130 
001456 	194 	94 	130 	130 
001457 	194 	94 	130 	130 
001458 	194 	94 	130 	130 
001459 	194 	94 	130 	130 
001460 	194 	94 	130 	130 
001461 	194 	94 	130 	130 
001462 	194 	94 	130 	130 
001463 	194 	94 	130 	130 
001464 	208 	94 	130 	130 
001465 	208 	94 	130 	130 
001466 	208 	94 	130 	130 
001467 	208 	94 	130 	130 
001468 	208 	94 	130 	130 
001469 	208 	94 	130 	130 
001470 	208 	94 	130 	130 
001471 	208 	94 	130 	130 
001472 	208 	94 	130 	130 
001473 	208 	94 	130 	130 
001474 	208 	94 	130 	130 
001475 	208 	94 	130 	130 
001476 	208 	94 	130 	130 
001477 	208 	94 	130 	130 
001478 	208 	94 	130 	130 
001479 	208 	94 	130 	130 
001480 	208 	94 	130 	130 
001481 	208 	94 	130 	130 
001482 	208 	109 	130 	130 
001483 	208 	109 	130 	130 
001484 	208 	109 	130 	130 
001485 	208 	109 	130 	130 
001486 	208 	109 	130 	130 
001487 	208 	109 	130 	130 
001488 	208 	109 	130 	130 
001489 	208 	109 	130 	130 
001490 	208 	109 	130 	130 
001491 	208 	109 	130 	130 
001492 	208 	109 	130 	130 
001493 	208 	109 	130 	130 
001494 	208 	109 	130 	130 
001495 	208 	109 	130 	130 
001496 	208 	109 	130 	130 
001497 	208 	109 	130 	130 
001498 	223 	109 	130 	130 
001499 	223 	109 	130 	130 
001500 	223 	109 	130 	130 
001501 	223 	109 	130 	130 
001502 	199 	96 	155 	156 
001503 	208 	109 	130 	130 
001504 	208 	109 	130 	130 
001505 	208 	109 	130 	130 
