Identity  : 	id10244
Reference : 	vWUgw3xuOjc
Offset    : 	-2
FV Conf   : 	17.703
ASD Conf  : 	6.744

FRAME 	X 	Y 	W 	H 
001574 	154 	75 	91 	91 
001575 	154 	75 	91 	91 
001576 	154 	75 	91 	91 
001577 	154 	75 	91 	91 
001578 	154 	75 	91 	91 
001579 	154 	75 	91 	91 
001580 	154 	75 	91 	91 
001581 	154 	75 	91 	91 
001582 	154 	75 	91 	91 
001583 	154 	75 	91 	91 
001584 	154 	75 	91 	91 
001585 	154 	75 	91 	91 
001586 	154 	75 	91 	91 
001587 	154 	75 	91 	91 
001588 	154 	75 	91 	91 
001589 	154 	75 	91 	91 
001590 	154 	75 	91 	91 
001591 	154 	75 	91 	91 
001592 	154 	75 	91 	91 
001593 	154 	65 	91 	91 
001594 	154 	65 	91 	91 
001595 	154 	65 	91 	91 
001596 	154 	55 	91 	91 
001597 	154 	55 	91 	91 
001598 	144 	55 	91 	91 
001599 	144 	55 	91 	91 
001600 	144 	55 	91 	91 
001601 	144 	55 	91 	91 
001602 	144 	55 	91 	91 
001603 	144 	55 	91 	91 
001604 	144 	55 	91 	91 
001605 	154 	55 	91 	91 
001606 	154 	55 	91 	91 
001607 	154 	55 	91 	91 
001608 	154 	55 	91 	91 
001609 	154 	55 	91 	91 
001610 	154 	55 	91 	91 
001611 	154 	65 	91 	91 
001612 	154 	65 	91 	91 
001613 	154 	65 	91 	91 
001614 	154 	65 	91 	91 
001615 	154 	65 	91 	91 
001616 	154 	65 	91 	91 
001617 	154 	65 	91 	91 
001618 	154 	65 	91 	91 
001619 	154 	65 	91 	91 
001620 	154 	65 	91 	91 
001621 	154 	65 	91 	91 
001622 	154 	65 	91 	91 
001623 	154 	65 	91 	91 
001624 	154 	65 	91 	91 
001625 	154 	65 	91 	91 
001626 	154 	55 	91 	91 
001627 	154 	55 	91 	91 
001628 	154 	55 	91 	91 
001629 	154 	55 	91 	91 
001630 	154 	55 	91 	91 
001631 	154 	55 	91 	91 
001632 	154 	55 	91 	91 
001633 	154 	55 	91 	91 
001634 	154 	55 	91 	91 
001635 	154 	55 	91 	91 
001636 	154 	55 	91 	91 
001637 	154 	55 	91 	91 
001638 	154 	55 	91 	91 
001639 	154 	55 	91 	91 
001640 	154 	55 	91 	91 
001641 	154 	55 	91 	91 
001642 	154 	55 	91 	91 
001643 	154 	55 	91 	91 
001644 	154 	55 	91 	91 
001645 	154 	65 	91 	91 
001646 	154 	65 	91 	91 
001647 	154 	65 	91 	91 
001648 	154 	65 	91 	91 
001649 	154 	65 	91 	91 
001650 	154 	65 	91 	91 
001651 	154 	65 	91 	91 
001652 	154 	65 	91 	91 
001653 	154 	65 	91 	91 
001654 	154 	65 	91 	91 
001655 	154 	65 	91 	91 
001656 	154 	65 	91 	91 
001657 	154 	65 	91 	91 
001658 	154 	65 	91 	91 
001659 	154 	65 	91 	91 
001660 	154 	65 	91 	91 
001661 	154 	65 	91 	91 
001662 	154 	65 	91 	91 
001663 	154 	65 	91 	91 
001664 	154 	65 	91 	91 
001665 	154 	65 	91 	91 
001666 	154 	65 	91 	91 
001667 	154 	65 	91 	91 
001668 	154 	65 	91 	91 
001669 	154 	65 	91 	91 
001670 	154 	65 	91 	91 
001671 	154 	65 	91 	91 
001672 	154 	65 	91 	91 
001673 	154 	65 	91 	91 
001674 	154 	65 	91 	91 
001675 	154 	65 	91 	91 
001676 	154 	65 	91 	91 
001677 	154 	65 	91 	91 
001678 	154 	65 	91 	91 
001679 	154 	65 	91 	91 
001680 	154 	65 	91 	91 
001681 	154 	65 	91 	91 
001682 	154 	65 	91 	91 
001683 	154 	65 	91 	91 
001684 	154 	65 	91 	91 
001685 	154 	65 	91 	91 
001686 	154 	65 	91 	91 
001687 	154 	65 	91 	91 
001688 	154 	65 	91 	91 
001689 	154 	65 	91 	91 
001690 	154 	65 	91 	91 
001691 	154 	65 	91 	91 
001692 	154 	65 	91 	91 
001693 	154 	65 	91 	91 
001694 	154 	65 	91 	91 
001695 	154 	65 	91 	91 
001696 	154 	65 	91 	91 
001697 	154 	65 	91 	91 
001698 	154 	65 	91 	91 
001699 	154 	65 	91 	91 
001700 	154 	65 	91 	91 
001701 	154 	75 	91 	91 
001702 	164 	75 	91 	91 
001703 	164 	75 	91 	91 
001704 	164 	75 	91 	91 
001705 	164 	75 	91 	91 
001706 	164 	75 	91 	91 
001707 	164 	75 	91 	91 
001708 	164 	75 	91 	91 
001709 	154 	75 	91 	91 
001710 	154 	75 	91 	91 
001711 	154 	75 	91 	91 
001712 	154 	75 	91 	91 
001713 	154 	75 	91 	91 
001714 	154 	75 	91 	91 
001715 	154 	75 	91 	91 
001716 	154 	75 	91 	91 
001717 	154 	65 	91 	91 
001718 	154 	65 	91 	91 
001719 	154 	75 	91 	91 
001720 	154 	75 	91 	91 
001721 	154 	75 	91 	91 
001722 	154 	75 	91 	91 
001723 	154 	85 	91 	91 
001724 	154 	85 	91 	91 
001725 	154 	85 	91 	91 
001726 	170 	87 	75 	76 
001727 	170 	87 	75 	76 
001728 	164 	75 	91 	91 
001729 	164 	75 	91 	91 
001730 	154 	75 	91 	91 
001731 	154 	75 	91 	91 
001732 	154 	75 	91 	91 
001733 	154 	75 	91 	91 
001734 	154 	75 	91 	91 
001735 	154 	75 	91 	91 
001736 	154 	75 	91 	91 
001737 	154 	75 	91 	91 
001738 	170 	79 	75 	76 
001739 	164 	75 	91 	91 
001740 	164 	75 	91 	91 
001741 	164 	75 	91 	91 
001742 	164 	75 	91 	91 
