Identity  : 	id10264
Reference : 	oTsU3-1euu4
Offset    : 	-1
FV Conf   : 	13.766
ASD Conf  : 	7.059

FRAME 	X 	Y 	W 	H 
003692 	317 	66 	108 	109 
003693 	317 	66 	108 	109 
003694 	317 	66 	108 	109 
003695 	317 	66 	108 	109 
003696 	317 	66 	108 	109 
003697 	317 	66 	108 	109 
003698 	317 	66 	108 	109 
003699 	317 	66 	108 	109 
003700 	317 	66 	108 	109 
003701 	317 	66 	108 	109 
003702 	317 	66 	108 	109 
003703 	317 	66 	108 	109 
003704 	317 	66 	108 	109 
003705 	317 	66 	108 	109 
003706 	317 	66 	108 	109 
003707 	317 	66 	108 	109 
003708 	317 	66 	108 	109 
003709 	317 	66 	108 	109 
003710 	317 	66 	108 	109 
003711 	317 	66 	108 	109 
003712 	317 	66 	108 	109 
003713 	317 	66 	108 	109 
003714 	317 	66 	108 	109 
003715 	317 	66 	108 	109 
003716 	317 	66 	108 	109 
003717 	317 	66 	108 	109 
003718 	317 	66 	108 	109 
003719 	317 	66 	108 	109 
003720 	305 	66 	108 	109 
003721 	305 	66 	108 	109 
003722 	305 	66 	108 	109 
003723 	305 	66 	108 	109 
003724 	305 	66 	108 	109 
003725 	305 	66 	108 	109 
003726 	305 	66 	108 	109 
003727 	305 	66 	108 	109 
003728 	305 	66 	108 	109 
003729 	305 	66 	108 	109 
003730 	305 	66 	108 	109 
003731 	305 	66 	108 	109 
003732 	305 	66 	108 	109 
003733 	305 	66 	108 	109 
003734 	305 	66 	108 	109 
003735 	305 	66 	108 	109 
003736 	305 	66 	108 	109 
003737 	307 	66 	108 	109 
003738 	310 	66 	108 	109 
003739 	312 	66 	108 	109 
003740 	315 	66 	108 	109 
003741 	317 	66 	108 	109 
003742 	317 	66 	108 	109 
003743 	317 	66 	108 	109 
003744 	317 	66 	108 	109 
003745 	317 	66 	108 	109 
003746 	317 	66 	108 	109 
003747 	317 	66 	108 	109 
003748 	329 	66 	108 	109 
003749 	329 	66 	108 	109 
003750 	329 	66 	108 	109 
003751 	329 	66 	108 	109 
003752 	329 	66 	108 	109 
003753 	329 	78 	108 	109 
003754 	329 	78 	108 	109 
003755 	329 	78 	108 	109 
003756 	329 	78 	108 	109 
003757 	329 	78 	108 	109 
003758 	329 	78 	108 	109 
003759 	329 	90 	108 	109 
003760 	329 	90 	108 	109 
003761 	329 	90 	108 	109 
003762 	329 	78 	108 	109 
003763 	329 	78 	108 	109 
003764 	329 	78 	108 	109 
003765 	317 	78 	108 	109 
003766 	317 	78 	108 	109 
003767 	317 	78 	108 	109 
003768 	317 	78 	108 	109 
003769 	317 	78 	108 	109 
003770 	317 	78 	108 	109 
003771 	317 	78 	108 	109 
003772 	317 	78 	108 	109 
003773 	317 	78 	108 	109 
003774 	317 	78 	108 	109 
003775 	317 	78 	108 	109 
003776 	317 	78 	108 	109 
003777 	317 	78 	108 	109 
003778 	317 	66 	108 	109 
003779 	317 	66 	108 	109 
003780 	317 	66 	108 	109 
003781 	317 	66 	108 	109 
003782 	317 	66 	108 	109 
003783 	317 	66 	108 	109 
003784 	317 	66 	108 	109 
003785 	317 	66 	108 	109 
003786 	317 	66 	108 	109 
003787 	317 	66 	108 	109 
003788 	317 	78 	108 	109 
003789 	317 	78 	108 	109 
003790 	317 	78 	108 	109 
003791 	317 	78 	108 	109 
003792 	317 	78 	108 	109 
003793 	317 	78 	108 	109 
003794 	317 	78 	108 	109 
003795 	317 	78 	108 	109 
003796 	317 	78 	108 	109 
003797 	329 	78 	108 	109 
003798 	341 	90 	108 	109 
003799 	341 	90 	108 	109 
003800 	353 	90 	108 	109 
003801 	353 	90 	108 	109 
003802 	353 	90 	108 	109 
003803 	353 	102 	108 	109 
003804 	353 	102 	108 	109 
003805 	353 	105 	91 	91 
003806 	341 	102 	108 	109 
003807 	341 	102 	108 	109 
003808 	343 	105 	91 	91 
003809 	329 	90 	108 	109 
003810 	329 	90 	108 	109 
003811 	329 	90 	108 	109 
003812 	333 	105 	91 	91 
003813 	333 	105 	91 	91 
003814 	329 	90 	108 	109 
