Identity  : 	id10273
Reference : 	5TWpQYtboq0
Offset    : 	3
FV Conf   : 	16.545
ASD Conf  : 	6.420

FRAME 	X 	Y 	W 	H 
013962 	280 	51 	130 	130 
013963 	280 	51 	130 	130 
013964 	280 	51 	130 	130 
013965 	280 	51 	130 	130 
013966 	280 	51 	130 	130 
013967 	280 	51 	130 	130 
013968 	266 	51 	130 	130 
013969 	266 	51 	130 	130 
013970 	266 	51 	130 	130 
013971 	251 	51 	130 	130 
013972 	251 	51 	130 	130 
013973 	237 	51 	130 	130 
013974 	245 	78 	109 	109 
013975 	245 	78 	109 	109 
013976 	223 	80 	130 	130 
013977 	237 	66 	130 	130 
013978 	237 	66 	130 	130 
013979 	257 	90 	109 	109 
013980 	251 	80 	130 	130 
013981 	251 	80 	130 	130 
013982 	251 	80 	130 	130 
013983 	251 	66 	130 	130 
013984 	251 	66 	130 	130 
013985 	251 	66 	130 	130 
013986 	237 	66 	130 	130 
013987 	237 	66 	130 	130 
013988 	237 	66 	130 	130 
013989 	237 	66 	130 	130 
013990 	237 	66 	130 	130 
013991 	237 	66 	130 	130 
013992 	237 	66 	130 	130 
013993 	251 	66 	130 	130 
013994 	251 	66 	130 	130 
013995 	251 	66 	130 	130 
013996 	251 	66 	130 	130 
013997 	251 	66 	130 	130 
013998 	237 	66 	130 	130 
013999 	237 	66 	130 	130 
014000 	237 	66 	130 	130 
014001 	237 	80 	130 	130 
014002 	237 	80 	130 	130 
014003 	223 	80 	130 	130 
014004 	223 	66 	130 	130 
014005 	223 	66 	130 	130 
014006 	223 	66 	130 	130 
014007 	223 	51 	130 	130 
014008 	223 	66 	130 	130 
014009 	223 	66 	130 	130 
014010 	223 	66 	130 	130 
014011 	237 	66 	130 	130 
014012 	237 	66 	130 	130 
014013 	223 	66 	130 	130 
014014 	223 	66 	130 	130 
014015 	223 	66 	130 	130 
014016 	223 	66 	130 	130 
014017 	223 	66 	130 	130 
014018 	237 	66 	130 	130 
014019 	237 	66 	130 	130 
014020 	237 	66 	130 	130 
014021 	223 	66 	130 	130 
014022 	223 	66 	130 	130 
014023 	223 	66 	130 	130 
014024 	223 	66 	130 	130 
014025 	223 	66 	130 	130 
014026 	223 	66 	130 	130 
014027 	223 	66 	130 	130 
014028 	223 	66 	130 	130 
014029 	223 	51 	130 	130 
014030 	223 	51 	130 	130 
014031 	223 	51 	130 	130 
014032 	208 	51 	130 	130 
014033 	208 	51 	130 	130 
014034 	208 	51 	130 	130 
014035 	204 	58 	130 	130 
014036 	201 	66 	130 	130 
014037 	198 	73 	130 	130 
014038 	194 	80 	130 	130 
014039 	194 	80 	130 	130 
014040 	194 	80 	130 	130 
014041 	194 	80 	130 	130 
014042 	194 	80 	130 	130 
014043 	194 	80 	130 	130 
014044 	194 	80 	130 	130 
014045 	194 	80 	130 	130 
014046 	194 	80 	130 	130 
014047 	194 	80 	130 	130 
014048 	194 	80 	130 	130 
014049 	194 	80 	130 	130 
014050 	208 	66 	130 	130 
014051 	208 	66 	130 	130 
014052 	208 	66 	130 	130 
014053 	208 	66 	130 	130 
014054 	208 	66 	130 	130 
014055 	208 	66 	130 	130 
014056 	208 	66 	130 	130 
014057 	208 	80 	130 	130 
014058 	208 	80 	130 	130 
014059 	208 	80 	130 	130 
014060 	208 	80 	130 	130 
014061 	223 	80 	130 	130 
014062 	223 	80 	130 	130 
014063 	208 	80 	130 	130 
014064 	208 	80 	130 	130 
014065 	208 	80 	130 	130 
014066 	208 	80 	130 	130 
014067 	223 	80 	130 	130 
014068 	223 	94 	130 	130 
014069 	223 	94 	130 	130 
014070 	223 	94 	130 	130 
014071 	223 	94 	130 	130 
014072 	223 	94 	130 	130 
014073 	223 	94 	130 	130 
014074 	223 	94 	130 	130 
014075 	223 	94 	130 	130 
014076 	223 	94 	130 	130 
014077 	223 	109 	130 	130 
014078 	223 	109 	130 	130 
014079 	223 	109 	130 	130 
014080 	223 	94 	130 	130 
014081 	223 	94 	130 	130 
014082 	223 	94 	130 	130 
014083 	223 	80 	130 	130 
014084 	223 	80 	130 	130 
014085 	223 	80 	130 	130 
014086 	223 	80 	130 	130 
014087 	223 	80 	130 	130 
014088 	208 	80 	130 	130 
014089 	208 	66 	130 	130 
014090 	209 	66 	109 	109 
014091 	194 	51 	130 	130 
014092 	180 	51 	130 	130 
014093 	185 	54 	109 	109 
014094 	173 	54 	109 	109 
014095 	173 	54 	109 	109 
014096 	161 	54 	109 	109 
