Identity  : 	id10273
Reference : 	8cfyJEV7hP8
Offset    : 	-2
FV Conf   : 	13.489
ASD Conf  : 	6.538

FRAME 	X 	Y 	W 	H 
015945 	294 	109 	130 	130 
015946 	294 	109 	130 	130 
015947 	294 	109 	130 	130 
015948 	285 	113 	155 	156 
015949 	294 	109 	130 	130 
015950 	285 	113 	155 	156 
015951 	285 	113 	155 	156 
015952 	285 	113 	155 	156 
015953 	285 	113 	155 	156 
015954 	285 	113 	155 	156 
015955 	285 	113 	155 	156 
015956 	285 	113 	155 	156 
015957 	285 	96 	155 	156 
015958 	285 	96 	155 	156 
015959 	285 	96 	155 	156 
015960 	285 	96 	155 	156 
015961 	285 	96 	155 	156 
015962 	302 	96 	156 	156 
015963 	302 	96 	156 	156 
015964 	302 	96 	156 	156 
015965 	301 	74 	186 	187 
015966 	301 	74 	186 	187 
015967 	302 	96 	156 	156 
015968 	302 	96 	156 	156 
015969 	302 	96 	156 	156 
015970 	302 	96 	156 	156 
015971 	302 	96 	156 	156 
015972 	302 	96 	156 	156 
015973 	302 	96 	156 	156 
015974 	302 	96 	156 	156 
015975 	302 	96 	156 	156 
015976 	302 	96 	156 	156 
015977 	302 	96 	156 	156 
015978 	302 	96 	156 	156 
015979 	302 	96 	156 	156 
015980 	302 	96 	156 	156 
015981 	302 	96 	156 	156 
015982 	302 	96 	156 	156 
015983 	302 	96 	156 	156 
015984 	302 	96 	156 	156 
015985 	302 	96 	156 	156 
015986 	302 	96 	156 	156 
015987 	302 	96 	156 	156 
015988 	302 	96 	156 	156 
015989 	302 	96 	156 	156 
015990 	309 	94 	130 	130 
015991 	302 	79 	156 	156 
015992 	302 	79 	156 	156 
015993 	302 	79 	156 	156 
015994 	302 	79 	156 	156 
015995 	302 	79 	156 	156 
015996 	302 	79 	156 	156 
015997 	302 	79 	156 	156 
015998 	309 	80 	130 	130 
015999 	309 	80 	130 	130 
016000 	309 	80 	130 	130 
016001 	309 	80 	130 	130 
016002 	285 	79 	155 	156 
016003 	285 	79 	155 	156 
016004 	285 	79 	155 	156 
016005 	285 	79 	155 	156 
016006 	302 	79 	156 	156 
016007 	302 	79 	156 	156 
016008 	302 	79 	156 	156 
016009 	302 	79 	156 	156 
016010 	302 	79 	156 	156 
016011 	302 	79 	156 	156 
016012 	302 	79 	156 	156 
016013 	302 	79 	156 	156 
016014 	302 	79 	156 	156 
016015 	302 	79 	156 	156 
016016 	302 	79 	156 	156 
016017 	302 	79 	156 	156 
016018 	302 	79 	156 	156 
016019 	302 	96 	156 	156 
016020 	285 	96 	155 	156 
016021 	285 	96 	155 	156 
016022 	285 	96 	155 	156 
016023 	285 	96 	155 	156 
016024 	285 	96 	155 	156 
016025 	285 	96 	155 	156 
016026 	285 	96 	155 	156 
016027 	285 	96 	155 	156 
016028 	285 	96 	155 	156 
016029 	285 	96 	155 	156 
016030 	285 	96 	155 	156 
016031 	285 	96 	155 	156 
016032 	285 	96 	155 	156 
016033 	285 	96 	155 	156 
016034 	285 	96 	155 	156 
016035 	285 	96 	155 	156 
016036 	285 	96 	155 	156 
016037 	285 	96 	155 	156 
016038 	285 	96 	155 	156 
016039 	285 	96 	155 	156 
016040 	285 	113 	155 	156 
016041 	285 	113 	155 	156 
016042 	285 	113 	155 	156 
016043 	285 	113 	155 	156 
016044 	285 	113 	155 	156 
016045 	285 	113 	155 	156 
016046 	285 	113 	155 	156 
016047 	285 	113 	155 	156 
016048 	285 	113 	155 	156 
016049 	285 	113 	155 	156 
016050 	285 	113 	155 	156 
016051 	285 	113 	155 	156 
016052 	285 	113 	155 	156 
016053 	302 	113 	156 	156 
016054 	302 	96 	156 	156 
016055 	302 	96 	156 	156 
016056 	319 	96 	156 	156 
016057 	319 	96 	156 	156 
016058 	319 	96 	156 	156 
016059 	319 	96 	156 	156 
016060 	319 	96 	156 	156 
016061 	319 	96 	156 	156 
016062 	319 	96 	156 	156 
016063 	319 	96 	156 	156 
016064 	319 	96 	156 	156 
016065 	319 	96 	156 	156 
016066 	319 	96 	156 	156 
016067 	319 	96 	156 	156 
016068 	319 	96 	156 	156 
016069 	319 	96 	156 	156 
016070 	319 	96 	155 	155 
016071 	319 	96 	155 	155 
016072 	319 	97 	155 	155 
016073 	318 	97 	155 	155 
016074 	318 	97 	154 	154 
016075 	318 	97 	154 	154 
016076 	318 	97 	154 	154 
016077 	318 	97 	153 	153 
016078 	318 	97 	153 	153 
016079 	318 	98 	153 	153 
016080 	318 	98 	153 	153 
016081 	318 	98 	152 	152 
016082 	317 	98 	152 	152 
016083 	317 	98 	152 	152 
016084 	317 	98 	152 	152 
016085 	317 	98 	151 	151 
016086 	317 	99 	151 	151 
016087 	317 	99 	151 	151 
016088 	317 	99 	150 	150 
016089 	317 	99 	150 	150 
016090 	317 	99 	150 	150 
016091 	317 	99 	150 	150 
016092 	316 	99 	149 	149 
016093 	316 	99 	149 	149 
016094 	316 	100 	149 	149 
016095 	316 	100 	148 	148 
016096 	316 	100 	148 	148 
016097 	316 	100 	148 	148 
