Identity  : 	id10273
Reference : 	gHPh9j7lc58
Offset    : 	-2
FV Conf   : 	18.195
ASD Conf  : 	7.099

FRAME 	X 	Y 	W 	H 
009802 	245 	54 	109 	109 
009803 	245 	54 	109 	109 
009804 	245 	54 	109 	109 
009805 	245 	54 	109 	109 
009806 	245 	54 	109 	109 
009807 	245 	54 	109 	109 
009808 	245 	54 	109 	109 
009809 	245 	54 	109 	109 
009810 	245 	54 	109 	109 
009811 	245 	54 	109 	109 
009812 	245 	54 	109 	109 
009813 	245 	54 	109 	109 
009814 	245 	54 	109 	109 
009815 	233 	54 	109 	109 
009816 	233 	54 	109 	109 
009817 	233 	54 	109 	109 
009818 	233 	54 	109 	109 
009819 	233 	54 	109 	109 
009820 	233 	54 	109 	109 
009821 	233 	54 	109 	109 
009822 	233 	54 	109 	109 
009823 	245 	54 	109 	109 
009824 	245 	54 	109 	109 
009825 	245 	54 	109 	109 
009826 	245 	54 	109 	109 
009827 	245 	54 	109 	109 
009828 	245 	54 	109 	109 
009829 	245 	54 	109 	109 
009830 	245 	54 	109 	109 
009831 	245 	54 	109 	109 
009832 	245 	54 	109 	109 
009833 	245 	54 	109 	109 
009834 	245 	54 	109 	109 
009835 	245 	54 	109 	109 
009836 	245 	54 	109 	109 
009837 	245 	54 	109 	109 
009838 	245 	54 	109 	109 
009839 	245 	66 	109 	109 
009840 	245 	54 	109 	109 
009841 	245 	66 	109 	109 
009842 	245 	66 	109 	109 
009843 	245 	66 	109 	109 
009844 	245 	66 	109 	109 
009845 	245 	66 	109 	109 
009846 	245 	66 	109 	109 
009847 	245 	66 	109 	109 
009848 	245 	66 	109 	109 
009849 	245 	54 	109 	109 
009850 	245 	54 	109 	109 
009851 	245 	54 	109 	109 
009852 	245 	54 	109 	109 
009853 	245 	66 	109 	109 
009854 	245 	66 	109 	109 
009855 	245 	66 	109 	109 
009856 	245 	54 	109 	109 
009857 	245 	54 	109 	109 
009858 	245 	66 	109 	109 
009859 	245 	66 	109 	109 
009860 	245 	66 	109 	109 
009861 	245 	66 	109 	109 
009862 	245 	66 	109 	109 
009863 	245 	54 	109 	109 
009864 	245 	54 	109 	109 
009865 	245 	54 	109 	109 
009866 	245 	54 	109 	109 
009867 	245 	66 	109 	109 
009868 	245 	66 	109 	109 
009869 	245 	66 	109 	109 
009870 	245 	66 	109 	109 
009871 	245 	66 	109 	109 
009872 	254 	65 	90 	91 
009873 	254 	65 	90 	91 
009874 	254 	65 	90 	91 
009875 	245 	54 	109 	109 
009876 	245 	54 	109 	109 
009877 	245 	54 	109 	109 
009878 	245 	54 	109 	109 
009879 	245 	54 	109 	109 
009880 	245 	54 	109 	109 
009881 	245 	54 	109 	109 
009882 	264 	65 	90 	91 
009883 	257 	54 	109 	109 
009884 	257 	54 	109 	109 
009885 	257 	54 	109 	109 
009886 	257 	54 	109 	109 
009887 	257 	54 	109 	109 
009888 	257 	54 	109 	109 
009889 	251 	51 	130 	130 
009890 	251 	51 	130 	130 
009891 	251 	51 	130 	130 
009892 	251 	51 	130 	130 
009893 	251 	51 	130 	130 
009894 	257 	66 	109 	109 
009895 	257 	66 	109 	109 
009896 	257 	66 	109 	109 
009897 	257 	66 	109 	109 
009898 	257 	66 	109 	109 
009899 	257 	66 	109 	109 
009900 	257 	66 	109 	109 
009901 	257 	66 	109 	109 
009902 	257 	66 	109 	109 
009903 	257 	66 	109 	109 
009904 	257 	66 	109 	109 
009905 	257 	66 	109 	109 
009906 	257 	66 	109 	109 
009907 	257 	66 	109 	109 
009908 	257 	66 	109 	109 
009909 	257 	66 	109 	109 
009910 	257 	66 	109 	109 
009911 	257 	66 	109 	109 
009912 	257 	66 	109 	109 
009913 	257 	66 	109 	109 
009914 	269 	66 	108 	109 
009915 	269 	66 	108 	109 
009916 	269 	66 	108 	109 
009917 	269 	66 	108 	109 
009918 	269 	66 	108 	109 
009919 	269 	66 	108 	109 
009920 	269 	66 	108 	109 
009921 	269 	66 	108 	109 
009922 	269 	66 	108 	109 
009923 	269 	66 	108 	109 
009924 	269 	66 	108 	109 
009925 	269 	66 	108 	109 
009926 	269 	66 	108 	109 
009927 	269 	78 	108 	109 
009928 	269 	66 	108 	109 
009929 	269 	66 	108 	109 
009930 	269 	66 	108 	109 
009931 	269 	66 	108 	109 
009932 	269 	66 	108 	109 
009933 	269 	66 	108 	109 
009934 	269 	66 	108 	109 
009935 	269 	66 	108 	109 
009936 	269 	66 	108 	109 
009937 	269 	66 	108 	109 
009938 	269 	66 	108 	109 
009939 	257 	66 	109 	109 
009940 	257 	66 	109 	109 
009941 	257 	66 	109 	109 
009942 	269 	78 	108 	109 
009943 	269 	78 	108 	109 
009944 	269 	78 	108 	109 
009945 	269 	78 	108 	109 
009946 	269 	78 	108 	109 
009947 	269 	78 	108 	109 
009948 	269 	78 	108 	109 
009949 	269 	78 	108 	109 
009950 	257 	66 	109 	109 
009951 	257 	66 	109 	109 
009952 	257 	66 	109 	109 
009953 	257 	66 	109 	109 
009954 	257 	78 	109 	109 
009955 	257 	66 	109 	109 
